Estado,199001,199002,199003,199004,199005,199006,199007,199008,199009,199010,199011,199012,199101,199102,199103,199104,199105,199106,199107,199108,199109,199110,199111,199112,199201,199202,199203,199204,199205,199206,199207,199208,199209,199210,199211,199212,199301,199302,199303,199304,199305,199306,199307,199308,199309,199310,199311,199312,199401,199402,199403,199404,199405,199406,199407,199408,199409,199410,199411,199412,199501,199502,199503,199504,199505,199506,199507,199508,199509,199510,199511,199512,199601,199602,199603,199604,199605,199606,199607,199608,199609,199610,199611,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012
Acre,16561,16952,17415,18163,20573,21380,23495,24441,24673,26077,28375,30474,28949,27791,30140,28668,27004,27447,24565,21995,21199,20125,19722,18175,18147,17983,15925,16999,17901,16578,17221,17801,17472,17317,17126,18110,19688,20934,20870,20760,20824,20770,20293,19640,19985,20057,20016,21289,21904,22435,22539,23236,22910,23351,24901,25470,26266,26345,26981,26473,25904,26129,27080,26640,27960,28757,28760,30207,31485,32639,34913,36724,38512,39417,39148,39076,39924,41372,42887,43730,44959,46501,46370,47245,48488,48501,49590,51440,52020,52038,51184,53160,54389,56314,58368,59438,59392,59566,58799,58537,58094,57999,59181,58182,57569,56319,54655,54947,54898,55756,57832,59079,60504,61852,62352,63513,64409,67618,69540,70925,71231,72677,73781,75278,76078,76521,77179,76595,76084,73509,72327,70376,71000,70250,69500,68750,68000,67250,66500,65750,65000,64250,63500,62750,62000,60093,57118,54105,51581,48961,46834,46630,44388,44497,44592,44467,43603,44448,46155,48210,48561,49735,50970,50706,54198,55349,56473,57023,58142,59844,61188,61944,64804,66976,70461,73246,74878,76245,78651,79785,80914,82299,83500,87964,89737,93128,93194,93617,100702,105226,107992,111232,114415,113870,113565,113361,113279,113275,115100,116734,118766,121449,123347,123954,121872,123682,126219,123072,123895,126264,127524,129986,126094,122931,122362,119435,119145,117900,115894,119463,118982,116708,115148,115738,116168,115537,115899,117837,121146,124740,125621,129973,132969,135658,138821,145019,152302,156903,161781,171044,174705,175314,181124,179272,178424,179814,183509,180248,177724,181852,183963,179984,178322,176590,173249,170949,175742,176610,174479,175426,174201,171363,169741,174259,173494,177169,177894,182532,182325,183233,182727,181112,185829,188705,191444,192231,193672,194916,201853,193590,197798,199068,200674,207877,205165,208655,207135,208564,211050,207229,208179,216734,211516,211134,212295,209171,208896,206356,206884,201310,204505,203874,199043,195027,193756,190471,188084,183368,180479,174079,168058,166320,158694,158950,154231,153015,150805,152424,151690,151017,150765,151110,151502,149967,150491,153199,153038,153217,152824,148509,149694,149013,148936,148336,148969,150810,148696,146770,148231,146587,148004,150376,148099,149724,150698,151682,152846,153457,153806,155806,157701,157346,155828,156507,160502,166773,170329,173118,176650,175442,178033,178368,175728,179168,182967,189188,189669,188428,187160,186646,188165,189497
Alagoas,313313,308951,313181,323250,330826,323915,318442,316201,310085,307462,311288,309582,305351,306278,301440,291133,280860,276032,271693,265202,261204,257700,247487,243868,244524,239145,235079,241325,243160,237937,236377,232778,230282,231901,232451,231263,224604,227590,223304,216383,210680,212303,211072,211398,212873,210635,212171,214923,219855,221345,229570,235992,237517,237945,237507,237500,235732,233015,230776,226450,225268,226869,226918,225703,228477,233221,235390,238811,241382,246863,251854,254082,256823,256009,257124,256351,259744,260898,266514,271327,279304,289426,302777,320491,334665,352557,364918,381683,392414,402461,407627,413430,416693,417875,417910,417487,415838,409280,406097,402188,399087,396599,397797,398480,399114,397754,392375,388855,383749,381227,379363,374080,369775,369341,365083,359074,357960,353626,354944,355146,357398,352383,351982,349971,352214,350894,354439,357017,354486,354143,347995,339573,332000,333917,335833,337750,339667,341583,343500,345417,347333,349250,351167,353083,355000,355526,353626,350577,346103,341690,334752,329858,323638,320437,317488,315693,316142,310199,304289,305983,306399,307435,304394,304934,303982,304970,304788,303597,304535,309464,312931,313743,313903,308893,309588,307143,308390,304790,303724,303902,306568,308322,308315,312513,310058,313163,312472,311596,314864,317979,319620,322946,318104,321355,323477,321992,326950,332272,337880,342476,343421,344618,353243,358731,363874,368056,373677,377586,389378,393843,401342,409697,418557,428228,436300,438951,446335,447335,447836,454122,452717,451765,450852,455040,454566,457576,460094,467155,471072,478239,486000,495073,502651,517494,525006,531313,546569,556714,561370,571206,583772,599181,618095,643284,656496,660175,675869,684139,696509,705494,720401,731898,742881,753528,764268,777489,792008,816011,821905,828799,829294,833641,840852,848371,844864,846333,839036,822270,819748,806540,802556,801756,798355,800010,800588,794494,791375,790396,805186,802860,799615,798107,796376,798863,796689,793871,788854,793353,793582,777751,764387,759064,744761,733744,720301,702433,693487,681559,665638,635580,612327,593621,568881,547956,533516,524491,521166,516678,505577,491512,474209,470531,471877,472085,464124,461970,454578,442173,426380,407871,395962,386952,381540,371694,362791,354116,348615,336124,331808,325322,330721,335029,339963,339657,342789,344201,340278,342675,346233,347428,352099,366491,360965,363278,363874,368688,378318,386513,395359,406294,416076,426608,433938,442550,465281,488163,511199,533656,554652,567964,581479,588369,593075,605862,612853,612479,611820,608825,600861,594253,581005,578171
Amazonas,23766,25699,25078,25442,25240,24900,25372,26167,26606,26723,27918,29559,30431,31700,34092,35539,39072,41783,42655,45360,47177,49295,51610,53304,55691,57303,58532,58302,59663,59299,60071,59439,60368,60803,58632,57833,55562,55644,54854,55131,52490,51378,49230,45448,43567,41101,40068,40376,40626,39497,40056,39758,39576,40007,41921,44668,46647,46805,48430,48246,47829,48527,47725,48228,48652,50341,50089,51987,51735,50927,50337,52174,54846,58513,58654,59431,60108,61217,64558,65097,66839,69716,71560,71172,72476,70918,72208,73589,75068,76236,73518,75344,73847,74101,73236,72776,70013,70998,70234,71160,69512,66449,67846,64140,66096,67761,70629,74447,77658,78634,79846,77109,76505,76870,76445,77383,76491,76078,75292,74614,73374,71231,73051,76208,79678,81735,82707,83091,83367,83147,82482,80310,80000,81917,83833,85750,87667,89583,91500,93417,95333,97250,99167,101083,103000,104809,103082,101510,100049,96732,93688,92819,91975,90274,88757,85970,85093,84701,83980,82091,78895,79825,81838,79920,78159,78548,78034,81046,80008,79767,78413,81094,81568,79831,82892,84517,90237,92406,93542,96710,104197,101350,103328,109975,114193,118551,115664,115242,112858,115540,117139,119828,115540,123613,127841,129729,129981,132258,131025,133077,135101,138622,135304,131036,135046,129168,125540,122732,120586,119454,123062,121779,122360,114256,119792,119743,116366,119069,116214,112356,112373,109523,105470,105831,103075,105338,107336,110726,112729,114607,118798,120765,122596,124225,132353,139584,144618,151063,149964,148234,151542,153258,155755,153473,156357,162980,160871,157706,157079,154789,155551,159175,161970,163047,168657,174199,181487,183131,188903,206154,217442,232264,249023,255639,261120,264183,270121,280367,284195,289138,291932,280578,275256,261072,246608,246598,250519,251058,246571,236263,231797,234892,230054,231074,239774,254424,266416,271957,274357,269799,268465,269979,267992,256800,254147,255234,249369,242625,235028,228393,213787,214179,210526,204260,199644,199180,198232,191948,181878,177655,174906,173957,175894,172472,167527,168815,166963,164427,166203,164687,163653,154116,149367,141047,135021,133975,133458,129811,128676,126324,122529,121905,120361,121689,123261,123303,123347,121589,121162,120406,119502,119441,118101,117577,119195,122236,121501,119636,120153,121582,121902,120586,120908,121455,123730,127824,129870,130365,131059,132835,133523,133539,135057,141555,146579,150469,153283,153063,153914,152047,152483,155955
Amapá,261171,259396,251779,255893,259934,259384,260601,256308,246695,248543,251313,252303,257506,254649,255935,250422,242894,236255,230968,229159,222560,218153,213549,215354,211343,209293,204531,210627,214555,219043,225822,225270,230052,234945,243461,240886,247101,250360,254520,252467,250116,246455,237981,233863,235537,232898,232670,231423,222012,217316,212684,213617,215117,215017,211089,210215,203925,196221,182808,175863,176230,176348,178058,175258,177631,181651,180341,182462,183639,184877,191034,197253,202553,208580,211601,212179,212364,212024,219830,227986,238913,252316,260583,267580,278735,282624,285874,293127,296765,301233,303796,301282,294703,289118,284455,280869,271865,266863,267905,267805,268445,267463,271542,280762,288834,292720,298730,314114,327161,337089,343169,346457,346190,356234,361029,362867,367148,367630,371797,365915,363154,379744,398773,418408,441331,453729,467301,479069,490845,508134,519017,531184,543000,545083,547167,549250,551333,553417,555500,557583,559667,561750,563833,565917,568000,548860,532752,518903,503166,488751,473616,463557,453828,444881,437067,429347,418347,424447,441844,442914,469123,475240,498478,517446,537946,540632,556807,561404,587380,592783,600165,604987,606509,608289,611021,600854,604071,612762,616358,631005,613287,625249,617010,641386,621164,636824,619765,633453,636128,643114,633898,633881,626146,632110,635405,629348,645404,630065,651126,650768,651233,651617,655279,650485,666931,686596,677716,676754,684602,704644,689449,702697,704356,734569,737527,755094,769233,749016,761327,763511,758282,756393,767669,756647,751881,727554,753927,745544,744252,748997,744159,757901,764501,769021,774676,777900,778952,786747,774596,783118,796116,805795,820612,820199,826029,840486,854538,858809,887596,902874,930233,940402,948011,958406,971937,981650,972546,991677,983986,1012764,1006536,1016368,1005271,1003023,994932,990167,974956,1002016,1017933,996904,1041758,1041389,1032243,999389,1029104,1051065,1036606,1022570,1040209,1012978,1008949,978636,960041,921146,941520,938238,915437,867522,860674,850239,869069,829333,854227,864561,824461,819491,799845,799840,786017,792386,803112,813720,749834,746501,715610,712101,705981,701108,676876,668719,640523,632482,617787,615813,624507,648635,612011,619133,649842,665908,663477,664981,670704,665682,687211,660657,631611,589643,595678,557952,497467,469666,443168,428437,410293,403471,350177,358175,379179,392909,397287,414833,434261,449248,479428,487268,498682,510162,533444,536007,539949,542443,532120,534320,540852,543486,552045,573327,583580,587728,595320,590037,592132,604416,625606,636283,645960,646233,637016,616432,623884,617474
Bahia,1176212,1166517,1164300,1183647,1209648,1211336,1200217,1198559,1205162,1202330,1198864,1189274,1175363,1167999,1158184,1148156,1127389,1108500,1100836,1081446,1062066,1045175,1032924,1036656,1034601,1058042,1076044,1094121,1104246,1122898,1122670,1132024,1141902,1150997,1150873,1167179,1191190,1193580,1187075,1195706,1168066,1155893,1165387,1146302,1142108,1164432,1186396,1192525,1192609,1208315,1214771,1216503,1237797,1247773,1240641,1255213,1262613,1240895,1225060,1200448,1180406,1161271,1171194,1162493,1169320,1178688,1181798,1194051,1202850,1206072,1218313,1232052,1253467,1263561,1274516,1280520,1312634,1331584,1372028,1415106,1459406,1516601,1575273,1642911,1711065,1766177,1798568,1865652,1905814,1940847,1980014,2012929,2055473,2104115,2141544,2176716,2195340,2225308,2266473,2302812,2338254,2373971,2392958,2423969,2429190,2438840,2441176,2441242,2461188,2455282,2468047,2452338,2433761,2419829,2406854,2384331,2390644,2360649,2342324,2322346,2277158,2248551,2221132,2190615,2172503,2150352,2143181,2120345,2074492,2051793,2017740,1988940,1978000,1975500,1973000,1970500,1968000,1965500,1963000,1960500,1958000,1955500,1953000,1950500,1948000,1936964,1913337,1886013,1850234,1825231,1781578,1750536,1719608,1704770,1697381,1677725,1658094,1636654,1624760,1641976,1651710,1662496,1679622,1696147,1711801,1721055,1717057,1716381,1733557,1743697,1728749,1736127,1741902,1730929,1717863,1694217,1708106,1697065,1684813,1672017,1668001,1674551,1700176,1716412,1707562,1739457,1757933,1789716,1813989,1847144,1880194,1918788,1934967,1979658,1991072,2000621,2045663,2069571,2095124,2121678,2136982,2143562,2186320,2229089,2259804,2292414,2342176,2358950,2402925,2436549,2480641,2533655,2572465,2637348,2672602,2678981,2678337,2676488,2669197,2688580,2667094,2652420,2656952,2673259,2683795,2700889,2715059,2764216,2825491,2865855,2918151,2991502,3035926,3108650,3161383,3179826,3212216,3238648,3279290,3317215,3349109,3374467,3408976,3394832,3425684,3452712,3469079,3514480,3576215,3620081,3631582,3610789,3615893,3650868,3653451,3719740,3745407,3751096,3757618,3745634,3730550,3696924,3725599,3755163,3744322,3749116,3756384,3726461,3745754,3760868,3748428,3785568,3827503,3879242,3904347,3938334,3932905,3949165,4023841,4055100,4050951,4079378,4102875,4124648,4115333,4155939,4187920,4197229,4250662,4224677,4221408,4251062,4237546,4192761,4195471,4183520,4168735,4131001,4090742,4068039,4021409,3984521,3879651,3819855,3808131,3768635,3714174,3645352,3582429,3491290,3388905,3316794,3295415,3286068,3244766,3212469,3140454,3131059,3121452,3089725,3083428,3085956,3104916,3101091,3063300,3060106,3070293,3025819,3045144,2969930,3001668,3012576,3027736,3016525,3015258,3013574,2990152,3013244,3039221,3039369,3052771,3142694,3070455,3079957,3068735,3095389,3146769,3189073,3245585,3254468,3286759,3292644,3281295,3305305,3450814,3538359,3611543,3691179,3738973,3761494,3803900,3844241,3850390,3957131,4022419,4039671,4007797,3991800,3985019,3968736,3918357,3909509
Ceará,501105,500454,488262,506504,522736,525098,531076,566514,583315,599002,609834,625408,630440,649329,665453,671609,668362,664608,664931,657014,649076,645433,639385,641186,644814,636943,623199,622683,620662,615037,610502,611261,610315,602531,601316,598321,584480,558915,548619,531495,517849,521857,517362,505631,497220,509723,505520,505996,530472,564878,591324,611299,615118,612369,620092,624649,616825,596396,587097,576620,552202,545881,541787,535782,540746,545771,549865,546123,552911,564157,580475,593221,614144,618473,625418,637987,659428,680758,702183,739237,782686,823203,863921,901619,936444,981418,999035,1024326,1048387,1069675,1081631,1105624,1104305,1122033,1126994,1136572,1158957,1150410,1160902,1166447,1160259,1153439,1154973,1149835,1158638,1137850,1145770,1142664,1138989,1120623,1129821,1124697,1123658,1135220,1138600,1139755,1145044,1145633,1134120,1123812,1101122,1109443,1111257,1121411,1138567,1137786,1140620,1130097,1117728,1117530,1108639,1102413,1094000,1093167,1092333,1091500,1090667,1089833,1089000,1088167,1087333,1086500,1085667,1084833,1084000,1074932,1049798,1014630,978225,953225,927215,917286,905572,894733,890005,884128,888572,882882,870747,883337,894267,901310,907869,912769,916601,917213,911352,910123,917163,932929,949594,959521,960803,964715,974173,982262,991808,993202,995054,992021,986162,988380,986001,988569,982622,983367,986024,981324,989537,1005841,1023458,1044446,1055446,1057513,1055786,1053879,1063599,1071313,1080137,1097384,1110613,1120320,1140072,1163017,1173764,1192009,1217786,1221548,1236287,1240131,1248195,1267856,1276481,1293310,1306268,1312390,1328591,1336525,1339885,1351123,1344846,1341912,1351641,1361527,1378136,1400524,1414773,1425408,1437485,1454200,1490217,1540157,1587079,1631687,1670802,1689266,1729563,1738433,1742184,1738335,1794240,1797287,1782373,1780294,1794446,1777620,1765433,1764759,1752809,1760903,1756011,1792667,1717740,1718570,1746205,1765588,1742792,1793196,1809055,1835671,1826417,1811212,1869360,1867890,1903741,1940017,1941696,1915140,1941602,1940449,1948090,1953321,2002241,2038620,2025988,2043866,2065389,2044702,2092370,2135771,2174448,2229904,2264367,2325177,2370806,2445530,2520325,2572669,2643482,2669615,2700696,2720543,2711682,2701624,2728927,2723910,2703498,2672456,2646463,2618125,2570220,2562874,2526259,2515465,2519255,2501323,2482421,2450163,2425224,2392517,2341390,2330690,2328004,2335023,2282450,2247784,2195921,2168448,2134793,2105377,2092546,2083653,2090338,2066437,2035158,2011627,1990875,1953345,1945800,1893618,1872363,1845506,1828631,1797596,1775099,1775013,1758900,1750240,1765790,1756737,1750259,1767682,1746824,1751566,1738747,1723132,1719129,1703325,1701230,1698874,1684426,1672061,1647547,1648378,1672256,1715636,1739781,1793458,1818829,1835940,1864364,1885475,1916035,1979333,2044916,2069828,2093342,2103748,2128076,2136463,2145045,2133545
Distrito Federal,456216,459552,456001,446233,446045,453237,462103,463497,471601,476984,482989,497630,504458,508939,516450,528782,536498,537318,537107,546604,547066,552116,561621,563537,570232,584477,599492,620516,637549,657434,672486,681605,685921,687521,692275,695062,699699,688183,688738,677171,667474,656066,648909,628165,627966,635793,625537,621169,617690,626559,614636,616857,606713,601293,590294,590387,573882,550809,547225,544619,543470,542817,553050,556919,575412,589754,600837,619248,641656,661647,675925,685334,688342,686916,686714,678418,678833,677371,681186,685645,681076,684528,696097,697169,702202,703342,706180,717049,717672,720914,722169,720941,726398,724518,715330,709967,709259,708792,702079,698397,694412,690401,686811,686016,685975,684586,689089,694139,694444,697124,707186,711064,713300,720346,727263,727092,731228,733205,732733,735127,733626,744500,752647,758312,767053,765997,764948,762374,754302,750717,747284,752720,763000,760750,758500,756250,754000,751750,749500,747250,745000,742750,740500,738250,736000,724714,711490,699163,686275,676377,666928,662629,653820,648090,646834,640540,635841,632236,627360,632941,643724,656285,672175,686481,709244,726236,743151,762171,771216,787068,799081,810402,818561,823294,830317,829079,846841,854580,859814,860420,855531,862291,865412,861994,849346,849117,834330,826249,804726,792443,770397,757109,747184,734253,722692,723545,727858,725975,732882,743084,747223,754953,788005,800713,808342,822031,832583,830427,844269,852171,860680,872780,887406,902147,900316,902020,909713,906725,913424,928128,922532,929429,934317,952379,960265,965182,967419,978403,991263,1004658,1025965,1053179,1076642,1098742,1120037,1123055,1132906,1143798,1152418,1159643,1167604,1177639,1190935,1191207,1198366,1207238,1219291,1230730,1249531,1271377,1276505,1280067,1277890,1273247,1275325,1282563,1279068,1279129,1271539,1275330,1272957,1260848,1268740,1265438,1261667,1258289,1239470,1217462,1220778,1208031,1196228,1186974,1185306,1174840,1168604,1163183,1152069,1158139,1162578,1154078,1140565,1131757,1115551,1099249,1068361,1062966,1058764,1056428,1056078,1037310,1026080,1018135,998192,977351,971101,959068,939207,912042,876258,847495,828840,810657,783000,763978,750895,733536,717044,697858,682360,661455,640685,626309,617697,611799,599926,596767,585446,581349,575970,565347,568095,570833,580067,586277,584646,586387,594315,589822,594901,583024,587545,585772,585336,584401,578395,571457,571130,572925,574124,573127,572068,590366,586845,599375,604648,611530,625198,633845,637028,634463,635121,632308,633647,632707,637285,640259,643747,645227,646708,653654,662625,675125,681647,701583,723288,742118,755648,766330,772948,774981,778320,787169
Espírito Santo,600661,596078,601675,610351,626464,626256,623700,616470,619287,613373,613626,615824,621398,616428,614671,610448,596089,586975,583628,577571,569100,561771,543466,530249,520506,519323,514230,514430,508252,502496,499217,495264,486381,484852,487687,490588,495726,497379,500789,495601,496731,501501,500192,496520,502084,514587,519421,524460,523634,522743,519415,526151,524350,529834,539267,552885,556566,560446,574337,583574,602345,622609,637592,651851,677922,699161,716735,738284,763488,775527,803903,830427,849714,868935,890893,903013,920024,926723,939028,953137,959172,966636,959004,953310,947413,940101,931728,934001,920226,918019,911558,902397,900658,905405,896626,885187,887285,887850,886668,887975,891357,896518,893084,881669,872565,860595,852178,849225,837236,821692,824621,817129,809543,792671,786223,783670,781795,772623,777897,783620,779265,783525,781560,776575,779547,780539,781958,779407,772794,773877,768215,763582,767000,761833,756667,751500,746333,741167,736000,730833,725667,720500,715333,710167,705000,694676,690895,685992,677617,671443,664296,662806,658365,656174,653369,645990,635153,635373,624001,626485,624598,624878,626654,624592,629872,632724,630652,633687,636659,644503,654484,658634,674979,686186,699325,709580,726595,735725,746226,753948,768967,774823,778877,782366,766106,759415,746267,735069,716729,703160,692814,685876,673561,687958,697637,718830,739477,758918,781074,808754,837482,864950,904803,942185,974754,992479,1012653,1023096,1053235,1076934,1106784,1143439,1179403,1215909,1246623,1247859,1263713,1259471,1255385,1254354,1242971,1233506,1224650,1212579,1187522,1173478,1142714,1149603,1138824,1143539,1147255,1154354,1163547,1166459,1169920,1170929,1189666,1196673,1211776,1213779,1223466,1236720,1257514,1258655,1261730,1274310,1284263,1287029,1286617,1291873,1278258,1277917,1271961,1274231,1274918,1297570,1307377,1301052,1302702,1311546,1309234,1300733,1333088,1344724,1354740,1366673,1372086,1362051,1369022,1381609,1384601,1391788,1399905,1405689,1407939,1399664,1378303,1362761,1361201,1362811,1367408,1378675,1371421,1375856,1381875,1394890,1391129,1400884,1425142,1411298,1404401,1400677,1383377,1359313,1354319,1352975,1348198,1340779,1336555,1333342,1329632,1342536,1335724,1337172,1338709,1344991,1351637,1331190,1327293,1320652,1307745,1295143,1290093,1283308,1262526,1253194,1234037,1218325,1194499,1172208,1153008,1129382,1115160,1108946,1097369,1094944,1091072,1078314,1074480,1055086,1078764,1097780,1104712,1116828,1132569,1139710,1146390,1161061,1185589,1186935,1195616,1220110,1200211,1200205,1197810,1193447,1182547,1158670,1139906,1115178,1098178,1085816,1080931,1074843,1076596,1080059,1086355,1100972,1108648,1120586,1138655,1159056,1164708,1193829,1197872,1197903,1195693,1188989,1186103,1171814,1146573,1146771
Goiás,867445,870402,863834,865117,877095,879106,883579,881106,879685,884812,899236,905263,896990,905576,904097,905082,891562,876792,852768,839426,824815,806876,781994,762704,764609,762413,756536,766103,775714,784554,798728,796920,793640,801837,820194,841763,852757,849789,859407,850645,848292,848081,858171,853397,872479,904337,915196,919420,930521,945898,953679,974680,978434,984060,978585,993565,989525,962524,958533,961499,954770,958834,970413,970657,989915,1016767,1037315,1069828,1095880,1126297,1150772,1170366,1187552,1198470,1208007,1206698,1219844,1219049,1230943,1240779,1250389,1266709,1277925,1270860,1269289,1264541,1260632,1268946,1260900,1258970,1245725,1231114,1222700,1210975,1195127,1191635,1192786,1189511,1175526,1171169,1163470,1150355,1146523,1142762,1142990,1135192,1138033,1147322,1151525,1154734,1175816,1188192,1198496,1227078,1248139,1262881,1280502,1292634,1310121,1321190,1321206,1354935,1384600,1409359,1439368,1447898,1455856,1457480,1449255,1448893,1441413,1448674,1475000,1475917,1476833,1477750,1478667,1479583,1480500,1481417,1482333,1483250,1484167,1485083,1486000,1459614,1433036,1410645,1385029,1373735,1359091,1353891,1345651,1343847,1346109,1334938,1311935,1308148,1296241,1310896,1332876,1343064,1368099,1382280,1405348,1432982,1457510,1488934,1514939,1543110,1572971,1579595,1589660,1606200,1624614,1642676,1680102,1695835,1707758,1719905,1716900,1742302,1746500,1765618,1747860,1762723,1758742,1762918,1753486,1746874,1749359,1736947,1730142,1719035,1707966,1722932,1763891,1784430,1807379,1834620,1858401,1868943,1894841,1924596,1943769,1973252,2009464,1997390,2045644,2057643,2088325,2140835,2174073,2232611,2269767,2289271,2310616,2321158,2332116,2375676,2353333,2356386,2358305,2351388,2336541,2324454,2311957,2320204,2335717,2342701,2363467,2393105,2409953,2437080,2457079,2476556,2521951,2564783,2589909,2616939,2657527,2678001,2715048,2708840,2732205,2773163,2805591,2814995,2836400,2851178,2875211,2899688,2901707,2899504,2900043,2949122,2969065,2986798,2993518,3021799,3050807,3034413,3067774,3056389,3061533,3093946,3102352,3076494,3101026,3107285,3108797,3126176,3119229,3162329,3171341,3195868,3181778,3193752,3241183,3259514,3256212,3277660,3283717,3286968,3285091,3298650,3308536,3301850,3302880,3274585,3263652,3266104,3227280,3168963,3163063,3142179,3112672,3067214,3018543,2979917,2969669,2943192,2843414,2789713,2767932,2728415,2676182,2615181,2566322,2512321,2434481,2388333,2358572,2335733,2323056,2312406,2276569,2282205,2268204,2249962,2263074,2258502,2278991,2294363,2270346,2278439,2284761,2271263,2288329,2237400,2275562,2276568,2270280,2274530,2274612,2267622,2282903,2285546,2294850,2290766,2286009,2333880,2282713,2310332,2313058,2317328,2341201,2357921,2367716,2368840,2369621,2349721,2318712,2298724,2335710,2354113,2364499,2386837,2389387,2416141,2438585,2465443,2500118,2549397,2630229,2702347,2722113,2734886,2766865,2785855,2785922,2774135
