,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Estado,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
199012,30474,309582,29559,252303,1189274,625408,497630,615824,905263,213394,318475,359427,3413356,442968,329209,1831492,887969,76803,2991714,219588,1666315,130463,30461,1116897,8555681,223653,101698
199101,28949,305351,30431,257506,1175363,630440,504458,621398,896990,206257,315252,359266,3432642,437674,330444,1821109,887126,73473,2992043,220699,1668285,127274,27560,1120404,8542082,220740,101433
199102,27791,306278,31700,254649,1167999,649329,508939,616428,905576,204378,316689,362058,3423307,433848,327898,1829506,889195,67789,2978432,222972,1658456,124089,26146,1130720,8509367,220127,101631
199103,30140,301440,34092,255935,1158184,665453,516450,614671,904097,203041,318191,359263,3397666,432656,331328,1842665,889877,66724,3000859,219182,1651662,121019,24641,1131228,8543056,222639,101429
199104,28668,291133,35539,250422,1148156,671609,528782,610448,905082,200333,313158,356993,3401438,426130,326307,1836083,865830,62328,2979201,213078,1637717,117452,24979,1132968,8579518,225605,101495
199105,27004,280860,39072,242894,1127389,668362,536498,596089,891562,199672,309591,349177,3337898,405625,322844,1805564,840399,59859,2905743,211793,1602979,114912,23321,1122369,8475345,223054,104133
199106,27447,276032,41783,236255,1108500,664608,537318,586975,876792,207276,305158,337954,3276077,387648,320290,1770989,823139,61676,2842600,208396,1581247,110757,20070,1105635,8368734,226280,100466
199107,24565,271693,42655,230968,1100836,664931,537107,583628,852768,211406,297419,328171,3194717,374495,317919,1754721,820941,57059,2799323,210801,1558336,107609,17914,1111517,8240856,231184,95998
199108,21995,265202,45360,229159,1081446,657014,546604,577571,839426,218147,302384,318996,3112589,365294,313511,1727312,820502,59202,2724536,210570,1537391,103155,18518,1103255,8079834,235679,91964
199109,21199,261204,47177,222560,1062066,649076,547066,569100,824815,221901,298404,308023,3027947,353574,307936,1694044,812397,62262,2685279,213472,1516125,96283,17143,1096493,7905547,239315,88582
199110,20125,257700,49295,218153,1045175,645433,552116,561771,806876,224531,297148,293543,2937728,346851,299094,1664945,795411,64684,2662305,210352,1480378,94223,18493,1091411,7763110,244753,83538
199111,19722,247487,51610,213549,1032924,639385,561621,543466,781994,226581,293791,289897,2823851,343250,293417,1647013,778320,67150,2632817,203800,1457701,85239,15193,1096915,7576517,247662,82373
199112,18175,243868,53304,215354,1036656,641186,563537,530249,762704,228514,294446,283983,2776093,346513,292141,1643466,773843,68476,2591458,197494,1458198,85965,13487,1103927,7469446,246763,83723
199201,18147,244524,55691,211343,1034601,644814,570232,520506,764609,233139,300181,288176,2738228,352037,293225,1670681,763317,71071,2589926,191719,1464584,87323,13787,1106182,7430372,248718,86106
199202,17983,239145,57303,209293,1058042,636943,584477,519323,762413,234102,299036,286687,2753049,359191,290493,1670862,754190,78447,2590396,180621,1450894,88285,14866,1096332,7425066,245717,88674
199203,15925,235079,58532,204531,1076044,623199,599492,514230,756536,238113,295682,288692,2755114,356467,286155,1681612,741547,83105,2568425,178209,1453906,88807,16350,1093807,7359218,241925,91018
199204,16999,241325,58302,210627,1094121,622683,620516,514430,766103,238634,306592,289594,2764977,363407,293197,1733022,754546,89797,2592511,181425,1470345,92844,15912,1096610,7394603,241482,93212
199205,17901,243160,59663,214555,1104246,620662,637549,508252,775714,236533,306747,292556,2762324,370732,295504,1793843,765558,95660,2606098,179632,1476869,95278,17054,1100194,7375844,242698,93455
199206,16578,237937,59299,219043,1122898,615037,657434,502496,784554,229288,309190,298121,2778943,374831,293520,1872838,770152,101389,2630141,177462,1484047,98073,19642,1106970,7357906,236371,95722
199207,17221,236377,60071,225822,1122670,610502,672486,499217,798728,218943,311428,298131,2801820,375759,291233,1972034,768809,105717,2660385,177163,1489257,98201,21867,1106816,7373649,231587,98732
199208,17801,232778,59439,225270,1132024,611261,681605,495264,796920,211395,310490,296470,2801860,375735,291208,2007101,764561,107457,2668406,174331,1462399,97683,20482,1111991,7356911,227739,99824
199209,17472,230282,60368,230052,1141902,610315,685921,486381,793640,202422,311986,300001,2820506,378356,287918,2037465,759946,110323,2648896,170913,1455401,97373,18978,1100190,7317382,223488,100355
199210,17317,231901,60803,234945,1150997,602531,687521,484852,801837,199996,312723,310108,2819012,379650,290307,2036820,767516,116410,2617424,169039,1448050,96546,18002,1087721,7299904,218251,102318
199211,17126,232451,58632,243461,1150873,601316,692275,487687,820194,199501,324423,315198,2846208,381993,292825,2036049,782584,122543,2615175,169704,1432057,97169,19577,1069486,7303910,213521,104410
199212,18110,231263,57833,240886,1167179,598321,695062,490588,841763,196872,334629,322560,2874126,383405,291890,2055251,789245,129987,2616910,172127,1421644,97753,22387,1063162,7318807,210611,107581
199301,19688,224604,55562,247101,1191190,584480,699699,495726,852757,194114,337269,329079,2881770,390388,290702,2043384,786245,137907,2610450,168656,1420304,99933,23688,1068209,7339829,208501,109376
199302,20934,227590,55644,250360,1193580,558915,688183,497379,849789,192647,339634,332421,2876079,391617,327353,2038651,781415,143748,2589838,170759,1445125,99447,22109,1067679,7332556,208567,111666
