Estado,199101,199102,199103,199104,199105,199106,199107,199108,199109,199110,199111,199112,199201,199202,199203,199204,199205,199206,199207,199208,199209,199210,199211,199212,199301,199302,199303,199304,199305,199306,199307,199308,199309,199310,199311,199312,199401,199402,199403,199404,199405,199406,199407,199408,199409,199410,199411,199412,199501,199502,199503,199504,199505,199506,199507,199508,199509,199510,199511,199512,199601,199602,199603,199604,199605,199606,199607,199608,199609,199610,199611,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912
Acre,417102,418011,418919,419828,420737,421645,422554,423463,424371,425280,426189,427097,428006,428797,429588,430378,431169,431960,432751,433541,434332,435123,435914,436704,437495,438244,438993,439741,440490,441239,441988,442736,443485,444234,444983,445731,446480,447210,447940,448671,449401,450131,450861,451591,452321,453052,453782,454512,455242,457605,459967,462330,464692,467055,469418,471780,474143,476505,478868,481230,483593,484976,486358,487741,489124,490506,491889,493272,494654,496037,497420,498802,500185,501340,502496,503651,504807,505962,507118,508273,509428,510584,511739,512895,514050,515207,516365,517522,518679,519836,520994,522151,523308,524465,525623,526780,527937,530432,532928,535423,537919,540414,542910,545405,547900,550396,552891,555387,557882,559255,560628,562000,563373,564746,566119,567491,568864,570237,571610,572982,574355,575404,576453,577502,578551,579600,580649,581697,582746,583795,584844,585893,586942,588080,589218,590355,591493,592631,593769,594906,596044,597182,598320,599457,600595,603073,605551,608028,610506,612984,615462,617939,620417,622895,625373,627850,630328,633612,636896,640180,643464,646748,650032,653316,656600,659884,663168,666452,669736,671146,672555,673965,675375,676784,678194,679604,681013,682423,683833,685242,686652,684046,681441,678835,676230,673624,671019,668413,665807,663202,660596,657991,655385,657442,659500,661557,663614,665672,667729,669786,671844,673901,675958,678016,680073,680995,681916,682838,683759,684681,685603,686524,687446,688367,689289,690210,691132,694668,698203,701739,705274,708810,712346,715881,719417,722952,726488,730023,733559,734628,735697,736766,737835,738904,739973,741041,742110,743179,744248,745317,746386,747419,748453,749486,750519,751553,752586,753619,754653,755686,756719,757753,758786,760259,761732,763205,764678,766151,767625,769098,770571,772044,773517,774990,776463,777600,778736,779873,781009,782146,783282,784419,785555,786692,787828,788965,790101,791219,792336,793454,794572,795689,796807,797925,799042,800160,801278,802395,803513,804611,805709,806807,807904,809002,810100,811198,812296,813394,814491,815589,816687,817765,818842,819920,820998,822075,823153,824231,825308,826386,827464,828541,829619,832923,836227,839531,842834,846138,849442,852746,856050,859354,862657,865961,869265,870321,871377,872433,873488,874544,875600,876656,877712,878768,879823,880879,881935,808440,734946,661451,587957,514462,440968,367473,293978,220484,146989,73495
Alagoas,2512658,2515611,2518564,2521517,2524469,2527422,2530375,2533328,2536281,2539234,2542186,2545139,2548092,2552784,2557476,2562168,2566859,2571551,2576243,2580935,2585627,2590319,2595010,2599702,2604394,2607813,2611231,2614650,2618068,2621487,2624906,2628324,2631743,2635161,2638580,2641998,2645417,2648751,2652084,2655418,2658752,2662085,2665419,2668753,2672086,2675420,2678754,2682087,2685421,2681074,2676726,2672379,2668031,2663684,2659336,2654989,2650641,2646294,2641946,2637599,2633251,2635736,2638221,2640706,2643191,2645676,2648161,2650646,2653131,2655616,2658101,2660586,2663071,2665158,2667245,2669333,2671420,2673507,2675594,2677681,2679768,2681856,2683943,2686030,2688117,2690208,2692298,2694389,2696479,2698570,2700660,2702751,2704841,2706932,2709022,2711113,2713203,2722757,2732312,2741866,2751421,2760975,2770530,2780084,2789638,2799193,2808747,2818302,2827856,2830254,2832652,2835049,2837447,2839845,2842243,2844640,2847038,2849436,2851834,2854231,2856629,2859205,2861780,2864356,2866931,2869507,2872082,2874658,2877233,2879809,2882384,2884960,2887535,2890046,2892557,2895067,2897578,2900089,2902600,2905110,2907621,2910132,2912643,2915153,2917664,2922935,2928205,2933476,2938746,2944017,2949287,2954558,2959828,2965099,2970369,2975640,2980910,2983827,2986744,2989661,2992577,2995494,2998411,3001328,3004245,3007162,3010078,3012995,3015912,3018807,3021702,3024597,3027492,3030387,3033282,3036177,3039072,3041967,3044862,3047757,3050652,3049534,3048415,3047297,3046178,3045060,3043942,3042823,3041705,3040586,3039468,3038349,3037231,3044758,3052285,3059813,3067340,3074867,3082394,3089921,3097448,3104976,3112503,3120030,3127557,3129936,3132316,3134695,3137074,3139453,3141833,3144212,3146591,3148970,3151350,3153729,3156108,3153140,3150172,3147205,3144237,3141269,3138301,3135333,3132365,3129398,3126430,3123462,3120494,3122402,3124309,3126217,3128124,3130032,3131939,3133847,3135754,3137662,3139569,3141477,3143384,3145225,3147065,3148906,3150747,3152587,3154428,3156269,3158109,3159950,3161791,3163631,3165472,3176761,3188049,3199338,3210626,3221915,3233204,3244492,3255781,3267069,3278358,3289646,3300935,3302668,3304401,3306134,3307867,3309600,3311333,3313065,3314798,3316531,3318264,3319997,3321730,3323330,3324930,3326531,3328131,3329731,3331331,3332931,3334531,3336132,3337732,3339332,3340932,3342435,3343937,3345440,3346942,3348445,3349948,3351450,3352953,3354455,3355958,3357460,3358963,3360368,3361773,3363178,3364583,3365988,3367393,3368798,3370203,3371608,3373013,3374418,3375823,3371406,3366989,3362572,3358155,3353738,3349322,3344905,3340488,3336071,3331654,3327237,3322820,3324031,3325243,3326454,3327666,3328877,3330089,3331300,3332511,3333723,3334934,3336146,3337357,3059244,2781131,2503018,2224905,1946792,1668679,1390565,1112452,834339,556226,278113
Amazonas,2102766,2108023,2113280,2118538,2123795,2129052,2134309,2139566,2144823,2150081,2155338,2160595,2165852,2170164,2174477,2178789,2183101,2187414,2191726,2196038,2200351,2204663,2208975,2213288,2217600,2221930,2226259,2230589,2234918,2239248,2243578,2247907,2252237,2256566,2260896,2265225,2269555,2273777,2277999,2282222,2286444,2290666,2294888,2299110,2303332,2307555,2311777,2315999,2320221,2325976,2331731,2337486,2343240,2348995,2354750,2360505,2366260,2372015,2377769,2383524,2389279,2395223,2401166,2407110,2413053,2418997,2424941,2430884,2436828,2442771,2448715,2454658,2460602,2465609,2470616,2475623,2480629,2485636,2490643,2495650,2500657,2505664,2510670,2515677,2520684,2525699,2530713,2535728,2540743,2545757,2550772,2555787,2560801,2565816,2570831,2575845,2580860,2600559,2620259,2639958,2659658,2679357,2699057,2718756,2738455,2758155,2777854,2797554,2817253,2824169,2831084,2838000,2844915,2851831,2858747,2865662,2872578,2879493,2886409,2893324,2900240,2905370,2910500,2915630,2920760,2925890,2931021,2936151,2941281,2946411,2951541,2956671,2961801,2967573,2973346,2979118,2984890,2990662,2996435,3002207,3007979,3013751,3019524,3025296,3031068,3040040,3049011,3057983,3066954,3075926,3084897,3093869,3102840,3111812,3120783,3129755,3138726,3146526,3154327,3162127,3169927,3177728,3185528,3193328,3201129,3208929,3216729,3224530,3232330,3238888,3245446,3252004,3258562,3265120,3271678,3278236,3284794,3291352,3297910,3304468,3311026,3303602,3296178,3288755,3281331,3273907,3266483,3259059,3251635,3244212,3236788,3229364,3221940,3231870,3241799,3251729,3261659,3271588,3281518,3291448,3301377,3311307,3321237,3331166,3341096,3345452,3349808,3354164,3358520,3362876,3367233,3371589,3375945,3380301,3384657,3389013,3393369,3400920,3408472,3416023,3423574,3431126,3438677,3446228,3453780,3461331,3468882,3476434,3483985,3488519,3493052,3497586,3502119,3506653,3511186,3515720,3520253,3524787,3529320,3533854,3538387,3542770,3547153,3551537,3555920,3560303,3564686,3569069,3573452,3577836,3582219,3586602,3590985,3609063,3627141,3645219,3663297,3681375,3699453,3717531,3735609,3753687,3771765,3789843,3807921,3813406,3818891,3824377,3829862,3835347,3840832,3846317,3851802,3857288,3862773,3868258,3873743,3879126,3884509,3889891,3895274,3900657,3906040,3911422,3916805,3922188,3927571,3932953,3938336,3943614,3948891,3954169,3959446,3964724,3970002,3975279,3980557,3985834,3991112,3996389,4001667,4006829,4011992,4017154,4022316,4027478,4032641,4037803,4042965,4048127,4053290,4058452,4063614,4065030,4066447,4067863,4069280,4070696,4072113,4073529,4074945,4076362,4077778,4079195,4080611,4085943,4091275,4096608,4101940,4107272,4112604,4117936,4123268,4128601,4133933,4139265,4144597,3799214,3453831,3108448,2763065,2417682,2072299,1726915,1381532,1036149,690766,345383
Amapá,289035,289891,290747,291603,292458,293314,294170,295026,295882,296738,297593,298449,299305,300095,300885,301676,302466,303256,304046,304836,305626,306417,307207,307997,308787,309521,310255,310990,311724,312458,313192,313926,314660,315395,316129,316863,317597,318313,319029,319745,320461,321177,321893,322608,323324,324040,324756,325472,326188,330627,335067,339506,343945,348384,352824,357263,361702,366141,370581,375020,379459,381330,383202,385073,386945,388816,390688,392559,394430,396302,398173,400045,401916,403493,405069,406646,408222,409799,411375,412952,414528,416105,417681,419258,420834,422413,423992,425571,427150,428729,430308,431886,433465,435044,436623,438202,439781,442885,445990,449094,452198,455302,458407,461511,464615,467719,470824,473928,477032,478841,480649,482458,484266,486075,487884,489692,491501,493309,495118,496926,498735,500216,501698,503179,504660,506142,507623,509104,510586,512067,513548,515030,516511,518038,519565,521092,522619,524146,525673,527200,528727,530254,531781,533308,534835,535882,536929,537976,539023,540070,541118,542165,543212,544259,545306,546353,547400,551332,555265,559197,563129,567061,570994,574926,578858,582790,586723,590655,594587,596348,598108,599869,601630,603390,605151,606912,608672,610433,612194,613954,615715,613348,610981,608614,606247,603880,601513,599146,596779,594412,592045,589678,587311,589465,591620,593774,595929,598083,600238,602392,604546,606701,608855,611010,613164,614284,615405,616525,617646,618766,619887,621007,622127,623248,624368,625489,626609,630185,633762,637338,640915,644491,648068,651644,655220,658797,662373,665950,669526,670758,671990,673222,674454,675686,676918,678149,679381,680613,681845,683077,684309,685500,686691,687882,689073,690264,691456,692647,693838,695029,696220,697411,698602,701635,704668,707701,710733,713766,716799,719832,722865,725898,728930,731963,734996,736322,737649,738975,740301,741628,742954,744280,745607,746933,748259,749586,750912,752226,753540,754854,756168,757482,758796,760109,761423,762737,764051,765365,766679,767980,769282,770583,771884,773186,774487,775788,777090,778391,779692,780994,782295,783581,784866,786152,787437,788723,790009,791294,792580,793865,795151,796436,797722,800370,803017,805665,808313,810960,813608,816256,818903,821551,824199,826846,829494,830847,832200,833553,834906,836259,837613,838966,840319,841672,843025,844378,845731,775253,704776,634298,563821,493343,422866,352388,281910,211433,140955,70478
Bahia,11867336,11879560,11891784,11904008,11916232,11928456,11940680,11952903,11965127,11977351,11989575,12001799,12014023,12036023,12058024,12080024,12102024,12124025,12146025,12168025,12190026,12212026,12234026,12256027,12278027,12293551,12309075,12324599,12340123,12355647,12371172,12386696,12402220,12417744,12433268,12448792,12464316,12479455,12494594,12509733,12524871,12540010,12555149,12570288,12585427,12600566,12615704,12630843,12645982,12637290,12628598,12619905,12611213,12602521,12593829,12585136,12576444,12567752,12559060,12550367,12541675,12555681,12569687,12583692,12597698,12611704,12625710,12639715,12653721,12667727,12681733,12695738,12709744,12721538,12733331,12745125,12756919,12768712,12780506,12792300,12804093,12815887,12827681,12839474,12851268,12863080,12874892,12886704,12898516,12910328,12922140,12933951,12945763,12957575,12969387,12981199,12993011,13000741,13008471,13016200,13023930,13031660,13039390,13047119,13054849,13062579,13070309,13078038,13085768,13096464,13107159,13117855,13128550,13139246,13149941,13160637,13171332,13182028,13192723,13203419,13214114,13223206,13232297,13241389,13250480,13259572,13268663,13277755,13286846,13295938,13305029,13314121,13323212,13332579,13341945,13351312,13360679,13370045,13379412,13388779,13398145,13407512,13416879,13426245,13435612,13456151,13476689,13497228,13517766,13538305,13558843,13579382,13599920,13620459,13640997,13661536,13682074,13693179,13704284,13715389,13726494,13737599,13748704,13759809,13770914,13782019,13793124,13804229,13815334,13826568,13837803,13849037,13860271,13871506,13882740,13893974,13905209,13916443,13927677,13938912,13950146,13961023,13971900,13982777,13993654,14004531,14015408,14026285,14037162,14048039,14058916,14069793,14080670,14115829,14150988,14186146,14221305,14256464,14291623,14326781,14361940,14397099,14432258,14467416,14502575,14513807,14525040,14536272,14547505,14558737,14569970,14581202,14592434,14603667,14614899,14626132,14637364,14585659,14533954,14482250,14430545,14378840,14327135,14275430,14223725,14172021,14120316,14068611,14016906,14023625,14030344,14037063,14043782,14050501,14057220,14063939,14070658,14077377,14084096,14090815,14097534,14104018,14110502,14116986,14123470,14129954,14136438,14142921,14149405,14155889,14162373,14168857,14175341,14247741,14320140,14392540,14464940,14537339,14609739,14682139,14754538,14826938,14899338,14971737,15044137,15050990,15057843,15064696,15071548,15078401,15085254,15092107,15098960,15105813,15112665,15119518,15126371,15132785,15139198,15145612,15152025,15158439,15164853,15171266,15177680,15184093,15190507,15196920,15203334,15209437,15215539,15221642,15227745,15233847,15239950,15246053,15252155,15258258,15264361,15270463,15276566,15282223,15287880,15293536,15299193,15304850,15310507,15316163,15321820,15327477,15333134,15338790,15344447,15300128,15255809,15211490,15167170,15122851,15078532,15034213,14989894,14945575,14901255,14856936,14812617,14817654,14822692,14827729,14832766,14837803,14842841,14847878,14852915,14857952,14862990,14868027,14873064,13633642,12394220,11154798,9915376,8675954,7436532,6197110,4957688,3718266,2478844,1239422
Ceará,6366132,6371764,6377396,6383027,6388659,6394291,6399923,6405554,6411186,6416818,6422450,6428081,6433713,6443391,6453069,6462747,6472424,6482102,6491780,6501458,6511136,6520814,6530491,6540169,6549847,6556783,6563719,6570655,6577591,6584527,6591464,6598400,6605336,6612272,6619208,6626144,6633080,6639844,6646608,6653372,6660135,6666899,6673663,6680427,6687191,6693955,6700718,6707482,6714246,6722166,6730087,6738007,6745927,6753848,6761768,6769688,6777609,6785529,6793449,6801370,6809290,6818540,6827790,6837041,6846291,6855541,6864791,6874041,6883291,6892542,6901792,6911042,6920292,6928049,6935806,6943563,6951320,6959077,6966834,6974591,6982348,6990105,6997862,7005619,7013376,7021145,7028914,7036683,7044452,7052221,7059991,7067760,7075529,7083298,7091067,7098836,7106605,7133688,7160770,7187853,7214936,7242018,7269101,7296184,7323266,7350349,7377432,7404514,7431597,7441266,7450934,7460603,7470271,7479940,7489609,7499277,7508946,7518614,7528283,7537951,7547620,7556530,7565439,7574349,7583258,7592168,7601078,7609987,7618897,7627806,7636716,7645625,7654535,7663194,7671853,7680512,7689170,7697829,7706488,7715147,7723806,7732465,7741123,7749782,7758441,7776618,7794795,7812972,7831148,7849325,7867502,7885679,7903856,7922033,7940209,7958386,7976563,7986622,7996682,8006741,8016801,8026860,8036920,8046979,8057038,8067098,8077157,8087217,8097276,8107260,8117244,8127228,8137212,8147196,8157181,8167165,8177149,8187133,8197117,8207101,8217085,8214432,8211779,8209126,8206473,8203820,8201168,8198515,8195862,8193209,8190556,8187903,8185250,8207356,8229463,8251569,8273676,8295782,8317889,8339995,8362101,8384208,8406314,8428421,8450527,8458634,8466741,8474848,8482954,8491061,8499168,8507275,8515382,8523489,8531595,8539702,8547809,8539857,8531904,8523952,8516000,8508047,8500095,8492143,8484190,8476238,8468286,8460333,8452381,8458862,8465343,8471825,8478306,8484787,8491268,8497749,8504230,8510712,8517193,8523674,8530155,8536476,8542797,8549118,8555438,8561759,8568080,8574401,8580722,8587043,8593363,8599684,8606005,8620386,8634767,8649148,8663529,8677910,8692291,8706671,8721052,8735433,8749814,8764195,8778576,8783927,8789279,8794630,8799981,8805332,8810684,8816035,8821386,8826737,8832089,8837440,8842791,8847930,8853069,8858208,8863347,8868486,8873625,8878764,8883903,8889042,8894181,8899320,8904459,8909393,8914326,8919260,8924194,8929127,8934061,8938995,8943928,8948862,8953796,8958729,8963663,8968396,8973129,8977862,8982595,8987328,8992062,8996795,9001528,9006261,9010994,9015727,9020460,9025059,9029658,9034257,9038856,9043455,9048055,9052654,9057253,9061852,9066451,9071050,9075649,9080351,9085054,9089756,9094459,9099161,9103864,9108566,9113268,9117971,9122673,9127376,9132078,8371072,7610065,6849059,6088052,5327046,4566039,3805033,3044026,2283020,1522013,761007
Distrito Federal,1601093,1604255,1607417,1610579,1613740,1616902,1620064,1623226,1626388,1629550,1632711,1635873,1639035,1641878,1644721,1647564,1650407,1653250,1656093,1658936,1661779,1664622,1667465,1670308,1673151,1675879,1678607,1681336,1684064,1686792,1689520,1692248,1694976,1697705,1700433,1703161,1705889,1708549,1711210,1713870,1716530,1719191,1721851,1724511,1727172,1729832,1732492,1735153,1737813,1744824,1751835,1758846,1765857,1772868,1779880,1786891,1793902,1800913,1807924,1814935,1821946,1826535,1831124,1835713,1840302,1844891,1849481,1854070,1858659,1863248,1867837,1872426,1877015,1880881,1884747,1888613,1892479,1896345,1900211,1904076,1907942,1911808,1915674,1919540,1923406,1927278,1931150,1935022,1938893,1942765,1946637,1950509,1954381,1958253,1962124,1965996,1969868,1976641,1983414,1990188,1996961,2003734,2010507,2017280,2024053,2030827,2037600,2044373,2051146,2055004,2058863,2062721,2066580,2070438,2074297,2078155,2082013,2085872,2089730,2093589,2097447,2101480,2105512,2109545,2113578,2117610,2121643,2125676,2129708,2133741,2137774,2141806,2145839,2149502,2153164,2156827,2160489,2164152,2167814,2171477,2175139,2178802,2182464,2186127,2189789,2197477,2205166,2212854,2220542,2228231,2235919,2243607,2251296,2258984,2266672,2274361,2282049,2286304,2290559,2294814,2299069,2303324,2307579,2311833,2316088,2320343,2324598,2328853,2333108,2337331,2341554,2345777,2350000,2354223,2358446,2362669,2366892,2371115,2375338,2379561,2383784,2389794,2395804,2401814,2407824,2413834,2419844,2425853,2431863,2437873,2443883,2449893,2455903,2464341,2472779,2481217,2489655,2498093,2506531,2514968,2523406,2531844,2540282,2548720,2557158,2561302,2565446,2569590,2573734,2577878,2582022,2586165,2590309,2594453,2598597,2602741,2606885,2603825,2600764,2597704,2594643,2591583,2588523,2585462,2582402,2579341,2576281,2573220,2570160,2573480,2576800,2580120,2583439,2586759,2590079,2593399,2596719,2600039,2603358,2606678,2609998,2613209,2616420,2619632,2622843,2626054,2629265,2632476,2635687,2638899,2642110,2645321,2648532,2660301,2672070,2683839,2695608,2707377,2719147,2730916,2742685,2754454,2766223,2777992,2789761,2794979,2800196,2805414,2810631,2815849,2821067,2826284,2831502,2836719,2841937,2847154,2852372,2857577,2862782,2867987,2873191,2878396,2883601,2888806,2894011,2899216,2904420,2909625,2914830,2920029,2925228,2930427,2935625,2940824,2946023,2951222,2956421,2961620,2966818,2972017,2977216,2982402,2987587,2992773,2997959,3003144,3008330,3013516,3018701,3023887,3029073,3034258,3039444,3034049,3028654,3023259,3017864,3012469,3007074,3001678,2996283,2990888,2985493,2980098,2974703,2978083,2981464,2984844,2988225,2991605,2994986,2998366,3001746,3005127,3008507,3011888,3015268,2763996,2512723,2261451,2010179,1758906,1507634,1256362,1005089,753817,502545,251272
Espírito Santo,2600619,2604713,2608807,2612901,2616995,2621089,2625183,2629277,2633371,2637465,2641559,2645653,2649747,2653825,2657904,2661982,2666060,2670139,2674217,2678295,2682374,2686452,2690530,2694609,2698687,2702400,2706113,2709826,2713539,2717252,2720965,2724678,2728391,2732104,2735817,2739530,2743243,2746864,2750485,2754105,2757726,2761347,2764968,2768588,2772209,2775830,2779451,2783071,2786692,2788027,2789361,2790696,2792030,2793365,2794700,2796034,2797369,2798703,2800038,2801372,2802707,2806906,2811106,2815305,2819504,2823703,2827903,2832102,2836301,2840500,2844700,2848899,2853098,2856635,2860173,2863710,2867248,2870785,2874323,2877860,2881397,2884935,2888472,2892010,2895547,2899090,2902633,2906176,2909719,2913262,2916805,2920347,2923890,2927433,2930976,2934519,2938062,2951348,2964635,2977921,2991207,3004493,3017780,3031066,3044352,3057638,3070925,3084211,3097497,3102290,3107084,3111877,3116670,3121463,3126257,3131050,3135843,3140636,3145430,3150223,3155016,3158908,3162800,3166693,3170585,3174477,3178369,3182261,3186153,3190046,3193938,3197830,3201722,3205763,3209805,3213846,3217888,3221929,3225971,3230012,3234053,3238095,3242136,3246178,3250219,3258703,3267187,3275670,3284154,3292638,3301122,3309605,3318089,3326573,3335057,3343540,3352024,3356719,3361414,3366109,3370804,3375499,3380195,3384890,3389585,3394280,3398975,3403670,3408365,3413025,3417685,3422345,3427005,3431665,3436325,3440985,3445645,3450305,3454965,3459625,3464285,3454900,3445516,3436131,3426746,3417362,3407977,3398592,3389208,3379823,3370438,3361054,3351669,3360167,3368666,3377164,3385662,3394160,3402659,3411157,3419655,3428153,3436652,3445150,3453648,3456444,3459240,3462036,3464832,3467628,3470424,3473219,3476015,3478811,3481607,3484403,3487199,3489512,3491825,3494137,3496450,3498763,3501076,3503388,3505701,3508014,3510327,3512639,3514952,3517627,3520303,3522978,3525653,3528328,3531004,3533679,3536354,3539029,3541705,3544380,3547055,3549639,3552224,3554808,3557392,3559977,3562561,3565145,3567730,3570314,3572898,3575483,3578067,3599842,3621617,3643392,3665167,3686942,3708717,3730491,3752266,3774041,3795816,3817591,3839366,3843173,3846980,3850787,3854594,3858401,3862208,3866014,3869821,3873628,3877435,3881242,3885049,3888788,3892526,3896265,3900003,3903742,3907480,3911219,3914957,3918696,3922434,3926173,3929911,3933560,3937209,3940858,3944506,3948155,3951804,3955453,3959102,3962751,3966399,3970048,3973697,3977252,3980807,3984362,3987917,3991472,3995027,3998581,4002136,4005691,4009246,4012801,4016356,4012692,4009028,4005364,4001700,3998036,3994372,3990708,3987044,3983380,3979716,3976052,3972388,3976243,3980098,3983954,3987809,3991664,3995519,3999374,4003229,4007085,4010940,4014795,4018650,3683763,3348875,3013988,2679100,2344213,2009325,1674438,1339550,1004663,669775,334888
Goiás,4017506,4024257,4031007,4037758,4044508,4051259,4058010,4064760,4071511,4078261,4085012,4091762,4098513,4104594,4110676,4116757,4122838,4128920,4135001,4141082,4147164,4153245,4159326,4165408,4171489,4177266,4183043,4188820,4194597,4200374,4206151,4211927,4217704,4223481,4229258,4235035,4240812,4246446,4252079,4257713,4263346,4268980,4274614,4280247,4285881,4291514,4297148,4302781,4308415,4325628,4342840,4360053,4377266,4394478,4411691,4428904,4446116,4463329,4480542,4497754,4514967,4525369,4535770,4546172,4556573,4566975,4577376,4587778,4598179,4608581,4618982,4629384,4639785,4648484,4657183,4665882,4674581,4683280,4691980,4700679,4709378,4718077,4726776,4735475,4744174,4752887,4761599,4770312,4779024,4787737,4796450,4805162,4813875,4822587,4831300,4840012,4848725,4861681,4874637,4887593,4900549,4913505,4926461,4939416,4952372,4965328,4978284,4991240,5004196,5013552,5022907,5032263,5041618,5050974,5060329,5069685,5079040,5088396,5097751,5107107,5116462,5124285,5132108,5139930,5147753,5155576,5163399,5171221,5179044,5186867,5194690,5202512,5210335,5218345,5226356,5234366,5242376,5250387,5258397,5266407,5274418,5282428,5290438,5298449,5306459,5323275,5340090,5356906,5373721,5390537,5407352,5424168,5440983,5457799,5474614,5491430,5508245,5517551,5526857,5536163,5545469,5554775,5564081,5573387,5582693,5591999,5601305,5610611,5619917,5629153,5638390,5647626,5656862,5666099,5675335,5684571,5693808,5703044,5712280,5721517,5730753,5723777,5716800,5709824,5702847,5695871,5688894,5681918,5674941,5667965,5660988,5654012,5647035,5663532,5680029,5696525,5713022,5729519,5746016,5762512,5779009,5795506,5812003,5828499,5844996,5851771,5858547,5865322,5872097,5878873,5885648,5892423,5899199,5905974,5912749,5919525,5926300,5932757,5939215,5945672,5952129,5958587,5965044,5971501,5977959,5984416,5990873,5997331,6003788,6010199,6016609,6023020,6029431,6035841,6042252,6048663,6055073,6061484,6067895,6074305,6080716,6086906,6093096,6099286,6105476,6111666,6117856,6124046,6130236,6136426,6142616,6148806,6154996,6178250,6201505,6224759,6248013,6271268,6294522,6317776,6341031,6364285,6387539,6410794,6434048,6441479,6448910,6456342,6463773,6471204,6478635,6486066,6493497,6500929,6508360,6515791,6523222,6530510,6537799,6545087,6552375,6559663,6566952,6574240,6581528,6588816,6596105,6603393,6610681,6617779,6624877,6631975,6639072,6646170,6653268,6660366,6667464,6674562,6681659,6688757,6695855,6702765,6709675,6716584,6723494,6730404,6737314,6744223,6751133,6758043,6764953,6771862,6778772,6790638,6802504,6814369,6826235,6838101,6849967,6861832,6873698,6885564,6897430,6909295,6921161,6929260,6937360,6945459,6953559,6961658,6969758,6977857,6985956,6994056,7002155,7010255,7018354,6433491,5848628,5263766,4678903,4094040,3509177,2924314,2339451,1754589,1169726,584863
