Estado,199101,199102,199103,199104,199105,199106,199107,199108,199109,199110,199111,199112,199201,199202,199203,199204,199205,199206,199207,199208,199209,199210,199211,199212,199301,199302,199303,199304,199305,199306,199307,199308,199309,199310,199311,199312,199401,199402,199403,199404,199405,199406,199407,199408,199409,199410,199411,199412,199501,199502,199503,199504,199505,199506,199507,199508,199509,199510,199511,199512,199601,199602,199603,199604,199605,199606,199607,199608,199609,199610,199611,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912
Acre,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Alagoas,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Amazonas,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Amapá,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Bahia,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Ceará,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Distrito Federal,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Espírito Santo,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
Goiás,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,9.77,10.96,12.06,12.94,13.35,13.56,13.68,14.09,14.52,15.03,15.53,15.8,16.9,17.6,18.63,19.85,20.33,21.44,21.7,21.74,22.34,23.61,24.53,25.36,27.12,29.68,32.08,34.79,37.59,38.24,37.97,28.3,22.16,18.06,15.46,13.55,12.08,10.6,9.4,7.97,6.72,5.28,3.39,3.3,3.39,3.43,3.4,3.38,3.27,3.39,3.29,3.39,3.2,3.13,3,2.94,2.77,2.78,2.72,2.57,2.47,2.35,2.29,2.15,2.15,2.02,1.92,1.86,1.86,1.85,1.94,2.08,2.77,2.75,2.79,2.84,2.82,2.79,2.8,2.77,2.73,2.74,2.65,2.5,1.84,1.96,2.04,2.01,2.1,2.11,2.11,2.14,2.31,2.29,2.29,2.42,2.81,2.65,2.62,2.54,2.41,2.33,2.25,2.22,2.3,2.42,2.32,2.1,1.91,1.81,1.67,1.66,1.7,1.89,1.89,1.96,1.88,1.81,1.88,2.01,1.84,1.9,1.79,1.79,1.65,1.55,1.77,1.98,1.77,2.15,2.18,2.46,3.46,3.59,3.84,3.95,4.06,3.94,3.6,3.23,3.17,2.7,2.65,2.36,1.57,1.43,1.27,1.24,1.21,1.35,1.59,1.72,1.83,1.87,1.76,1.71,1.74,1.57,1.49,1.37,1.37,1.18,0.95,0.76,0.55,0.29,0.25,0.24,0.25,0.27,0.37,0.29,0.12,0.13,0.21,0.33,0.44,0.6,0.57,0.59,0.69,0.68,0.6,0.57,0.54,0.48,0.39,0.3,0.28,0.4,0.5,0.52,0.47,0.63,0.65,0.7,0.83,0.93,1.14,1.33,1.42,1.23,1.22,1.24,1.13,0.95,0.87,0.82,0.67,0.55,0.38,0.19,0.02,0.04,0,-0.07,-0.06,-0.02,0.08,0.18,0.29,0.43,0.6,0.67,0.74,0.85,0.93,0.99,1.23,1.22,1.18,1.15,1.17,1.11,0.91,0.84,0.78,0.73,0.7,0.64,0.46,0.38,0.3,0.26,0.25,0.35,0.51,0.61,0.79,0.88,0.89,0.84,0.88,0.98,1,1.03,0.98,0.88,0.76,0.82,0.73,0.63,0.71,0.81,0.82,0.77,0.75,0.84,1,1.06,1.04,0.93,0.9,0.96,0.87,0.91,1.12,1.04,1.08,1.09,1.03,1.05,1.13,1.27,1.36,1.34,1.45,1.49,1.49,1.55,1.67,1.67,1.63,1.62,1.64,1.66,1.61,1.62,1.52,1.41,1.25,1.2,1.07,1.02,1,0.93,0.86,0.75,0.7,0.65,0.65,0.65,0.71,0.68,0.71,0.69,0.74,0.73,0.75,0.77,0.84,0.87,0.88,0.86,0.85,0.81,0.75,0.74,0.7,0.71,0.7,0.69,0.62,0.59,0.57,0.54,0.49
