REGIÕES_E_ESTADOS,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
REGIÃO_NORTE,446702,356846,372201,388706,378533,394654,424915,447578,433809,445909,384165,369011,4843028
Rondônia,43969,56610,50875,42192,48218,50789,55824,51939,55288,49204,42726,35764,583399
Acre,10781,18631,14777,13611,16117,16339,18941,18967,20924,20363,16027,19027,204505
Amazonas,52653,99260,42052,97889,56390,56425,53669,76548,59783,80269,60089,68085,803110
Roraima,12845,9759,9856,9468,11937,8438,15279,12303,10868,12857,10157,9416,133182
Pará,178047,198319,192792,167150,179879,194350,205508,211647,208421,204222,182339,172796,2295470
Amapá,15525,16920,16351,16119,13855,13142,20199,22372,22501,19856,21145,15802,213787
Tocantins,43026,47203,45498,42277,52137,55171,55496,53801,56024,59139,51682,48122,609575
REGIÃO_NORDESTE,1398480,1188325,1343496,1174441,1253931,1219913,1352479,1361660,1374699,1400756,1289327,1197267,15554774
Maranhão,104733,137766,105347,96104,101534,105247,119953,114554,111012,127530,118563,113426,1355769
Piauí,68445,86346,78390,67061,82518,87803,97367,96398,89653,86828,83268,82586,1006663
Ceará,184119,223927,197279,172931,208089,221808,240917,231904,228548,239349,214106,207243,2570219
Rio_Grande_do_Norte,76706,86994,78992,72453,75853,71141,73757,75672,72539,70133,70074,70581,894894
Paraíba,102133,116700,100902,90354,87950,82003,91563,93003,98110,98927,93897,84860,1140401
Pernambuco,203280,242066,237113,215936,215320,185526,196313,205217,206380,205342,184442,173109,2470044
Alagoas,57164,65022,65016,53814,49929,41744,44337,49858,51149,52656,42501,39137,612328
Sergipe,51980,58223,65425,51473,50144,47859,50122,52805,57106,56419,54081,48408,644047
Bahia,317765,359438,378031,303315,316094,304782,350650,346748,358703,361571,333394,290918,4021410
Ajustes,22000,22000,37000,51000,66500,72000,87500,95500,101500,102000,95000,87000,839000
REGIÃO_CENTRO-OESTE,540081,462123,554528,477662,536380,574033,613995,576794,565282,562869,453664,402237,6319648
Mato_Grosso_do_Sul,76759,83237,91710,85377,90393,93928,89887,93871,81404,87328,70505,63011,1007411
Mato_Grosso,98330,122950,134931,106063,131003,143270,156269,144579,142642,138150,104756,90787,1513729
Goiás,217498,258765,255725,221936,244930,265023,284794,266305,268194,268335,220665,197499,2969668
Distrito_Federal,69535,75129,72162,64285,70054,71813,83044,72040,73042,69056,57739,50941,828840
REGIÃO_SUDESTE,2410207,2117374,2571386,2418436,2502051,2506744,2663298,2512894,2348002,2447504,2088326,1973988,28560208
Minas_Gerais,525105,627717,651834,596613,626130,626394,561989,494133,465763,487701,408303,396658,6468342
Espírito_Santo,93012,105552,113318,104319,100004,102328,129416,123271,120044,121939,112262,104167,1329633
Rio_de_Janeiro,328434,372398,404283,364253,381638,377080,417635,359578,334858,330024,294085,270730,4234995
São_Paulo,1006823,1111539,1202951,1152251,1189279,1191943,1199758,1131912,1037336,1129839,918675,867433,13139739
Ajustes,164000,193000,199000,201000,205000,209000,354500,404000,390000,378000,355000,335000,3387500
REGIÃO_SUL,918197,841800,1095653,943995,926292,966253,891361,997329,906481,900322,790350,730285,10908318
Paraná,319537,365643,419131,372724,378877,393042,358553,403875,371571,380143,295438,281653,4340186
Santa_Catarina,266119,276558,329931,284080,253608,295639,283046,303498,278742,249241,240739,206810,3268011
Rio_Grande_do_Sul,251145,270996,341590,282191,288807,272573,244763,284956,251168,265937,250174,237822,3242121
Ajustes,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,58000
BRASIL,5713666,4966467,5937264,5403240,5597186,5661598,5946048,5896255,5628273,5757359,5005831,4672789,66185976
