REGIÕES_E_ESTADOS,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
REGIÃO_NORTE,302559,326083,308467,333933,332721,350760,354304,360013,348372,359769,344782,318506,4040268
Rondônia,32110,34825,34328,35450,36695,36606,40673,40519,35289,37441,34310,32447,430691
Acre,10150,13800,10761,12340,12832,13952,14225,16078,14524,14342,14289,11401,158694
Amazonas,63261,35374,38719,66998,52881,50305,48796,52316,51626,52073,52048,53390,617786
Roraima,9349,10847,10860,8949,9679,9955,9770,10965,8888,10463,8548,9565,117836
Pará,149602,151880,156611,149708,158758,175131,170586,175167,170954,182802,171904,148917,1962021
Amapá,15917,13267,10085,11503,13391,12194,13915,12302,18278,17107,20196,17739,175894
Tocantins,45694,42568,47103,48986,48485,52617,56339,52666,48813,45541,43488,45047,577347
REGIÃO_NORDESTE,1104139,1118699,1204518,1133276,1132162,1119162,1196413,1183776,1136232,1103757,1152629,1138428,13723191
Maranhão,90869,92763,87250,86571,94443,95000,100278,97036,98001,104152,108978,101536,1156878
Piauí,70530,71133,72852,73269,73350,75075,82175,79132,79162,76509,79453,76155,908796
Ceará,176773,187312,186485,176721,190157,202906,208659,206965,195841,188222,203406,204557,2328003
Rio_Grande_do_Norte,65712,68895,75639,69032,69072,72400,71696,70312,65712,61702,66370,66364,822906
Paraíba,82527,81529,88634,77381,80817,76445,84929,82776,81529,73628,77286,74255,961736
Pernambuco,167306,166290,179553,170348,164996,167532,178598,177848,169701,163018,171443,163938,2040572
Alagoas,38458,40282,44091,39374,40904,38419,39849,38757,37084,35353,38823,40483,471878
Sergipe,42646,42366,46780,51989,48826,45065,46401,44125,41639,41987,45587,47599,545009
Bahia,280877,254568,318235,291591,276598,250321,281828,283825,267564,259186,261283,269539,3295413
Ajustes,103000,99000,105000,97000,93000,96000,102000,103000,100000,100000,100000,94000,1192000
REGIÃO_CENTRO-OESTE,364211,409108,437054,435325,446809,463873,511316,472814,458104,420264,401435,353025,5173337
Mato_Grosso_do_Sul,72192,71209,80651,78682,76891,80194,96613,85369,83945,78525,84256,64323,952850
Mato_Grosso,94542,86543,101239,105285,111810,115567,127053,113457,107828,102958,99300,78635,1244218
Goiás,191021,158987,202024,200155,205413,212790,223793,217446,214193,190495,174517,167738,2358571
Distrito_Federal,51352,47472,53140,51202,52695,55321,63858,56542,52137,48286,43363,42329,617698
REGIÃO_SUDESTE,1913404,2070321,2220461,2153401,2122214,2119395,2300251,2242234,2173146,2027279,2003486,1844965,25190557
Minas_Gerais,416150,339621,466774,415069,439446,440616,429457,468183,438992,417542,380746,363966,5016564
Espírito_Santo,105916,98740,114766,105856,106286,108974,108969,119374,113403,109032,99660,99117,1290093
Rio_de_Janeiro,259035,258112,285101,280296,281139,267397,263114,248575,237193,218805,219024,203375,3021167
São_Paulo,931221,846931,966819,979179,928343,926407,1052710,948102,906557,848900,875056,771507,10981733
Ajustes,358000,370000,387000,373000,367000,376000,446000,458000,477000,433000,429000,407000,4881000
REGIÃO_SUL,822665,808051,889193,820086,809466,852250,914991,813163,823531,737923,840636,708454,9840410
Paraná,314065,324706,364253,349941,304772,329430,382585,323510,335874,295163,337699,279028,3941028
Santa_Catarina,238008,238707,259546,240803,248709,256686,274760,239951,249705,222248,250074,203499,2922696
Rio_Grande_do_Sul,251978,254252,259395,224342,251984,262133,252646,245702,233952,216512,248864,221927,2923687
Ajustes,4000,5000,6000,5000,4000,4000,5000,4000,4000,4000,4000,4000,53000
BRASIL,4506978,4732262,5059694,4876020,4843373,4905440,5277275,5072000,4939384,4648991,4742969,4363378,57967763
