Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
AC,12,Acre,207486.44195853,307323.236019908,235057.973270698,274841.250573876,278643.341903727,203948.594317474,213061.839872405,305538.728036946,318268.775511452,380703.619735383,329152.925807561,312123.036297833,338343.744622583,351139.437099347,329658.849401819,352494.55279601,375036.031845054,506500.1710126,322852.886006419,439046.164591528,307794.015789706,340614.768302483,334647.406013601,350720.95964837,780262.08198246,685411.98965052,581433.707960372,559164.004521688,517569.4101327,680114.055980938,463529.140093891,363269.04977257,303200.482324611,308058.059561897,309687.407575503,
AL,27,Alagoas,1094083.30691775,1648611.98272765,1675905.99710185,1661463.20813605,1320639.33398264,1140775.61045751,873791.227607234,908844.613858007,1221188.31587514,1345619.99780773,1207835.61389357,1233308.59291967,1461947.72154286,1563000.98648877,1250841.58055671,1307471.87067429,1089225.6672446,1037094.84043914,667727.712607716,710735.441888161,909596.615225644,876921.330693335,982288.679919506,1274872.41958947,1634909.08721434,1757189.27279823,1958261.00938541,1846452.0168425,1859065.13094044,1823977.14670101,1458480.52991457,1459543.71049845,1293522.95664747,1188204.67835304,1097613.93835671,
AM,13,Amazonas,1502129.5180671,2014757.19465739,2168533.8870167,2466622.574507,2529081.60739598,1885087.7130723,2017013.71427043,2104529.8783955,2846059.39658478,3353917.34042462,3076702.91563149,2845318.22551357,3500576.59871008,3443057.54316589,3201453.95102248,3384908.18667661,3750366.4286269,2401570.16240628,1824551.87521454,2456049.75806333,1877134.72283384,1946747.40526791,2762816.77994662,2336045.74271286,2789652.22129869,3317844.21127003,3148853.76439119,2926014.89229512,3405729.64789576,2994510.83440949,2430037.78970442,2216941.1783444,1823894.50842397,1673511.15718585,1760398.11565211,
AP,16,Amapá,84791.470465786,98438.1992293901,95423.9701275467,109643.027470618,111254.435265629,79659.1332608547,84414.3384752164,123866.648369376,130659.878678685,159940.154473381,141975.389090916,128165.75200451,134289.496360489,120053.122593491,104811.754075022,103697.953991113,106218.077010358,313641.83087706,330732.349468258,290255.430236755,271088.52793646,329866.85105219,334539.292752906,472765.138458245,339228.046653262,374755.81855186,478230.497600685,649747.696337554,573830.132546541,657590.391686393,702421.352874182,476897.460629486,371627.94862536,371693.807586781,316135.12892497,
BA,29,Bahia,6513353.04931319,9173760.52828282,5200353.74237286,4989453.36961682,6707816.56588037,6753978.11985712,6077555.13741872,6150181.81013532,7005711.36439226,8411961.83807177,9034885.65580459,8927412.06030017,11257805.5595263,11341767.0314625,10125325.1895269,10501321.0715422,9459878.23557621,7050329.77092363,5031595.62092464,6569968.39149285,5885434.14020885,6749842.91247472,6706544.53283242,7536679.67034089,8894117.19786624,10935228.8268609,11230767.6814222,11094618.3412616,11975954.4211983,12223089.6519606,10836194.7024349,9365401.7304235,8056606.33167505,7452786.81425759,7105523.94536609,
CE,23,Ceará,2593533.02567211,3610337.96499029,2908860.97767369,4003192.57748349,4354133.64674803,3273599.26840957,4338623.65439144,4804806.50181197,7692309.03075,7566300.39379659,6726663.13104169,7121803.8154728,9579724.83575196,10473237.9904286,8676308.43028568,7175411.69181355,6441204.27150153,3420858.68200958,2412056.6019938,2732332.67899123,2544182.25522236,2784261.39480396,2963109.56172557,3034907.8908179,3756353.97543812,4727354.53573715,5224902.14158869,5658434.03798085,5498766.69153699,5814013.88853749,6382918.90724481,5410117.86938993,3565491.78056617,3927731.31790342,3448098.43097619,
DF,53,Distrito Federal,1348087.77050167,1774685.63819275,1460502.27711392,1576022.05600947,1696028.59062455,1897959.54181624,1635340.43941296,1751964.5361716,2404822.92152644,2778105.17138844,2471476.54055922,2510820.63114057,2675372.12464471,2668760.9276547,2359435.1032875,2342225.63395415,2203354.8724093,4945861.30821012,2399512.30664222,3598908.00006294,4203643.6134993,2967220.37059212,2962632.67349101,3208678.82931679,4804555.14626128,5863709.95100767,5570686.4109511,5372360.63938803,5042445.31809744,4923969.49765285,3763432.0225932,3604624.79140452,2763473.77595117,2886710.02519153,2788001.04057283,
ES,32,Espírito Santo,1938054.96352212,2886826.60632624,2236116.77291864,2861532.77792924,4016993.81487758,2728945.1832514,3020419.7404536,3677624.10785798,3867867.40744575,4458447.4347935,4694332.05247016,4764391.31218519,5515862.34588607,5018547.48311195,4303526.13639759,4480769.70446239,4244961.80223674,3062100.72560035,1961944.45153256,2190836.0178475,2164452.06928802,3351267.33773751,2908471.83499862,3012120.61645212,4228558.0020198,4386374.27211791,4420831.73352584,5255639.94467176,4915176.47617348,4200327.60192443,3714030.00763108,2877465.28501359,2665247.49335752,2539380.69358181,2965208.63718214,
GO,52,Goiás,3758824.7953121,5201485.31021325,3605143.87114649,4264950.86781254,3798152.75958622,2673109.16218913,2290717.13417086,2251106.74857153,2943714.01745833,3770421.1864596,3857408.9551444,3956390.74491622,4817299.57443027,4961400.56133438,4083829.55123957,6297411.71129682,6094770.75913317,4096598.73917169,3254422.38273926,4094499.57509726,3810644.33850594,3922399.74384649,5073435.65187399,4565474.28193802,5569872.99717651,7640437.82722611,8044921.92975556,7602583.60586423,8391928.75444781,9242176.78862396,7948271.28959397,6543922.74024561,5813601.59253493,5366032.62027045,5657355.62708941,
MA,21,Maranhão,803995.237958356,964913.893194221,1061193.52733918,1243731.33586816,1111849.03453761,905256.721697957,689790.797832122,903484.519209716,1146488.66443444,1118960.48066649,826757.234655424,1062638.62687182,1355228.66337577,1460113.45396242,1318073.76436764,1340867.03607255,1259820.0306155,2598597.61249412,2248362.83615115,1782836.79664775,1531435.37063779,3729984.62518131,1933948.40265348,2725505.3475187,3450742.45195729,3715268.56292705,3819269.91332022,4229202.67627697,4175609.35012108,4760524.69801486,4022870.66108951,3177980.34757245,2683603.68273587,2312154.15208134,2191892.10156068,
