Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
AC,12,Acre,9.2156447838,9.0767437079,8.537466414,8.6109801268,8.4021139821,8.5046506371,8.7232716989,8.5758084005,8.5919435813,8.4737417079,8.5777487009,8.5137013716,8.2219297645,8.3880379051,8.304872692,8.4004032965,8.4772487716,8.8776748564,8.6011723974,8.4759382481,8.3998937374,8.2328376855,9.0733454575,10.0140493277,10.643843676,10.299687522,10.0996194182,10.3127463552,10.7414174058,11.5296700733,10.6201120031,9.7097196905,9.4705567939,9.2872527422,8.9933972628,
AL,27,Alagoas,5.8791420772,5.9255944825,6.3202839128,5.7302948615,5.7716421572,6.1245303676,6.1700559571,6.3226355082,6.0055725931,6.362685085,6.181753266,6.1250000647,6.3801014987,6.447201319,6.2677884172,6.3133529976,6.3528049829,6.9731629867,6.5679560976,6.6190668379,6.6989126892,6.9254951211,7.2208404164,7.4831725847,7.5205126906,7.5314014372,8.3791650265,8.4430360597,8.1240438483,8.2755024938,8.6748319537,8.452502666,8.6683243983,8.7202754761,9.0418523629,
AM,13,Amazonas,7.3061921667,7.5465779722,7.6018588653,8.05495288,7.8280669131,7.61623794,7.4714279528,6.8910919713,7.6225792821,9.1526483236,10.9038598352,11.920735704,12.5840328433,12.3624364686,11.9482965341,12.5355707993,12.5423008019,11.6842505818,11.7870966923,12.4266366572,12.4898479375,13.5332943452,13.4078276865,13.4783557881,13.4203865972,13.9794375161,15.4219306308,14.1883806521,14.376438812,13.6915741408,12.6585209888,12.0337696931,11.8243985662,12.2522566024,12.4556248288,
AP,16,Amapá,10.5545270034,10.754807754,10.4231947321,10.1495615011,9.7183501032,9.5215635588,9.7164943169,9.5533348074,9.9624865074,9.9455589035,9.9051725699,9.9554276523,10.024907922,9.5898020439,9.2743099109,9.3485932333,9.5227544581,10.9382258534,9.9424422641,10.0560641696,9.6525042811,10.7263032728,11.1740764322,12.317443716,12.0529434262,11.078196815,11.7597779177,12.5493291325,12.7248442178,12.1544254345,11.5307828377,10.9220701616,11.1053063287,11.1921727485,10.9829574945,
BA,29,Bahia,5.1345864345,5.385666992,5.4560517591,6.3129634421,5.6097627988,5.8660892283,5.9453154161,6.1199571037,6.7071595846,7.0983759938,7.5137840396,7.5672092573,7.9824002239,7.9501759825,7.9034016919,8.1411042614,8.0946637877,7.1971491711,7.1705533476,7.4972314674,7.8007896108,7.7911135421,8.2439842365,8.3945992511,8.9729761493,9.1692984986,9.543200121,9.6110993252,9.426833983,9.5683871974,9.7427039952,9.4817451478,9.4199876831,10.0237761994,9.8119047445,
CE,23,Ceará,4.9884487498,5.4917267235,5.4101025588,5.0705604652,4.6275898427,5.0900604617,5.3126551561,5.513377769,5.7601409702,6.3225332816,6.9424553558,7.0754424101,7.1261578509,6.9706269201,6.8808593641,7.0811125819,6.8740162257,6.2148811961,6.1389307854,6.2381112337,6.4126147329,6.6286259037,6.7323191461,7.2473033997,7.4807443709,8.0723578805,8.4793927855,8.3555394711,8.5976439032,9.2413507337,8.8294622166,8.6201492817,8.8291299889,8.9530467515,8.9181623867,
DF,53,Distrito Federal,45.3536263621,46.9690541287,46.7542411571,47.3131550059,45.6608739725,46.1145198188,45.743612208,44.7633556276,45.6183027996,45.7808384624,46.2715859389,46.5509286184,47.2331793556,47.1868020461,47.1897013949,47.5907176968,47.99712472,41.5885382042,38.2266162502,39.2915870626,39.994752679,41.453266924,42.4868041194,42.9723366607,44.3853209899,46.7397248866,46.560192589,44.6476959122,43.0048949036,44.2761927822,43.8306816713,43.9784494044,43.4204256418,45.0507028744,45.8426503491,
ES,32,Espírito Santo,14.6063160835,14.7384534653,14.1894886048,14.4035551103,14.1023551174,13.4193613084,14.070597162,14.1747367354,14.3172081251,15.0099077023,14.8183667859,15.4808004429,15.3001563912,15.5728608745,15.3823960272,16.4679144788,16.2371027289,13.23482851,13.1103457364,14.5873199532,15.6826920125,16.6631895364,17.2009355216,19.2191466629,17.388243646,18.883786026,22.4164483322,22.9369725986,20.2409073355,20.8492541274,17.5360287942,14.723852178,14.5564505487,17.3453232977,16.2566063406,
GO,52,Goiás,8.9125322396,9.2848871354,9.306284364,9.6880128926,11.3622793272,11.1470073868,11.2039309628,11.0574563657,11.5024229008,11.5558264926,11.5187377268,11.578657072,11.8932970314,11.8022273656,11.6898133397,12.0131469004,12.1528450862,12.4496884783,12.5694396075,12.7746069585,12.2350811834,12.7563026841,13.6811839918,14.4268714543,15.0208577972,15.1489772459,15.9608450769,17.0187214445,16.5452678904,16.5738156528,16.0354507905,15.3585003724,15.468392846,14.889936157,15.0147517388,
MA,21,Maranhão,3.8246218743,4.5038034957,4.5473143725,4.8688950137,4.702632293,4.5723258956,4.6903436841,4.5068794504,4.7160590429,4.7580191893,4.7677659129,4.9082911538,4.9854113982,4.6791766448,4.7300162652,4.8679328291,4.8849245308,4.7683982729,5.1099729382,5.1580047586,5.2960382152,5.7986241127,5.4062368479,6.2430259343,6.2934315082,6.225294035,6.3744098404,6.7490962458,7.028952229,7.3829935472,6.9386873707,6.9247644758,6.9274729719,7.3276022152,6.7788318892,
