Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
AC,12,Acre,0.000620185,0.001771361,0.005192642,0.038876349,0.547704719,15.99639309,80.80820123,928.0680459,20105.63289,548356.3313,1237096.725,1459645.547,1555306.521,1694328.657,1866542.316,2154284.485,2475169.496,2742830.2624988,3102382.51072885,3457291.08942908,3911015.4026657,4196284.84394794,4953640.94450895,5853147.54493384,6784794.75023562,7564554.00207669,8165287.86712761,9149379.61838214,10483523.3056154,12348985.9747467,12443127.070159,12500000.8042873,12835663.925721,13622057.1064829,13939291.2290999,
AL,27,Alagoas,0.004074741,0.010037042,0.033596449,0.20071163,2.458330276,81.60226627,428.9000432,4630.854661,93464.35972,2386299.951,4656515.994,5369180.034,6214731.155,6676333.165,6935079.503,7768753.702,8488146.132,10598919.2463206,11508573.5228308,12768127.0022244,14045431.0780643,15682749.818096,17962039.804033,20114736.4601704,21891550.8702384,24340231.7008897,28529961.7317634,31248927.9148837,33708089.4246824,37264089.0201385,42260656.4108397,44754657.9578919,47805620.3764586,48892276.4734697,53032293.9624192,
AM,13,Amazonas,0.007240744,0.022454888,0.072781538,0.53840941,7.521878607,210.0455169,1015.38191,10138.26866,266842.2454,5878452.277,10069421.18,12495041.42,12572250.22,13198509.85,13933920.08,16749755.08,18050376.83,18216345.2050422,21456481.3926955,25239954.5484993,28066285.2107073,33261730.2168876,35928788.8465684,38703348.9925856,42002325.8331047,50384213.3947483,59108111.3872249,59572307.716472,68811996.118883,71897864.7824932,72694786.0957881,75908489.1192624,78497467.001731,84361543.7131151,90725247.7162632,
AP,16,Amapá,0.00057356,0.001458137,0.004727627,0.040189169,0.764695186,18.59140125,96.91090206,1125.864717,23048.07566,624582.2361,1506572.834,1819439.914,2030049.846,2038322.541,2128307.033,2357035.636,2801925.026,2973931.57154085,3193514.38227694,3562167.95521538,3989950.45398062,4902397.51898851,5597908.07726797,6491149.13254589,6965735.36960652,7601714.63787017,8716745.75771643,10250577.561462,11756075.2116,12372437.9456687,12890800.6522666,13468623.7972645,14472589.6001463,15665017.7824133,16324199.3034472,
BA,29,Bahia,0.025442117,0.065506063,0.189983563,1.404576434,19.2211499,518.9828251,2652.432271,28114.11123,611119.1179,14972456.45,26427274.23,32430856.07,36528096.93,37838126,41883129.02,46523212.32,51095879.58,50474723.9657698,57858357.8730706,66379567.3954829,74922462.70199,80678349.3843581,94089687.1482855,104632755.91032,121136943.463363,135415006.032397,145727055.143592,159295894.222184,178261700.255054,196202842.645,215986136.565469,228329341.797693,236137907.96173,250533839.305303,256468543.801774,
CE,23,Ceará,0.008189181,0.02214188,0.064582446,0.474176948,6.55462169,187.0200214,1103.797982,11750.97675,256992.4611,6583971.088,13740241.69,17149445.2,18537642.82,19219949.45,20733661.55,22607131.41,24532751.18,25041258.6581625,28603763.4159341,32199600.0657344,36098252.7510354,40431514.2616069,44289815.1744055,52636041.8233817,58976208.4819395,69178379.551123,78347417.0030112,84076396.7521467,94869897.8582155,110778790.645171,114643469.984454,121800203.293605,130110016.164848,137104522.959445,143128237.735515,
DF,53,Distrito Federal,0.006495394,0.018676894,0.056863386,0.419464079,6.552041576,186.0507524,1396.036917,12978.01217,272431.2859,6778008.796,31133118.64,38656726.6,43800561.47,47286595.8,48619189.39,46474890.26,51523398.38,46975920.5907628,50271761.7581366,58023790.9644242,64870903.7912185,73350720.0186617,81526036.80191,94442970.2816569,106718193.042643,121620222.894696,131630929.966516,138261822.698534,150802935.465945,171201766.019646,186294051.31834,206394425.434707,215601787.690288,226124917.32321,242927103.829427,
ES,32,Espírito Santo,0.008162701,0.022440778,0.059311838,0.445436402,7.234426238,191.5141207,998.6262934,10802.93283,232453.8199,6369394.966,14059095.24,16007846.84,17733917.02,18394274.69,19842972.61,23248586.26,24333663.3,22305216.7807344,25590734.3230626,31642019.3346626,37160264.8615837,42849964.4113123,48226945.2618887,57047268.7332734,55925473.9658192,69817926.8141893,86126685.3903781,95958304.5639909,97681967.228112,109804169.005222,100489687.72488,92228236.180319,95510655.327951,116261868.592356,114812826.459601,
GO,52,Goiás,0.008580578,0.025709562,0.071078302,0.511787904,6.185994032,202.4104274,1135.898599,11199.89492,257273.9551,6810241.493,14461405.84,17722630.22,19825070.24,21120127.89,22191345.55,26249030.74,29914136.3,34145119.8693923,40056841.9875522,45534687.3735255,47802305.9524712,54264427.3236513,63288114.4434026,72473501.0121585,82102350.7760765,93245999.7255695,105126839.787794,122476482.987672,133808285.47346,146560341.656225,154573451.929317,162107294.955091,171301180.171891,173890167.587297,185196920.768166,
MA,21,Maranhão,0.003529938,0.010243301,0.028887456,0.226972341,3.307274326,92.15262193,490.4672007,5166.841776,109844.6715,2861414.609,6390133.836,8482394.18,9249485.071,9380513.109,10308256.16,11908911.65,13419658.02,14566203.2724056,18025321.2120869,20098714.4960845,22471384.9429822,26620176.9139206,27258092.3888863,33832972.2697518,36958045.6765007,41111063.645553,45886793.2586545,52984064.4962197,60028885.5689579,68566330.6816724,69855530.3951119,75908366.7799735,79222988.728956,86982647.2272315,84289359.6061653,
