index,estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
72,AC,1991-01-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,17.03,20.75,19.93,0.8710757273,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
73,AC,1991-02-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,15.5,45.77,21.11,0.3904118235,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
74,AC,1991-03-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,8.33,63.15,7.25,0.4542281053,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
75,AC,1991-04-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,6.77,71.29,8.74,0.4203181818,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
76,AC,1991-05-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,13.19,84.02,6.53,0.4355714286,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
77,AC,1991-06-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,10.18,104.61,9.86,0.4923834,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
78,AC,1991-07-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,13.61,130.0,12.83,0.509028913,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
79,AC,1991-08-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,14.63,165.95,15.49,0.6670302727,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
80,AC,1991-09-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,21.11,207.52,16.19,0.8632857619,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
81,AC,1991-10-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,23.01,269.73,25.85,1.00826087,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
82,AC,1991-11-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,29.47,362.94,25.76,1.4142999,0.645,0.574,0.176,11.17,4782146.58522158,,,,,
83,AC,1991-12-01,313086.94454649166,6.734016769166666,0.7269393082416666,213061.839872405,417102.0,19.71,472.7,22.14,1.30058719,0.645,0.574,0.176,9.77,4782146.58522158,,,,,
84,AC,1992-01-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,29.87,25.94,26.84,1.166181864,0.645,0.574,0.176,10.96,4879149.90415669,9.2163144702,,,,
85,AC,1992-02-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,23.63,56.57,24.79,1.27180005,0.645,0.574,0.176,12.06,4879149.90415669,9.2163144702,,,,
86,AC,1992-03-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,27.77,90.08,20.7,1.19658335,0.645,0.574,0.176,12.94,4879149.90415669,9.2163144702,,,,
87,AC,1992-04-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,17.42,127.96,18.54,1.135298263,0.645,0.574,0.176,13.35,4879149.90415669,9.2163144702,,,,
88,AC,1992-05-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,28.22,184.63,22.45,1.0402834,0.645,0.574,0.176,13.56,4879149.90415669,9.2163144702,,,,
89,AC,1992-06-01,322178.11394269834,77.339003825,0.7146507000416666,305538.728036946,428006.0,18.03,242.15,21.42,1.040460286,0.645,0.574,0.176,13.68,4879149.90415669,9.2163144702,,,,
