estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg,consumo
AC,2003-01-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.7,12.53,2.7,0.08229309524,0.694,0.612,0.325,3.46,6098524.41582601,6.5827877908,-1.0,-1.0,-1.0,-1.0,3260.0
AC,2003-02-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.51,2.25,2.17,0.08877068182,0.694,0.612,0.325,3.59,6172460.00795063,6.5827877908,-999.0,-1.0,-1.0,-1.0,2191.0
AC,2003-03-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.39,3.86,1.59,0.09073265,0.694,0.612,0.325,3.84,6172460.00795063,6.5827877908,-999.0,-1.0,-1.0,-1.0,2154.0
AC,2003-04-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.38,5.13,1.66,0.092749,0.694,0.612,0.325,3.95,6172460.00795063,6.5827877908,34655.0,-1.0,-1.0,-1.0,2643.0
AC,2003-05-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.9,6.15,0.41,0.0927578,0.694,0.612,0.325,4.06,6172460.00795063,6.5827877908,172597.0,-1.0,-1.0,-1.0,2546.0
AC,2003-06-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,2.84,6.8,-0.67,0.09272338095,0.694,0.612,0.325,3.94,6172460.00795063,6.5827877908,28018.0,-1.0,-1.0,-1.0,3040.0
AC,2003-07-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.05,6.64,-0.7,0.092025,0.694,0.612,0.325,3.6,6172460.00795063,6.5827877908,45130.0,-1.0,-1.0,-1.0,4963.0
AC,2003-08-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.99,6.85,-0.2,0.08972826087,0.694,0.612,0.325,3.23,6172460.00795063,6.5827877908,345698.0,-1.0,-1.0,-1.0,2924.0
AC,2003-09-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.44,7.22,0.62,0.083783,0.694,0.612,0.325,3.17,6172460.00795063,6.5827877908,44543.0,-1.0,-1.0,-1.0,5276.0
AC,2003-10-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.22,8.05,1.05,0.07573604545,0.694,0.612,0.325,2.7,6172460.00795063,6.5827877908,187848.0,-1.0,-1.0,-1.0,5262.0
AC,2003-11-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,0.65,8.37,0.44,0.07083917391,0.694,0.612,0.325,2.65,6172460.00795063,6.5827877908,148079.0,-1.0,-1.0,-1.0,5041.0
AC,2003-12-01,434223.3529638092,228569.1885415667,0.7398062380333333,506500.1710126,586942.0,1.04,8.74,0.48,0.0667516,0.694,0.612,0.325,2.36,6172460.00795063,6.5827877908,-999.0,-1.0,-1.0,-1.0,4303.0
AC,2004-01-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.16,9.3,0.6,0.062015,0.694,0.612,0.325,1.57,6172460.00795063,7.4474670142,145807.0,-1.0,-1.0,-1.0,4105.0
AC,2004-02-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,0.33,0.76,0.8,0.0599982381,0.694,0.612,0.325,1.43,6261937.06181048,7.4474670142,-999.0,-1.0,-1.0,-1.0,3898.0
AC,2004-03-01,430485.09466694086,258531.87589407084,0.71676436645,322852.886006419,600595.0,1.0,1.37,1.08,0.05993777778,0.694,0.612,0.325,1.27,6261937.06181048,7.4474670142,-999.0,-1.0,-1.0,-1.0,4209.0
