estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1985-01-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,7.53,11.76,12.64,,,,,,3799125.28930008
AC,1985-02-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,13.05,23.9,10.16,,,,,,3799125.28930008
AC,1985-03-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,11.59,36.49,12.71,,,,,,3799125.28930008
AC,1985-04-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,8.8,47.68,7.22,,,,,,3799125.28930008
AC,1985-05-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,22.42,58.31,7.78,,,,,,3799125.28930008
AC,1985-06-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,6.37,71.75,7.84,,,,,,3799125.28930008
AC,1985-07-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,9.8,89.47,8.92,,,,,,3799125.28930008
AC,1985-08-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,13.13,112.3,14.0,,,,,,3799125.28930008
AC,1985-09-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,9.62,135.9,9.13,,,,,,3799125.28930008
AC,1985-10-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,6.75,160.94,9.05,,,,,,3799125.28930008
AC,1985-11-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,20.98,197.4,14.95,,,,,,3799125.28930008
AC,1985-12-01,271996.68391080253,5.1682083333333334e-05,0.76797039865,207486.44195853,,13.51,242.23,13.2,,,,,,3799125.28930008
AC,1986-01-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,13.96,14.37,17.79,,,,,,4002332.68411519
AC,1986-02-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,12.09,28.92,14.98,,,,,,4002332.68411519
AC,1986-03-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,11.05,35.07,5.52,,,,,,4002332.68411519
AC,1986-04-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,-0.33,36.12,-0.58,,,,,,4002332.68411519
AC,1986-05-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,0.23,38.02,0.32,,,,,,4002332.68411519
AC,1986-06-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,1.19,39.78,0.53,0.06648157895,,,,,4002332.68411519
AC,1986-07-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,1.08,42.17,0.63,0.083826,,,,,4002332.68411519
AC,1986-08-01,276091.85173361335,0.00014761341666666666,0.7563953089916667,307323.236019908,,2.69,47.22,1.33,0.1207879048,,,,,4002332.68411519
