estados,data,consumo
RO,1990-01-01,9903.0
AC,1990-01-01,1450.0
AM,1990-01-01,21819.0
RR,1990-01-01,2040.0
PA,1990-01-01,45604.0
AP,1990-01-01,275.0
TO,1990-01-01,3258.0
MA,1990-01-01,28751.0
PI,1990-01-01,13277.0
CE,1990-01-01,47569.0
RN,1990-01-01,19353.0
PB,1990-01-01,27327.0
PE,1990-01-01,92760.0
AL,1990-01-01,27421.0
SE,1990-01-01,23721.0
BA,1990-01-01,98829.0
MG,1990-01-01,255956.0
ES,1990-01-01,52437.0
RJ,1990-01-01,221533.0
SP,1990-01-01,639210.0
PR,1990-01-01,142103.0
SC,1990-01-01,91667.0
RS,1990-01-01,138590.0
MT,1990-01-01,32458.0
MS,1990-01-01,32813.0
GO,1990-01-01,57264.0
DF,1990-01-01,32020.0
RO,1990-02-01,8953.0
AC,1990-02-01,938.0
AM,1990-02-01,22683.0
RR,1990-02-01,2029.0
PA,1990-02-01,38933.0
AP,1990-02-01,1000.0
TO,1990-02-01,2958.0
MA,1990-02-01,24366.0
PI,1990-02-01,12306.0
CE,1990-02-01,42856.0
RN,1990-02-01,15043.0
PB,1990-02-01,21417.0
PE,1990-02-01,66711.0
AL,1990-02-01,20324.0
SE,1990-02-01,14096.0
BA,1990-02-01,79133.0
MG,1990-02-01,206597.0
ES,1990-02-01,36737.0
RJ,1990-02-01,183828.0
SP,1990-02-01,593101.0
PR,1990-02-01,125305.0
SC,1990-02-01,65132.0
RS,1990-02-01,89165.0
MT,1990-02-01,27017.0
MS,1990-02-01,21638.0
GO,1990-02-01,65472.0
DF,1990-02-01,31612.0
RO,1990-03-01,6200.0
AC,1990-03-01,1160.0
AM,1990-03-01,13819.0
RR,1990-03-01,2367.0
PA,1990-03-01,20405.0
AP,1990-03-01,1100.0
TO,1990-03-01,3735.0
MA,1990-03-01,16284.0
PI,1990-03-01,9224.0
CE,1990-03-01,22004.0
RN,1990-03-01,10654.0
PB,1990-03-01,17957.0
PE,1990-03-01,56990.0
AL,1990-03-01,18584.0
SE,1990-03-01,14728.0
BA,1990-03-01,72574.0
MG,1990-03-01,218373.0
ES,1990-03-01,40234.0
RJ,1990-03-01,182124.0
SP,1990-03-01,573829.0
PR,1990-03-01,112970.0
SC,1990-03-01,75893.0
RS,1990-03-01,109681.0
MT,1990-03-01,20231.0
MS,1990-03-01,17629.0
GO,1990-03-01,58816.0
DF,1990-03-01,37038.0
RO,1990-04-01,3774.0
AC,1990-04-01,0.0
AM,1990-04-01,16168.0
RR,1990-04-01,751.0
PA,1990-04-01,13417.0
AP,1990-04-01,1000.0
TO,1990-04-01,2866.0
MA,1990-04-01,8381.0
PI,1990-04-01,5075.0
CE,1990-04-01,29635.0
RN,1990-04-01,11015.0
PB,1990-04-01,21016.0
PE,1990-04-01,62056.0
AL,1990-04-01,20972.0
SE,1990-04-01,15560.0
BA,1990-04-01,77964.0
MG,1990-04-01,228031.0
ES,1990-04-01,40937.0
