,data,estados,consumo
0,199001,AC,1450
1,199002,AC,938
2,199003,AC,1160
3,199004,AC,0
4,199005,AC,1643
5,199006,AC,1964
6,199007,AC,3201
7,199008,AC,2160
8,199009,AC,1586
9,199010,AC,345
10,199011,AC,133
11,199012,AC,1980
12,199101,AC,1841
13,199102,AC,1401
14,199103,AC,1908
15,199104,AC,2411
16,199105,AC,2450
17,199106,AC,4079
18,199107,AC,4147
19,199108,AC,2392
20,199109,AC,2990
21,199110,AC,2643
22,199111,AC,2232
23,199112,AC,455
24,199201,AC,683
25,199202,AC,3750
26,199203,AC,436
27,199204,AC,747
28,199205,AC,2893
29,199206,AC,1197
30,199207,AC,1577
31,199208,AC,1596
32,199209,AC,1916
33,199210,AC,2240
34,199211,AC,685
35,199212,AC,427
36,199301,AC,519
37,199302,AC,1692
38,199303,AC,1510
39,199304,AC,1649
40,199305,AC,1570
41,199306,AC,1840
42,199307,AC,2157
43,199308,AC,1267
44,199309,AC,1761
45,199310,AC,2049
46,199311,AC,1669
47,199312,AC,2005
48,199401,AC,1765
49,199402,AC,1628
50,199403,AC,1400
51,199404,AC,1713
52,199405,AC,1516
53,199406,AC,1363
54,199407,AC,1504
55,199408,AC,1612
56,199409,AC,1833
57,199410,AC,2008
58,199411,AC,2942
59,199412,AC,2620
60,199501,AC,2296
61,199502,AC,1732
62,199503,AC,2097
63,199504,AC,1387
64,199505,AC,1957
65,199506,AC,2913
66,199507,AC,2073
67,199508,AC,2408
68,199509,AC,1912
69,199510,AC,2644
70,199511,AC,2434
71,199512,AC,2051
72,199601,AC,2521
73,199602,AC,2683
74,199603,AC,1657
75,199604,AC,2707
76,199605,AC,2754
77,199606,AC,2916
78,199607,AC,3520
79,199608,AC,3686
80,199609,AC,3066
81,199610,AC,4918
82,199611,AC,4245
83,199612,AC,3839
84,199701,AC,3426
85,199702,AC,2414
86,199703,AC,1585
87,199704,AC,3555
88,199705,AC,4202
89,199706,AC,4431
90,199707,AC,4363
91,199708,AC,4915
92,199709,AC,4608
93,199710,AC,4787
94,199711,AC,5120
95,199712,AC,5082
96,199801,AC,3439
97,199802,AC,3503
98,199803,AC,3435
99,199804,AC,4135
100,199805,AC,4220
101,199806,AC,3577
102,199807,AC,6339
103,199808,AC,6144
104,199809,AC,6533
105,199810,AC,6841
106,199811,AC,6190
107,199812,AC,5036
108,199901,AC,3613
109,199902,AC,2736
110,199903,AC,3173
111,199904,AC,3692
112,199905,AC,4125
113,199906,AC,4759
114,199907,AC,5340
115,199908,AC,5531
116,199909,AC,5283
117,199910,AC,5177
118,199911,AC,6482
119,199912,AC,4987
120,200001,AC,4471
121,200002,AC,4812
122,200003,AC,4420
123,200004,AC,5117
124,200005,AC,5473
125,200006,AC,5259
126,200007,AC,6501
127,200008,AC,6427
128,200009,AC,8492
129,200010,AC,7099
130,200011,AC,7867
131,200012,AC,5293
132,200101,AC,5166.666666666667
133,200102,AC,5166.666666666667
134,200103,AC,5166.666666666667
135,200104,AC,5166.666666666667
136,200105,AC,5166.666666666667
137,200106,AC,5166.666666666667
138,200107,AC,5166.666666666667
139,200108,AC,5166.666666666667
140,200109,AC,5166.666666666667
141,200110,AC,5166.666666666667
142,200111,AC,5166.666666666667
143,200112,AC,5166.666666666667
144,200201,AC,3666.6666666666665
145,200202,AC,3666.6666666666665
146,200203,AC,3666.6666666666665
147,200204,AC,3666.6666666666665
148,200205,AC,3666.6666666666665
149,200206,AC,3666.6666666666665
150,200207,AC,3666.6666666666665
151,200208,AC,3666.6666666666665
152,200209,AC,3666.6666666666665
153,200210,AC,3666.6666666666665
154,200211,AC,3666.6666666666665
155,200212,AC,3666.6666666666665
156,200301,AC,3260.0
157,200302,AC,2191.0
158,200303,AC,2154.0
159,200304,AC,2643.0
160,200305,AC,2546.0
161,200306,AC,3040.0
162,200307,AC,4963.0
163,200308,AC,2924.0
164,200309,AC,5276.0
165,200310,AC,5262.0
166,200311,AC,5041.0
167,200312,AC,4303.0
168,200401,AC,4105.0
169,200402,AC,3898.0
170,200403,AC,4209.0
171,200404,AC,2994.0
172,200405,AC,3720.0
173,200406,AC,4275.0
174,200407,AC,4699.0
175,200408,AC,6416.0
176,200409,AC,6427.0
177,200410,AC,6386.0
178,200411,AC,5591.0
179,200412,AC,5422.0
180,200501,AC,5807.0
181,200502,AC,5242.0
182,200503,AC,4965.0
183,200504,AC,5854.0
184,200505,AC,5892.0
185,200506,AC,7760.0
186,200507,AC,7484.0
187,200508,AC,8048.0
188,200509,AC,7794.0
189,200510,AC,8792.0
190,200511,AC,6725.0
191,200512,AC,6551.0
192,200601,AC,7192.0
193,200602,AC,6443.0
194,200603,AC,9429.0
195,200604,AC,7627.0
196,200605,AC,9283.0
197,200606,AC,7826.0
198,200607,AC,7907.0
199,200608,AC,15133.0
200,200609,AC,12318.0
201,200610,AC,11558.0
202,200611,AC,9965.0
203,200612,AC,9734.0
204,200701,AC,6647.0
205,200702,AC,6138.0
