data,estados,consumo
199001,AC,1450
199002,AC,938
199003,AC,1160
199004,AC,0
199005,AC,1643
199006,AC,1964
199007,AC,3201
199008,AC,2160
199009,AC,1586
199010,AC,345
199011,AC,133
199012,AC,1980
199101,AC,1841
199102,AC,1401
199103,AC,1908
199104,AC,2411
199105,AC,2450
199106,AC,4079
199107,AC,4147
199108,AC,2392
199109,AC,2990
199110,AC,2643
199111,AC,2232
199112,AC,455
199201,AC,683
199202,AC,3750
199203,AC,436
199204,AC,747
199205,AC,2893
199206,AC,1197
199207,AC,1577
199208,AC,1596
199209,AC,1916
199210,AC,2240
199211,AC,685
199212,AC,427
199301,AC,519
199302,AC,1692
199303,AC,1510
199304,AC,1649
199305,AC,1570
199306,AC,1840
199307,AC,2157
199308,AC,1267
199309,AC,1761
199310,AC,2049
199311,AC,1669
199312,AC,2005
199401,AC,1765
199402,AC,1628
199403,AC,1400
199404,AC,1713
199405,AC,1516
199406,AC,1363
199407,AC,1504
199408,AC,1612
199409,AC,1833
199410,AC,2008
199411,AC,2942
199412,AC,2620
199501,AC,2296
199502,AC,1732
199503,AC,2097
199504,AC,1387
199505,AC,1957
199506,AC,2913
199507,AC,2073
199508,AC,2408
199509,AC,1912
199510,AC,2644
199511,AC,2434
199512,AC,2051
199601,AC,2521
199602,AC,2683
199603,AC,1657
199604,AC,2707
199605,AC,2754
199606,AC,2916
199607,AC,3520
199608,AC,3686
199609,AC,3066
199610,AC,4918
199611,AC,4245
199612,AC,3839
199701,AC,3426
199702,AC,2414
199703,AC,1585
199704,AC,3555
199705,AC,4202
199706,AC,4431
199707,AC,4363
199708,AC,4915
199709,AC,4608
199710,AC,4787
199711,AC,5120
199712,AC,5082
199801,AC,3439
199802,AC,3503
199803,AC,3435
199804,AC,4135
199805,AC,4220
199806,AC,3577
199807,AC,6339
199808,AC,6144
199809,AC,6533
199810,AC,6841
199811,AC,6190
199812,AC,5036
199901,AC,3613
199902,AC,2736
199903,AC,3173
199904,AC,3692
199905,AC,4125
199906,AC,4759
199907,AC,5340
199908,AC,5531
199909,AC,5283
199910,AC,5177
199911,AC,6482
199912,AC,4987
200001,AC,4471
200002,AC,4812
200003,AC,4420
200004,AC,5117
200005,AC,5473
200006,AC,5259
200007,AC,6501
200008,AC,6427
200009,AC,8492
200010,AC,7099
200011,AC,7867
200012,AC,5293
200101,AC,5166.666666666667
200102,AC,5166.666666666667
200103,AC,5166.666666666667
200104,AC,5166.666666666667
200105,AC,5166.666666666667
200106,AC,5166.666666666667
200107,AC,5166.666666666667
200108,AC,5166.666666666667
200109,AC,5166.666666666667
200110,AC,5166.666666666667
200111,AC,5166.666666666667
200112,AC,5166.666666666667
200201,AC,3666.6666666666665
200202,AC,3666.6666666666665
200203,AC,3666.6666666666665
200204,AC,3666.6666666666665
200205,AC,3666.6666666666665
200206,AC,3666.6666666666665
200207,AC,3666.6666666666665
200208,AC,3666.6666666666665
200209,AC,3666.6666666666665
200210,AC,3666.6666666666665
200211,AC,3666.6666666666665
200212,AC,3666.6666666666665
200301,AC,3260.0
200302,AC,2191.0
200303,AC,2154.0
200304,AC,2643.0
200305,AC,2546.0
200306,AC,3040.0
200307,AC,4963.0
200308,AC,2924.0
200309,AC,5276.0
200310,AC,5262.0
200311,AC,5041.0
200312,AC,4303.0
200401,AC,4105.0
200402,AC,3898.0
200403,AC,4209.0
200404,AC,2994.0
200405,AC,3720.0
200406,AC,4275.0
200407,AC,4699.0
200408,AC,6416.0
200409,AC,6427.0
200410,AC,6386.0
200411,AC,5591.0
200412,AC,5422.0
200501,AC,5807.0
200502,AC,5242.0
200503,AC,4965.0
200504,AC,5854.0
200505,AC,5892.0
200506,AC,7760.0
200507,AC,7484.0
200508,AC,8048.0
200509,AC,7794.0
200510,AC,8792.0
200511,AC,6725.0
200512,AC,6551.0
200601,AC,7192.0
200602,AC,6443.0
200603,AC,9429.0
200604,AC,7627.0
200605,AC,9283.0
200606,AC,7826.0
200607,AC,7907.0
