data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
199001,1450.0,27421.0,21819.0,275.0,98829.0,47569.0,32020.0,52437.0,57264.0,28751.0,255956.0,32813.0,32458.0,45604.0,27327.0,92760.0,13277.0,142103.0,221533.0,19353.0,9903.0,2040.0,138590.0,91667.0,23721.0,639210.0,3258.0
199002,938.0,20324.0,22683.0,1000.0,79133.0,42856.0,31612.0,36737.0,65472.0,24366.0,206597.0,21638.0,27017.0,38933.0,21417.0,66711.0,12306.0,125305.0,183828.0,15043.0,8953.0,2029.0,89165.0,65132.0,14096.0,593101.0,2958.0
199003,1160.0,18584.0,13819.0,1100.0,72574.0,22004.0,37038.0,40234.0,58816.0,16284.0,218373.0,17629.0,20231.0,20405.0,17957.0,56990.0,9224.0,112970.0,182124.0,10654.0,6200.0,2367.0,109681.0,75893.0,14728.0,573829.0,3735.0
199004,0.0,20972.0,16168.0,1000.0,77964.0,29635.0,32340.0,40937.0,56475.0,8381.0,228031.0,21144.0,21451.0,13417.0,21016.0,62056.0,5075.0,113938.0,172505.0,11015.0,3774.0,751.0,108513.0,78178.0,15560.0,549760.0,2866.0
199005,1643.0,30874.0,22104.0,2015.0,102595.0,45320.0,34414.0,53728.0,73296.0,23677.0,275857.0,26482.0,31869.0,35293.0,29455.0,92525.0,9321.0,146154.0,241736.0,10916.0,11742.0,1774.0,138613.0,95485.0,19020.0,676138.0,7227.0
199006,1964.0,27272.0,23438.0,2470.0,99920.0,40950.0,39601.0,50020.0,79295.0,22617.0,297139.0,28114.0,32609.0,41176.0,40058.0,85199.0,13757.0,144920.0,240338.0,12740.0,11530.0,2926.0,129918.0,88670.0,17487.0,699423.0,5972.0
199007,3201.0,28390.0,26307.0,2955.0,107142.0,27262.0,46122.0,61233.0,89991.0,29391.0,314310.0,33376.0,34614.0,46660.0,57411.0,79855.0,17594.0,147339.0,248346.0,13639.0,18653.0,2275.0,150889.0,103680.0,20707.0,741590.0,8220.0
199008,2160.0,29769.0,31642.0,2050.0,103203.0,48843.0,48087.0,57300.0,90314.0,22992.0,312406.0,33823.0,31166.0,48018.0,40662.0,87198.0,13027.0,173660.0,261872.0,19977.0,15664.0,2425.0,163171.0,117419.0,21485.0,754077.0,7364.0
199009,1586.0,26382.0,22546.0,2950.0,108840.0,45739.0,48230.0,58115.0,83691.0,23302.0,322199.0,31333.0,30918.0,40892.0,27701.0,78153.0,12008.0,146471.0,248041.0,21224.0,11225.0,1542.0,125306.0,97397.0,27841.0,759340.0,7242.0
199010,345.0,26039.0,21388.0,2930.0,116245.0,51587.0,39902.0,57249.0,75459.0,22298.0,290948.0,29733.0,29062.0,43088.0,28738.0,86954.0,11827.0,154868.0,251829.0,20347.0,14589.0,3064.0,136306.0,98156.0,24787.0,737145.0,6725.0
