data,estados,consumo
199101,AC,16951.0
199102,AL,308951.0
199103,AM,259396.0
199104,AP,25699.0
199105,BA,1166517.0
199106,CE,500454.0
199107,DF,459552.0
199108,ES,596078.0
199109,GO,870402.0
199110,MA,258031.0
199111,MG,3173911.0
199112,MS,310164.0
199201,MT,334596.0
199202,PA,436829.0
199203,PB,368891.0
199204,PE,923087.0
199205,PI,132886.0
199206,PR,1666753.0
199207,RJ,2709484.0
199208,RN,201863.0
199209,RO,135304.0
199210,RR,26006.0
199211,RS,1534535.0
199212,SC,1066961.0
199301,SE,240883.0
199302,SP,7998655.0
199303,TO,68284.0
199304,AC,17414.0
199305,AL,313181.0
199306,AM,251779.0
199307,AP,25078.0
199308,BA,1164300.0
199309,CE,488262.0
199310,DF,456001.0
199311,ES,601675.0
199312,GO,863834.0
199401,MA,246255.0
199402,MG,3176423.0
199403,MS,309999.0
199404,MT,326998.0
199405,PA,424171.0
199406,PB,369614.0
199407,PE,919257.0
199408,PI,125757.0
199409,PR,1662035.0
199410,RJ,2713920.0
199411,RN,206534.0
199412,RO,135092.0
199501,RR,25482.0
199502,RS,1563339.0
199503,SC,1078349.0
199504,SE,242142.0
199505,SP,7950986.0
199506,TO,69773.0
199507,AC,18162.0
199508,AL,323250.0
199509,AM,255893.0
199510,AP,25442.0
199511,BA,1183647.0
199512,CE,506504.0
199601,DF,446233.0
199602,ES,610351.0
199603,GO,865117.0
199604,MA,245657.0
199605,MG,3201358.0
199606,MS,317699.0
199607,MT,328929.0
199608,PA,436910.0
199609,PB,378142.0
199610,PE,942777.0
199611,PI,122754.0
199612,PR,1687961.0
199701,RJ,2763493.0
199702,RN,214198.0
199703,RO,137861.0
199704,RR,25115.0
199705,RS,1590858.0
199706,SC,1094025.0
199707,SE,244779.0
199708,SP,7991621.0
199709,TO,71423.0
199710,AC,20573.0
199711,AL,330826.0
199712,AM,259934.0
199801,AP,25240.0
199802,BA,1209648.0
199803,CE,522736.0
199804,DF,446045.0
199805,ES,626464.0
199806,GO,877095.0
199807,MA,254363.0
199808,MG,3268621.0
199809,MS,325677.0
199810,MT,333965.0
199811,PA,465759.0
199812,PB,381416.0
199901,PE,965054.0
199902,PI,124517.0
199903,PR,1731297.0
199904,RJ,2856954.0
199905,RN,218680.0
199906,RO,143388.0
199907,RR,26622.0
199908,RS,1625008.0
199909,SC,1110469.0
199910,SE,249332.0
199911,SP,8147865.0
199912,TO,72461.0
200001,AC,21380.0
200002,AL,323915.0
200003,AM,259384.0
200004,AP,24900.0
200005,BA,1211336.0
200006,CE,525098.0
200007,DF,453237.0
200008,ES,626256.0
200009,GO,879106.0
200010,MA,244105.0
200011,MG,3287819.0
200012,MS,332930.0
200101,MT,328880.0
200102,PA,470817.0
200103,PB,376656.0
200104,PE,945181.0
200105,PI,118792.0
200106,PR,1746443.0
200107,RJ,2876674.0
200108,RN,225129.0
200109,RO,142020.0
200110,RR,28099.0
200111,RS,1625677.0
200112,SC,1118010.0
200201,SE,248192.0
200202,SP,8218996.0
200203,TO,76260.0
200204,AC,23495.0
200205,AL,318442.0
200206,AM,260601.0
200207,AP,25372.0
200208,BA,1200217.0
200209,CE,531076.0
200210,DF,462103.0
200211,ES,623700.0
200212,GO,883579.0
200301,MA,242167.0
200302,MG,3302268.0
200303,MS,339849.0
200304,MT,328679.0
200305,PA,470207.0
200306,PB,360552.0
200307,PE,916902.0
200308,PI,115666.0
200309,PR,1753036.0
200310,RJ,2883220.0
200311,RN,225631.0
200312,RO,142486.0
200401,RR,27724.0
200402,RS,1631149.0
200403,SC,1119865.0
200404,SE,245404.0
200405,SP,8271907.0
200406,TO,81646.0
200407,AC,24441.0
200408,AL,316201.0
200409,AM,256308.0
200410,AP,26167.0
200411,BA,1198559.0
200412,CE,566514.0
200501,DF,463497.0
200502,ES,616470.0
200503,GO,881106.0
200504,MA,231503.0
200505,MG,3334981.0
200506,MS,343758.0
200507,MT,320789.0
200508,PA,465638.0
200509,PB,329795.0
200510,PE,899956.0
200511,PI,104332.0
200512,PR,1781160.0
200601,RJ,2941441.0
200602,RN,228245.0
200603,RO,136956.0
200604,RR,27951.0
200605,RS,1635261.0
200606,SC,1122131.0
200607,SE,241604.0
200608,SP,8360399.0
200609,TO,85563.0
200610,AC,24673.0
200611,AL,310085.0
200612,AM,246695.0
200701,AP,26606.0
200702,BA,1205162.0
200703,CE,583315.0
200704,DF,471601.0
200705,ES,619287.0
200706,GO,879685.0
200707,MA,229332.0
200708,MG,3367978.0
200709,MS,348554.0
200710,MT,319776.0
200711,PA,459059.0
200712,PB,320579.0
200801,PE,891959.0
200802,PI,97245.0
200803,PR,1789912.0
200804,RJ,2956844.0
200805,RN,222526.0
200806,RO,136250.0
200807,RR,30127.0
200808,RS,1614385.0
200809,SC,1111570.0
200810,SE,237975.0
200811,SP,8448422.0
200812,TO,90226.0
200901,AC,26077.0
200902,AL,307462.0
200903,AM,248543.0
200904,AP,26723.0
200905,BA,1202330.0
200906,CE,599002.0
200907,DF,476984.0
200908,ES,613373.0
200909,GO,884812.0
200910,MA,223472.0
200911,MG,3380156.0
200912,MS,353704.0
201001,MT,320736.0
201002,PA,456673.0
201003,PB,326514.0
201004,PE,896319.0
201005,PI,90260.0
201006,PR,1811740.0
201007,RJ,2966256.0
201008,RN,220188.0
201009,RO,135743.0
201010,RR,30087.0
201011,RS,1649733.0
201012,SC,1118128.0
201101,SE,228516.0
201102,SP,8470045.0
201103,TO,97159.0
201104,AC,28375.0
201105,AL,311288.0
201106,AM,251313.0
201107,AP,27918.0
201108,BA,1198864.0
201109,CE,609834.0
201110,DF,482989.0
201111,ES,613626.0
201112,GO,899236.0
201201,MA,217263.0
201202,MG,3417810.0
201203,MS,353806.0
201204,MT,319901.0
201205,PA,447751.0
201206,PB,329578.0
201207,PE,894105.0
201208,PI,82681.0
201209,PR,1821425.0
201210,RJ,2968876.0
201211,RN,220749.0
201212,RO,137616.0
201301,RR,30723.0
201302,RS,1665262.0
201303,SC,1117515.0
201304,SE,223416.0
201305,SP,8523912.0
201306,TO,100305.0
201307,AC,30474.0
201308,AL,309582.0
201309,AM,252303.0
201310,AP,29559.0
201311,BA,1189274.0
201312,CE,625408.0
201401,DF,497630.0
201402,ES,615824.0
201403,GO,905263.0
201404,MA,213394.0
201405,MG,3413356.0
201406,MS,359427.0
201407,MT,318475.0
201408,PA,442968.0
201409,PB,329209.0
201410,PE,887969.0
201411,PI,76803.0
201412,PR,1831492.0
201501,RJ,2991714.0
201502,RN,219588.0
201503,RO,130463.0
201504,RR,30461.0
201505,RS,1666315.0
201506,SC,1116897.0
201507,SE,223653.0
201508,SP,8555681.0
201509,TO,101698.0
201510,AC,28949.0
201511,AL,305351.0
201512,AM,257506.0
201601,AP,30431.0
201602,BA,1175363.0
201603,CE,630440.0
201604,DF,504458.0
201605,ES,621398.0
201606,GO,896990.0
201607,MA,206257.0
201608,MG,3432642.0
201609,MS,359266.0
201610,MT,315252.0
201611,PA,437674.0
201612,PB,330444.0
201701,PE,887126.0
201702,PI,73473.0
201703,PR,1821109.0
201704,RJ,2992043.0
201705,RN,220699.0
201706,RO,127274.0
201707,RR,27560.0
201708,RS,1668285.0
201709,SC,1120404.0
201710,SE,220740.0
201711,SP,8542082.0
201712,TO,101433.0
201801,AC,27791.0
201802,AL,306278.0
201803,AM,254649.0
201804,AP,31700.0
201805,BA,1167999.0
201806,CE,649329.0
201807,DF,508939.0
201808,ES,616428.0
201809,GO,905576.0
201810,MA,204378.0
201811,MG,3423307.0
201812,MS,362058.0
201901,MT,316689.0
201902,PA,433848.0
201903,PB,327898.0
201904,PE,889195.0
201905,PI,67789.0
201906,PR,1829506.0
201907,RJ,2978432.0
201908,RN,222972.0
201909,RO,124089.0
201910,RR,26146.0
201911,RS,1658456.0
201912,SC,1130720.0
199101,SE,220127.0
199102,SP,8509367.0
199103,TO,101631.0
199104,AC,30140.0
199105,AL,301440.0
199106,AM,255935.0
199107,AP,34092.0
199108,BA,1158184.0
199109,CE,665453.0
199110,DF,516450.0
199111,ES,614671.0
199112,GO,904097.0
199201,MA,203041.0
199202,MG,3397666.0
199203,MS,359263.0
199204,MT,318191.0
199205,PA,432656.0
199206,PB,331328.0
199207,PE,889877.0
199208,PI,66724.0
199209,PR,1842665.0
199210,RJ,3000859.0
199211,RN,219182.0
199212,RO,121019.0
199301,RR,24641.0
199302,RS,1651662.0
