Territorialidades,1991,2000,2010,2012,2013,2014,2015,2016,2017
Acre,0.645,0.694,0.777,0.79,0.8,0.8,0.81,0.82,0.82
Alagoas,0.552,0.647,0.755,0.75,0.76,0.76,0.77,0.78,0.78
Amapá,0.668,0.711,0.813,0.8,0.8,0.81,0.81,0.82,0.82
Amazonas,0.645,0.692,0.805,0.77,0.77,0.77,0.78,0.78,0.79
Bahia,0.582,0.68,0.783,0.79,0.8,0.8,0.8,0.81,0.81
Ceará,0.613,0.713,0.793,0.8,0.8,0.81,0.81,0.81,0.82
Distrito Federal,0.731,0.814,0.873,0.87,0.87,0.88,0.88,0.89,0.89
Espírito Santo,0.686,0.777,0.835,0.83,0.83,0.84,0.84,0.85,0.85
Goiás,0.668,0.773,0.827,0.81,0.81,0.81,0.82,0.82,0.82
Maranhão,0.551,0.649,0.757,0.74,0.75,0.75,0.76,0.76,0.76
Mato Grosso do Sul,0.699,0.752,0.833,0.82,0.83,0.83,0.84,0.84,0.85
Mato Grosso,0.654,0.74,0.821,0.8,0.81,0.81,0.82,0.82,0.83
Minas Gerais,0.689,0.759,0.838,0.85,0.86,0.86,0.87,0.87,0.88
Paraíba,0.565,0.672,0.783,0.78,0.79,0.79,0.8,0.8,0.81
Paraná,0.679,0.747,0.83,0.82,0.83,0.83,0.84,0.84,0.84
Pará,0.64,0.725,0.789,0.77,0.78,0.78,0.78,0.79,0.79
Pernambuco,0.617,0.705,0.789,0.79,0.79,0.8,0.81,0.82,0.82
Piauí,0.595,0.676,0.777,0.76,0.76,0.76,0.77,0.77,0.77
Rio de Janeiro,0.69,0.74,0.835,0.83,0.84,0.84,0.85,0.85,0.86
Rio Grande do Norte,0.591,0.7,0.792,0.83,0.83,0.84,0.84,0.85,0.85
Rio Grande do Sul,0.729,0.804,0.84,0.83,0.83,0.84,0.84,0.85,0.85
Rondônia,0.635,0.688,0.8,0.76,0.76,0.77,0.77,0.77,0.78
Roraima,0.628,0.717,0.809,0.75,0.76,0.77,0.77,0.78,0.78
Santa Catarina,0.753,0.812,0.86,0.84,0.85,0.85,0.86,0.86,0.87
São Paulo,0.73,0.786,0.845,0.83,0.84,0.84,0.85,0.85,0.85
Sergipe,0.581,0.678,0.781,0.78,0.78,0.79,0.79,0.8,0.8
Tocantins,0.589,0.688,0.793,0.79,0.79,0.8,0.8,0.81,0.81
