Sigla,Código,Estado,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
AC,12,Acre,3263960.20692963,3313102.22080336,3207432.21961765,3325104.14300475,3452815.13247209,3579888.10663203,3757043.3345579,3866137.36731238,3993758.76709823,4056303.89187842,4223897.90406262,4308741.69566078,4273109.55913591,4466663.73660516,4649466.36685464,4840505.58872459,5024465.34693373,5210680.23556571,5165821.13600329,5342621.20404435,5625711.232135,5653094.46239656,6269672.63778458,6810304.59651442,7356300.96744989,7564554.00207669,7538214.53904468,7825167.55585957,8340313.18315233,9109603.85458895,8533398.05597148,7929801.84487029,7856953.8567649,8073083.75491431,7931591.81495105,
AL,27,Alagoas,13075164.946507,13471572.4041314,14677039.1456925,13580563.8796714,14332032.1436021,15487583.7784208,15877608.6063094,16353401.9025336,15717274.1170712,16844795.18795,16551440.3718613,16582586.3000631,17463339.4779952,17842010.7189827,17603980.0634292,17946198.3372645,18275260.2087444,20135252.1846708,19163089.0594211,19730842.5277202,20203331.1661694,21127275.5422437,22734007.316977,23404071.2489716,23735550.2670322,24340231.7008897,26338933.2776118,26726194.2420291,26816940.680331,27488984.8988237,28982023.6687279,28391643.7124792,29262728.875223,28975905.7573542,30175889.2763705,
AM,13,Amazonas,12682256.4053791,13572271.4459083,14141107.0929211,15471051.3372443,16157787.6662801,16160392.6132879,16274727.5952673,15654273.1162102,17859230.6581368,22089788.591852,27078274.7836083,30432708.4349374,32998505.2913557,33200683.0045308,33117870.1427546,35711146.059418,36702346.7019656,34606425.0573352,35727491.5969688,39003807.5683689,40371310.1836835,44809089.4425346,45473974.9738563,45032453.6535644,45540323.8470086,50384213.3947483,54568758.8588832,50950262.0958086,54744343.2573793,53037639.4870548,49853508.9171224,48155139.066294,48049791.5553581,49996693.0666968,51623545.298593,
AP,16,Amapá,2396901.418886,2556622.14447063,2586932.70054894,2623083.12303591,2747931.52013177,2785523.89756174,2935518.1135254,3187326.85846261,3510331.93333155,3688658.61392494,3855489.37111406,4056926.36716661,4267793.77564173,4252607.3061893,4345301.69684479,4573042.00335434,4855995.31735931,5649713.97378244,5317566.10832008,5504689.5264592,5739253.56298055,6604345.81961958,7085101.94704058,7552637.69359458,7552482.82737763,7601714.63787017,8047321.86705979,8766986.43060111,9352709.60068538,9126903.91186861,8840409.05519438,8544280.87706846,8858947.1751737,9283840.14184308,9288627.62480733,
BA,29,Bahia,54172849.5403428,58031606.6576798,59998035.1423706,70789961.0249148,65788953.2238878,70009715.9425173,72158156.4629323,74372527.7846314,82315856.1929273,87963004.3317604,93997566.0695868,95554904.6281262,101732449.998959,102200140.318879,102831175.219682,106995993.282888,107458224.051316,95889144.2026252,96340772.603483,102577675.731944,107770513.937254,108687171.414922,119086454.512862,121743204.498372,131340718.061149,135415006.032397,134535588.17419,136240610.319051,141818581.916254,144734974.620201,148121582.902151,144848505.546044,144544501.74334,148478357.735659,145933087.22641,
CE,23,Ceará,28823451.4261012,32282538.9125037,32337908.8164139,30799567.9541618,29171928.3958164,32558210.3489925,34462274.9081082,36477692.6959924,38718642.2963721,43159881.9697345,48110556.0825916,49761388.3574985,50850153.0810016,50468956.0868186,50797634.6171356,53104704.6723323,52361072.5988458,47572025.6363597,47628532.3013107,49758687.2563134,51924711.3738117,54467982.484135,56056271.6277034,61243540.3037758,63943974.0601072,69178379.551123,72330534.7661254,71907814.466093,75475070.4247842,81719333.095983,78621584.299441,77268113.1709953,79642813.8992992,81254709.7972749,81441354.5318175,
DF,53,Distrito Federal,62115419.5929449,66181886.6272074,67698364.5342813,70310423.6938966,71980669.286898,74373866.4798679,75402123.593674,76365613.2504268,79848954.2896181,82144878.9190351,85039169.9713885,87569046.6158674,90891846.1638886,92986264.9253229,95830769.2459623,99000923.6237622,102237091.460922,89242307.2315067,83708223.7719595,89665326.9646328,93312077.4334628,98815634.4411022,103185024.496082,109887097.44287,115707427.508671,121620222.894696,121522009.537016,118250851.349623,119973378.611272,126292172.558483,127758985.855848,130933343.222004,131973952.194565,134012460.992734,138227876.632696,
ES,32,Espírito Santo,33383158.9920291,34476942.007081,33944179.7772514,35203210.517048,36201253.2711472,35112577.444533,37497466.0480631,38523745.1310726,39620754.5395178,42274294.3103281,42455139.4845082,45102042.6647948,45313631.6750713,46848647.1574785,47296760.6838746,51533950.5139565,51704098.4873405,42374241.6067325,42611494.8091505,48897046.5787612,53452338.5610896,57726037.5631651,61039377.3992782,66376128.9955995,60636265.8539616,69817926.8141893,79512375.1390611,82070024.7348804,77712251.4329214,81000373.8983452,68915032.454596,58508127.2283585,58463887.4999941,68902354.1240512,65329611.0707037,
GO,52,Goiás,38767171.2463947,41319279.758732,42335776.577342,45011525.1402962,45070219.3802562,45075242.9459147,46148991.6359607,47003510.9899741,50023933.6738763,51378868.6253268,52322449.3193889,53703710.3998499,56298574.666341,56970071.4294511,57965482.500416,60869402.0165606,62901157.4054521,64867047.6175856,66699215.930091,70365664.9060178,68760140.738765,73103219.8757621,80101841.0231416,84324991.5160262,89018109.56374,93245999.7255695,97053366.03288,104750162.415972,106453047.779416,108114678.890369,106005249.866951,102838291.511222,104856708.309641,103055645.422322,105378842.925127,
MA,21,Maranhão,16906893.9803239,20300646.547625,20886310.5701615,22771821.9788432,22929696.470923,22660643.7487705,23612714.4676312,22982187.2735605,24386340.4456379,24940337.5694508,25325943.4305665,26415181.1920923,27177257.3234759,25840266.3867855,26577015.3906575,27738099.4878783,28224839.9227137,27672083.2989533,30014218.0980679,31058946.2857601,32323453.0319671,35861811.1725994,34499738.2578252,39365631.0205042,40071146.9061991,41111063.645553,42362804.3152151,45315551.4107637,47756817.1582685,50580032.3646081,47906369.8306253,48155061.4561935,48493897.1946047,51550084.6017896,47961462.5845575,
