estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego
AC,199101,3281564.0977460276,14.6633603325,0.7087208864249998,417102.0,186952.8781243512,6.62,4.7,19.93,2.375184773,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199101,14196951.79688573,74.80207741416666,0.5103775306333332,2512658.0,1045710.9762527177,6.62,4.7,19.93,2.375184773,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199101,14813693.228847243,192.54172382500002,0.6346864950000002,2102766.0,1727997.070316275,6.62,4.7,19.93,2.375184773,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199101,2553396.906098262,17.0421178125,0.7934636298999999,289035.0,73020.87215578347,6.62,4.7,19.93,2.375184773,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199101,64175572.94730753,475.73425634166676,0.4888407690249999,11867336.0,6191146.609869028,6.62,4.7,19.93,2.375184773,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199101,29845026.153243132,171.4350196166666,0.42417170514166663,6366132.0,3000799.3293754393,6.62,4.7,19.93,2.375184773,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199101,68176044.27321225,170.54652303333333,3.842876651566667,1601093.0,1739796.2466648866,6.62,4.7,19.93,2.375184773,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199101,32186529.324155245,175.55461064166667,1.1182801090333334,2600619.0,2501533.0846471167,6.62,4.7,19.93,2.375184773,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199101,41318972.7004218,185.54289178333332,0.9289172822333337,4017506.0,2450350.065340036,6.62,4.7,19.93,2.375184773,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
MA,199101,20772256.769706286,84.47323676916666,0.3810271579666667,4929676.0,829818.6615564604,6.62,4.7,19.93,2.375184773,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244
MG,199101,180815916.53287342,983.9491942500001,1.039811328425,15743536.0,15323051.781479202,6.62,4.7,19.93,2.375184773,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601
MS,199101,17421308.479890153,101.60180378333331,0.8839311299833331,1780385.0,1538563.9144276497,6.62,4.7,19.93,2.375184773,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681
MT,199101,15356882.933674607,88.37696428916665,0.680427273375,2026069.0,911988.8571183159,6.62,4.7,19.93,2.375184773,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968
PA,199101,38820378.8956138,217.85029997500004,0.7068464639666666,4949222.0,2904141.6074740114,6.62,4.7,19.93,2.375184773,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809
PB,199101,15085317.372775104,89.48605028000003,0.426824178675,3201324.0,1128148.779769495,6.62,4.7,19.93,2.375184773,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914
PE,199101,46646246.444896355,281.50240066666663,0.592668147575,7127956.0,3731565.763294903,6.62,4.7,19.93,2.375184773,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051
PI,199101,9839221.097098159,47.417523816666666,0.34477461630833334,2582075.0,390490.4012470781,6.62,4.7,19.93,2.375184773,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351
PR,199101,100897250.54808298,671.7241345833336,1.0827658106666667,8448620.0,10259504.61979181,6.62,4.7,19.93,2.375184773,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145
RJ,199101,254757589.4522909,1149.4487161666666,1.8023766272250001,12807197.0,13463252.106604755,6.62,4.7,19.93,2.375184773,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871
