Data,IGP-DI - (% am) - Fundação Getulio Vargas. Conjuntura Econômica - IGP (FGV/Conj Econ - IGP) - IGP12_IGPDIG12,
194402,1.45,
194403,1.43,
194404,1.41,
194405,1.39,
194406,1.37,
194407,1.35,
194408,1.33,
194409,1.32,
194410,2.6,
194411,2.53,
194412,0,
194501,1.23,
194502,2.44,
194503,-1.19,
194504,0,
194505,1.2,
194506,1.19,
194507,1.18,
194508,1.16,
194509,0,
194510,1.15,
194511,1.14,
194512,1.12,
194601,1.11,
194602,1.1,
194603,1.09,
194604,1.08,
194605,1.06,
194606,3.16,
194607,2.04,
194608,4,
194609,2.88,
194610,0.93,
194611,0.93,
194612,0.92,
194701,3.64,
194702,0.88,
194703,0.87,
194704,-2.59,
194705,-0.88,
194706,-0.89,
194707,-1.8,
194708,0,
194709,0.92,
194710,0,
194711,0.91,
194712,1.8,
194801,2.65,
194802,2.59,
194803,1.68,
194804,-0.83,
194805,-0.83,
194806,0.84,
194807,-0.83,
194808,0.84,
194809,0,
194810,0,
194811,0.83,
194812,0.83,
194901,1.64,
194902,0.81,
194903,0,
194904,0,
194905,0,
194906,0,
194907,0.8,
194908,0.79,
194909,0.79,
194910,2.34,
194911,4.58,
194912,0,
195001,1.46,
195002,0,
195003,-2.16,
195004,-0.74,
195005,0.74,
195006,0.74,
195007,2.19,
195008,2.86,
195009,2.78,
195010,2.7,
195011,0,
195012,1.32,
195101,3.25,
195102,1.26,
195103,2.48,
195104,1.21,
195105,1.2,
195106,-1.18,
195107,-2.4,
195108,1.23,
195109,0.61,
195110,1.81,
195111,0.59,
195112,1.76,
195201,3.47,
195202,1.68,
195203,0,
195204,0,
195205,0.55,
195206,0.55,
195207,1.63,
195208,0.53,
195209,-0.53,
195210,0.53,
195211,2.66,
195212,1.04,
195301,1.03,
195302,1.02,
195303,2.51,
195304,0,
195305,-0.49,
195306,1.48,
195307,1.94,
195308,3.81,
195309,1.38,
195310,2.71,
195311,1.32,
195312,2.17,
195401,2.93,
195402,2.48,
195403,1.93,
195404,3.79,
195405,1.83,
195406,1.35,
195407,1.33,
195408,0.87,
195409,2.6,
195410,0.42,
195411,2.1,
195412,1.65,
195501,1.62,
195502,0,
195503,0.8,
195504,1.98,
195505,0,
195506,0,
195507,1.16,
195508,1.92,
195509,2.26,
195510,1.1,
195511,0.36,
195512,0.36,
195601,1.81,
195602,2.84,
195603,1.38,
195604,0.34,
195605,3.05,
195606,2.96,
195607,1.6,
195608,1.89,
195609,3.4,
195610,1.49,
195611,1.18,
195612,0.29,
195701,4.35,
195702,0,
195703,-0.28,
195704,-0.28,
195705,-0.28,
195706,0,
195707,0.28,
195708,0.56,
195709,-0.28,
195710,0.28,
195711,1.11,
195712,1.37,
195801,1.36,
195802,0.53,
195803,1.33,
195804,1.31,
195805,1.81,
195806,0.25,
195807,1.78,
195808,2,
195809,2.93,
195810,3.56,
195811,4.13,
195812,1.1,
195901,4.14,
195902,7.11,
195903,1.56,
195904,2.12,
195905,1.13,
195906,1.12,
195907,2.21,
195908,4.68,
195909,2.58,
195910,2.35,
195911,3.61,
195912,1.27,
196001,1.56,
196002,2.46,
196003,1.5,
196004,1.63,
