bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143800.32611032197,229551.16765948344,0.9149275878088357
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143845.7262249155,229752.68928322653,0.9136921621433668
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143792.12600053268,229554.99156541275,0.9140790628667125
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143855.39068640597,229758.95364712217,0.9138937934072078
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143804.93127337832,229552.80962111565,0.9150419583582747
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143852.08965270923,229756.70963767957,0.9138303193574139
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23512.87096590909,35638.6976289091,0.30529075944747547
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24865.25144170527,41826.216100936435,0.2795638304215671
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24260.49701763731,39941.10803306029,0.24214429987125669
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20701.99194780908,35817.9215034939,0.17980263816613276
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25208.727848011364,39929.91147953229,0.3032087489359244
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31810.259246492446,44581.88510067995,0.4534087315096673
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22689.830889489145,37212.990821957545,0.23166884589506956
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23507.37228864482,39090.27183563106,0.24857988420881416
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23512.695923965915,35885.10300297952,0.2725805441391459
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21328.7865421856,35858.6713849285,0.20179174467690209
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25624.597837357953,40800.01439888395,0.3256379753636236
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,29401.49397450258,45943.716741675795,0.3355437872785386
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145615.14951734137,230697.43235212468,0.9567143975110501
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145671.46703196788,230901.64837654834,0.9560266631015959
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145613.37141305633,230701.53850090958,0.9562610964229171
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145679.31432912647,230906.68298846736,0.9562025231797682
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145620.09769664417,230698.15196596834,0.9570357381940737
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145671.28215254904,230901.48060239299,0.956023902652571
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22465.160072798295,36402.33190377748,0.25468837889755597
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22713.244550591397,37987.13202019331,0.25930624826154053
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26892.033332149622,50644.794223672856,0.24287797267625255
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23700.30513069088,39337.24563375828,0.2391127760576696
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23696.01517874053,37898.04190970496,0.2881499863532421
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32212.151515511086,47605.60783046229,0.42946640885892867
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23903.966651574337,36898.71870964266,0.2870217376388486
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26798.3578155258,43163.31634179939,0.2569648670721557
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24667.72649243904,40151.97502080572,0.26000410838054433
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22363.408501552058,38972.30431825844,0.2176531845560024
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26892.712360913825,47594.67912922245,0.29037578047593116
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25900.71621188677,44501.77470219637,0.26970743433849936
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146531.4542573686,231278.60726578953,0.9782000879896201
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146590.66120141215,231482.66731147165,0.9777170488195013
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146530.2823219993,231281.36552391094,0.9778662788275869
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146595.9188061108,231486.06268975817,0.9778342563306998
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146547.1515587269,231280.95820415564,0.9787915977097942
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146590.1718920572,231482.34713109492,0.9777056224769225
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23537.580816761365,40657.73634627618,0.25214756524012677
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22252.49836725395,36444.570863508416,0.27162799151731437
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26268.17583096591,46591.06948795594,0.2395107208123049
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21963.239269085094,36177.988495803394,0.21687415169543225
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24502.42604285038,40323.8633039476,0.2648946722867344
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,28612.82314666711,41782.12708774768,0.3951457594603564
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22391.479140625,35105.577415362095,0.24792463885003316
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22325.455898057793,35768.813450705406,0.2315968461844947
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,28349.889132251163,49757.511771793055,0.2953018569811571
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23645.862698634948,39546.42452498104,0.2628736676079731
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27877.673459398673,50152.083156055334,0.26049258485853477
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,29957.91865578486,44911.46125213015,0.3821583603026185
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146991.63416148792,231572.1863698378,0.9888949668542553
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147053.71654198092,231776.22321698727,0.9886412432340077
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146992.43288478043,231574.44167812407,0.9887559239596734
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147057.81660741387,231778.85011220808,0.9887349721544625
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146998.5695991285,231573.3077369434,0.9891714588418552
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147053.43468007195,231776.03242094046,0.988635456154578
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23493.547046638258,39943.22592790571,0.2399180094461388
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22209.00569325258,38641.748044803826,0.23784981701053873
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25557.570508996214,43869.85646040633,0.24269592936644854
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29827.88880002658,49250.97692622656,0.3023646850643584
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,23081.278204012786,37575.59802554359,0.24071070781012247
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24361.38145148276,42403.41720269617,0.27074260987365306
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,21474.88463778409,34721.082698651226,0.200721556428533
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23333.700588666656,40278.33761532946,0.25865473434699804
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29791.585079405813,55709.99628931862,0.3040883259452219
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25370.90548761676,44573.07090273416,0.22883229999154708
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26380.7658910393,43468.179629989165,0.2977432602930903
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26062.938240134703,48095.50824783373,0.2448915047848364
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,140230.60612571024,227311.77564089373,0.8359622791680368
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,140238.9064184956,227498.08589781067,0.8335931643906723
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,140201.43707741477,227309.74524361044,0.8343930273012365
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,140248.1516929061,227504.22317519848,0.8337590597011972
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,140236.78513553503,227313.34648421293,0.8360909122044176
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,140246.90483439967,227503.12683141328,0.833751799903014
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23584.38082623106,36185.708958715746,0.2929515033711287
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,30052.42435734356,42986.48063313891,0.45074158353718174
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20455.243652935605,35504.001085027216,0.19245443270169652
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22296.426076710588,37839.14538907566,0.23816045485273563
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25469.146799242426,39155.81528177054,0.324722908415667
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,53044.50023316468,72950.79202811066,0.7031229137947786
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26123.412984647173,43913.53569024157,0.2645478156109909
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,25072.85042337485,41966.561164461236,0.25803246778770383
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23092.73734330264,38707.85052418656,0.28337043004441737
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21715.32340475015,37451.45762660536,0.2250319073383106
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25216.476737985322,39356.67542896644,0.3156456319333688
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31645.49871332996,50163.10484966702,0.34939857156734266
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143816.5898511482,229560.1756602067,0.9153849128407305
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143851.0211114895,229756.0681875133,0.9138094132699289
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143801.16329841383,229560.67066324016,0.9142842526297489
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143858.6107351273,229760.97648766372,0.9139670132370359
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143825.4568335701,229560.96474579486,0.9159912742589926
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143850.89851522155,229755.88419533867,0.913811184227639
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22674.852617779357,38399.325509717564,0.257095878079416
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,25844.77155379044,40016.4236399493,0.34399192474466456
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,25937.23149502841,46621.928056467776,0.24571199892261314
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21822.593609982534,37273.59651963891,0.22448103069932793
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24369.767729640153,38029.256192889836,0.3132836185882008
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,43766.75755619684,58138.07456594588,0.6142348211610948
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23959.230172969932,39004.3655984693,0.27043837768069023
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,27311.757660913292,45046.48953873504,0.25117344523467205
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,22595.084402257748,38868.03708642989,0.2430288828470672
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20481.27315093883,34438.84809761781,0.21291467301685363
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25347.51575580019,42436.7300812045,0.288874882002291
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26318.336245419767,43892.909405432365,0.2712130381528235
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145628.35435709637,230704.13921594998,0.957213549561606
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145674.57559697278,230903.57706226435,0.9561031487059769
