lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145620.71123342804,230701.96230256866,0.956742259303106
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145675.61828746772,230904.26936511806,0.9561211973841952
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145615.7802186908,230703.06055906822,0.9563176460484919
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145680.8381552343,230907.6452600213,0.9562384183929573
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145620.52338586055,230702.38432357975,0.9567035018824411
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145675.06872172953,230903.9716596045,0.956107146774411
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,29701.558043323865,45673.93022486534,0.3524314844965789
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,34652.15133040325,69069.0167365366,0.3630526347040728
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30406.279769176137,52496.25102089993,0.3081791763380904
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,38127.86928182906,83498.7116326829,0.32759872994707545
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,35725.99930989584,60922.2324614317,0.3750418719729101
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,40643.36882261923,79183.58610167951,0.443422882304209
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,24462.629906944505,38087.94522363835,0.27023492161319135
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,31458.1987251291,66933.58135393802,0.24457466777907644
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,34558.463357007575,60426.182492406486,0.3400568821860848
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30794.232111582056,71766.23115560351,0.22438443968332306
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31239.193678385418,52338.51543997712,0.3368925423529119
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,33742.089477094094,71048.29335191821,0.2568704104301422
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146533.3044888583,231281.42909471755,0.9780689280234857
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146594.73779823424,231485.25614888643,0.9778130271991293
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146533.0316890832,231283.10848724755,0.9779309329002038
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146599.73689768757,231488.48118600965,0.9779243198249578
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146534.1817746804,231282.2348780564,0.9780715704480446
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146594.8333001583,231485.3634024806,0.9778107926691886
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,25736.244574455493,38608.83634414974,0.30072658406315395
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,27021.805546590218,49342.280686497055,0.3187165588769539
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35842.04589370265,63852.345700082835,0.33587109946637633
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33923.81561716851,72595.27045945935,0.2913599097470316
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,30121.029120501895,51419.30782681084,0.3342613733106887
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,30607.892243506987,55024.26996585395,0.35361248981058024
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22251.29504379735,36126.677245533996,0.2356428953789714
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,27726.23273023974,51851.24459720026,0.25649330290471134
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37413.90539417614,67587.9584252651,0.3754289747267514
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33387.550340432295,71621.33736867091,0.2586595430897669
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26435.772779947918,47101.15804994645,0.25842789037714664
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27364.33640382936,49688.15230815939,0.23920257913271575
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146991.90575605913,231573.148502531,0.9888058485527246
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147055.92595972036,231777.6237858648,0.988693629827007
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146992.79646362306,231574.67305327952,0.9887644162510364
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147058.51371218194,231779.2927277114,0.9887513994137983
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146992.64927734376,231573.65815168942,0.9888369195013643
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147056.06250177987,231777.7093416365,0.9886976785200792
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21920.12825106534,35788.082370588345,0.23080705212995925
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24061.420901997266,42737.77086011696,0.2978437773748426
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37062.973954782196,63931.464600237174,0.3556893793848165
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29156.307968417754,58323.97797708609,0.24747256192662623
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27890.122769886362,49162.177451856005,0.2889731591130347
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,32076.96373903592,56587.84738941484,0.4021788540079738
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23347.859953243373,37864.13056450349,0.2544904718869453
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,29024.334812020617,55471.5443126847,0.25847491417821633
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,34570.387999526516,64622.6906852181,0.3128250503009659
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30975.132686721598,66980.32323212062,0.2513874161475806
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25098.79155362216,45046.85169414379,0.24909387283326448
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24049.98091194088,45357.319060977876,0.19950231020109754
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147223.27547468705,231720.63767869578,0.9942264871592545
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,147288.050344196,231924.98693587992,0.9941695125428273
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147224.7766423266,231721.99276280438,0.9942305846640016
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,147290.24416202068,231926.38944189576,0.994220210232613
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147223.9172537324,231721.09270485892,0.9942493466155856
1,0,50,32,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,147288.22069937983,231925.09285073323,0.9941743089194327
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22505.11190991951,37324.92173739023,0.21509834876399947
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,27301.456261153933,47533.62973468184,0.36294464961435013
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,39358.9442779356,64673.53503035221,0.4290659386225587
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,38905.92685807925,79253.26383417501,0.36286563615924106
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27867.049563506156,46772.89541098357,0.3022271457051999
1,0,50,32,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24898.1597884075,39695.8682135708,0.3101275889845196
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,24271.56128432765,40507.37808987081,0.2309181924286426
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26496.000018392126,55304.50114273675,0.23288748354622585
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33887.33700343277,60408.37718479548,0.31392141963172837
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47748.48408109681,91579.09756710577,0.4314812396943154
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27248.914446614584,46846.69312018579,0.2666551420444461
1,0,50,32,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,28009.893742465163,54788.84704433779,0.23972811058253563
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143820.26076379025,229564.4502101095,0.9152667489255388
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143855.16081451008,229758.66294798834,0.9138982567656635
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143803.56589725378,229562.17936179234,0.9143388983884644
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143860.13078550986,229761.93058994244,0.9140016363319176
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143822.23587121212,229566.8082470964,0.9152373406322593
1,0,100,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143854.62495134986,229758.4228302499,0.9138842797959558
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,28369.316061789774,43116.76585120972,0.3364070181136148
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,39835.28344637568,75010.86819651778,0.4417987247756885
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,31558.978952414775,54261.27475471627,0.31392896232499057
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,44203.3074071613,96377.55274723917,0.3951888752800742
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,36733.082270359846,58125.25463277917,0.44162386818777055
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,53449.884166991,92715.78171744623,0.5915874356149551
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,25556.398334292786,39668.033891280196,0.31357420045839013
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,30748.1926140397,63485.09672869172,0.2598744121625671
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,32612.212774621214,60073.90552267983,0.30906615100217727
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27901.76630550862,58010.016023251745,0.2580800358993901
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,28790.69722064394,47862.01175147012,0.3111588680686167
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,38354.7280854866,78177.09725660167,0.28997940563831104
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145627.7600233783,230707.04553639897,0.9568551090160453
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145678.64475670186,230906.15553918038,0.9561990639722318
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145621.168433357,230706.46267885572,0.9564445622480374
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145683.4976908984,230909.32340316815,0.9563011638777329
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145628.92822679924,230708.25529792407,0.9568487106486662
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145678.70890190708,230906.28734987983,0.9561919170986433
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24773.27638790246,38254.908645048294,0.2737743742287278
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,29944.634807155606,55279.518018000446,0.34581973827583395
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,31855.62744910038,56660.27818819081,0.31278073181543564
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,38687.63309787458,84339.04633593893,0.34277019825244326
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,29936.180918560607,48764.05493643759,0.3676629855212828
