gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,143792.76832179213,229555.39934061695,0.9140932899016382
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,143859.64247963813,229761.62410749594,0.9139905120284019
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,143797.01873490767,229558.06823952147,0.9141899721113006
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,143863.52974481223,229764.063936161,0.9140790694966697
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,143792.9855785393,229555.53575242072,0.9140982320679769
2,0,100,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,143859.6692698445,229761.64092213957,0.9139911223472889
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,26166.58830965909,39040.862639914216,0.3447466281123192
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,30375.501871843673,44724.193039316466,0.38601152066096245
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21745.876704545455,34312.269405639214,0.2586603240580375
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,22064.534466841964,36753.9691160509,0.3012721026367134
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,30994.558103693184,50040.84313511729,0.4055755208122612
2,0,100,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,56575.913736781404,79508.57328931567,0.7260740704962
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23884.62433149858,36625.83825050475,0.28687986167897794
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,27134.28201772289,43758.660018698836,0.2506917105915824
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,26534.872319187973,41204.63179236363,0.3090628238975752
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23384.879921376632,38257.440327754644,0.25061581565631735
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27927.31362393466,43493.17089046219,0.33974751664752395
2,0,100,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,31232.910016825826,46123.401467793985,0.43222309160519645
2,0,100,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,145617.3222233073,230704.0349911795,0.9563539334737661
