gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,145613.58382501776,230701.67537913052,0.956265845439761
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,145680.4906312889,230907.42622201648,0.9562301978394809
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,145617.98067057293,230704.45059491205,0.9563694485437981
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,145684.42519878328,230909.9085794672,0.9563230529338963
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,145613.75447931464,230701.78309224715,0.9562698665881798
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,145680.76907129856,230907.60189252495,0.9562367688146609
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23316.70314867424,34604.79473583374,0.29255367576913627
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,24479.1481645846,40576.38452688486,0.2532619703886184
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21554.175389441287,34609.258370788484,0.2449701325673526
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,26642.845923830497,44231.139772994626,0.22915973508248097
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,25324.592283380684,42852.99243635765,0.28902022575638286
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,20992.53789489672,35816.538064867105,0.2010741742352619
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,21269.41022993608,33744.19581193042,0.21714968723661307
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,26168.22680367415,46853.01564174762,0.23494824301959769
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,22891.210998461174,35894.89246249884,0.29438984884614877
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,27237.702167422918,47612.878127320844,0.2885296204828592
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,25692.000946969696,42519.40314699298,0.2967248119629786
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,21049.194350176564,35796.613907103005,0.23405438878626497
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146534.08919108074,231283.77920810718,0.9779558208999628
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146600.24270603925,231488.8016632623,0.9779362460302256
