gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,145620.89107125948,230706.28761690913,0.9564380266807925
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,145680.15514973563,230907.2145705747,0.9562222807008921
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,145624.99226725262,230708.87629773212,0.9565346636175048
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,145683.5339564605,230909.34628294586,0.9563020197840115
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,145621.11996759588,230706.43208805186,0.9564434207641355
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,145683.49662148533,230909.32272292904,0.9563011389049878
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23737.936757220643,35464.82347342149,0.31040037011601573
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,25096.46456134189,41583.57640283204,0.3640377397992047
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,24075.551839488635,37344.936877810964,0.3262652177332819
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,29538.087795697906,49204.929098180226,0.287700452434331
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,26813.16954900568,41358.79301938197,0.3418969138122017
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,36478.8493684975,52104.89869566963,0.4773815070949777
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22330.347886482006,35255.014904681244,0.24024244465911393
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23942.307342492215,42610.669329850585,0.24055262568749186
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21430.14688972242,34315.577220106024,0.26140697521585043
