gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,142000.6436949574,228433.4933497758,0.8735937961140635
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,142042.49836606736,228624.5771333032,0.8728696783417728
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,142004.72148378316,228436.04044664485,0.8736847408264082
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,142045.85501962618,228626.67267401682,0.8729446536733072
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,142000.87110262783,228433.63539355187,0.8735988678639891
2,0,150,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,142045.7843452166,228626.62845383835,0.8729430735353085
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,31965.096542376894,45703.96996249331,0.4529591317218873
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,59569.77609605198,79526.66095601479,0.8679264331866466
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,25646.110767045455,37404.73906666852,0.38902810253098447
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,23447.2524989558,35931.41094333532,0.2993751215656349
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,45872.902415956436,70948.14556066431,0.5622713381736323
2,0,150,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,64827.926093916125,92302.30031682095,0.8425349031611508
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,27412.43681463068,40154.68266539752,0.3818019313090329
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,29236.078848225814,45627.552721889115,0.38940650471132116
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,23610.1228125,39352.106613411335,0.27526370442866666
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,25447.493652047102,41983.85897256987,0.2968029394533889
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,33755.6778832268,59416.48244499833,0.35946574706290846
2,0,150,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,33996.38661848325,50801.352047882814,0.47712604791437097
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,144713.2079654948,230134.4385123387,0.935050183334165
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,144766.87087749422,230332.11030670282,0.9346688714411159
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,144715.26436197918,230135.7316217592,0.9350986384453553
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,144778.73855327547,230339.5694876495,0.9349489472898174
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,144713.34492838543,230134.52463741007,0.9350534106067968
2,0,150,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,144766.75881694735,230332.03987513817,0.9346662268244826
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,32389.009883996212,46118.48120834127,0.4394360749921862
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,29300.02406105236,41958.25516268848,0.42067098608547615
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,27035.43828716856,39075.22673463142,0.40006206045168163
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,26486.516043272517,40330.96912070373,0.27992119922802805
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,44452.407922585226,64790.3794770378,0.6255105973606214
2,0,150,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,54196.7246722642,75353.10741247621,0.7400026491487091
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,25532.332529000945,39965.78331476336,0.30200583294328176
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,31334.762464520998,51839.38706356499,0.32777282122372814
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,21166.507066761365,34653.95144271584,0.23167530302430023
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,21775.121831214878,36288.57845609563,0.2137714980046928
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,36733.775783025565,61721.76973340464,0.4130759654859455
2,0,150,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,29937.72857317455,46121.93767177007,0.3480554560388816
2,0,150,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146077.15010416668,230994.54758127968,0.9671889116818876
2,0,150,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146136.73379253328,231195.54298953898,0.9669974862100066
2,0,150,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146081.85811197918,230997.52487672522,0.9672998470213384
2,0,150,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146137.5737583536,231196.0739256968,0.9670173093113736
