bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143771.2473819247,229541.8867517584,0.913603762916041
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143848.45233858834,229754.60086227485,0.9137355851159789
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143785.5176405658,229550.8466362252,0.913928362082105
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143856.6115690025,229759.72177867353,0.9139214652298379
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143772.16589873342,229542.46340103284,0.9136246583126475
1,0,50,256,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143848.31559047027,229754.51504791388,0.9137324699435395
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21842.44668442235,33855.81181233677,0.254339925283253
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24556.989564545678,42417.061911852514,0.2639871111989742
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23355.473341027464,39462.664982252194,0.23109761204275636
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20104.08865834789,34934.04296193135,0.18746464922879086
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,30085.39829012784,52002.24054076758,0.3190203968118165
1,0,50,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,28243.53138764429,41078.08987022124,0.410321727085067
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26631.38244332978,43270.70402644263,0.2707666730117925
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23265.83635458593,39240.246529102646,0.257746109319532
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23773.75766512784,38283.51435249697,0.24052118865529942
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20166.649663246128,35316.96366963326,0.18540155147244067
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26470.414267874054,43915.11104647201,0.28693103429201844
1,0,50,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,30518.74822130354,47079.27709896418,0.38916960734278094
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145601.11157167377,230693.80336233517,0.9559719623705717
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,145673.73367402272,230903.16328807292,0.9560707342652552
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145611.4311106179,230700.31664406927,0.9562151205157521
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,145681.44253276766,230908.02678362245,0.9562526623425861
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145602.08252988872,230694.41617357664,0.9559948412696274
1,0,50,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145673.9060405671,230903.27203084916,0.9560748021978445
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21426.52069543087,34194.26497444279,0.23175811905902452
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21666.041162168705,36717.70222537232,0.23135610105842033
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20270.352537286934,34552.965835282856,0.18354212301510606
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,23387.131430717458,41379.13890937806,0.20407983626776935
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24765.344677438447,44810.83336111475,0.244636546189576
1,0,50,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,28649.132751983976,46936.22616394691,0.3343976532141753
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,21697.927897431346,34491.448007802785,0.2169850114392082
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22531.10281969073,37673.84429552349,0.23217564678710065
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27204.537842832622,48078.0416027005,0.3070611654361677
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20973.150341974862,36006.56290362626,0.21354869889412376
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25362.180762310607,46743.06038522838,0.22307279619662881
1,0,50,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,30731.56919829321,52265.902092344986,0.3243358517851302
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146523.64723085344,231277.16349434448,0.9777097898073517
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146592.8973625248,231484.14995611974,0.9777628978186862
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146529.8209461559,231281.07500508166,0.9778552478738286
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146597.97845006597,231487.36773320954,0.9778828096525439
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146524.27532352332,231277.5615266081,0.977724580027076
1,0,50,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146592.70091668426,231484.025564423,0.9777582614434687
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22101.966501538827,35080.1836810412,0.24655641605335987
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,20966.574686859243,35627.13644178094,0.20713541478965997
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,27599.124737807764,49022.12818331462,0.24774608678076696
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30282.605129385633,51436.79968877885,0.27824201136662835
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25492.17669507576,44099.04067983765,0.2552963903312046
1,0,50,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26406.10925515454,42985.64100651932,0.3206063173283715
1,0,50,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,20529.725388553503,33277.21205061369,0.19918903276305636
