gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146532.82405495385,231282.97765959153,0.9779260103983531
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146599.3722226408,231488.25039322794,0.9779157026560705
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146535.07442057293,231284.40341961605,0.9779790359778695
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146601.33065532625,231489.49065689856,0.9779619212897319
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146532.91634114584,231283.0361283612,0.9779281850000521
2,0,50,"(256, 128)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146599.35421630563,231488.2389905396,0.9779152776389157
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,34447.24503965436,52493.963626944475,0.37731953350397135
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,25269.694156762605,41165.914206015426,0.34885274512370973
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,31531.583699100378,50720.263208713215,0.40794828242210024
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,31761.120481470232,62906.368154430595,0.27599639169279583
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,36815.980968868374,65042.940223357386,0.361510265118235
2,0,50,"(256, 128)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,41092.67308176071,75057.90979406743,0.4634089887667971
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,26042.884326467803,40957.7883879255,0.3012108201568761
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,24980.45121292355,46014.908294227425,0.2528403731962921
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,29233.205332623107,50450.53494991017,0.35352044181646264
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,30828.886888432186,58360.955999640704,0.3685773739131249
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,33695.982116181345,58006.2637293369,0.3497989471502276
2,0,50,"(256, 128)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,34030.08567548363,70501.67946708875,0.2964686492466729
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146994.79360170307,231575.94126940583,0.9888114530892648
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,147060.87106108174,231780.78853066431,0.988807024540147
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146995.93504679363,231576.6658150299,0.988838348885887
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147061.8329441446,231781.39882995255,0.98882972487209
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146994.86818444455,231575.9886126092,0.988813210358944
2,0,50,"(256, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147060.8209507364,231780.75673658194,0.9888058419384891
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,30213.488343394885,47532.648406615925,0.32647331473068536
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,24899.655021880695,45430.426840612294,0.2375651327547857
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,36178.65911339962,56429.73288984068,0.5631501808543067
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,34460.575357875154,66530.47847630516,0.3644370848448493
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,40114.63622928504,68961.37896739313,0.38450940143729384
2,0,50,"(256, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,35653.06037481964,69724.39556185031,0.36510449921481636
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,26630.90550810843,42592.7875183511,0.26569954973570714
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,23479.256245016328,42626.69853745993,0.2230790288993057
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,27020.192122395834,44800.81733225897,0.343198912657854
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,27125.25553068993,49504.78908982272,0.2951002838733204
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,35136.92439689868,59405.69499065808,0.36635444897029906
2,0,50,"(256, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,35208.63262212668,75375.8012179072,0.2895246614202018
2,0,50,"(256, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,147226.70328154592,231723.21719834168,0.9942759678655627
