gru,dense,epochs,neuronios,ativacao_gru,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146758.58913004558,231426.08045154807,0.9832457392534621
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146821.74325313081,231629.13984758285,0.983163634461722
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146759.63692057293,231426.74490815288,0.9832704284643669
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146822.64120212707,231629.70902765807,0.9831848259579136
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146758.6747623698,231426.1347551998,0.9832477570179463
2,0,150,"(64, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146821.66468701645,231629.0900539199,0.9831617800438969
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,23086.756338186555,35389.778790748154,0.2851420620139815
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,32804.2772701815,57517.136203723414,0.4024207789688561
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,31332.739287405304,47448.22480391458,0.4675709189392117
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,35778.77835709675,68155.55923138258,0.5025464964941644
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,31657.83047348485,54733.104385624145,0.3619231262350789
2,0,150,"(64, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,41514.03499250076,68721.7030447178,0.5010126045042496
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,26350.780015388256,39763.46439142219,0.29402814469934574
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,36333.40584300007,66823.85535817506,0.3357736708018342
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,27856.76473248106,43916.13576351972,0.3558127673680798
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,31108.648464198246,53523.07933727469,0.3571853918870489
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27411.188212594698,45706.52321590275,0.3196826602243326
2,0,150,"(64, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,35697.006166404826,64574.313927737996,0.33848608177386286
