bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
2,50,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,30002.439361018744,48310.06729838886,0.47020611489698766,,
2,50,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,42713.27890365213,77553.78391231489,0.44541542343773477,,
2,50,"(256, 128, 64)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32172.396970884976,55486.2358605063,0.3470171184468263,,
2,50,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,30703.132052264737,45578.514071868565,0.3890695947284142,,
2,50,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,34654.99330576444,59991.394405675754,0.47457940580899954,,
2,50,"(256, 128, 64)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,32588.087177599067,61885.94455827882,0.3441799389665692,,
2,50,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,33162.882015426614,54239.80913662071,0.5091731226809633,,
2,50,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,46185.4103688029,82094.95681029659,0.4984398790764509,,
2,50,"(256, 128, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,32798.193266087896,56059.80408812986,0.4166321191686057,,
2,50,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,31242.88009774123,45394.10347293705,0.42676267200566903,,
2,50,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35365.574917812875,63055.02546418162,0.4676581724861032,,
2,50,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,32637.844822506086,63349.88330007895,0.3393015864503682,,
2,50,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,35901.0997073855,58648.27145517329,0.5307238983221695,,
2,50,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47104.061230586834,83319.1928643428,0.5006425096418167,,
2,50,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33815.73061989873,57869.1198755352,0.42950953693307486,,
2,50,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,26743.66602093882,43966.4309067016,0.3331155788638383,,
2,50,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,37730.102811838726,67238.82627422825,0.49867293966091575,,
2,50,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,33709.73936988206,66564.7124542627,0.34546321955261783,,
2,50,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,37284.478310157196,61307.83518728848,0.5112208122680268,,
2,50,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,47651.74998464896,83826.52399488649,0.5068274680116918,,
2,50,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,33227.916248252346,57553.66101652242,0.40734154331020306,,
2,50,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,30449.044971327396,46099.78791982003,0.4233155657817673,,
2,50,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,39296.27340679791,69255.4069680047,0.5200369413471313,,
