data,estados,consumo
200301,AC,3260.0
200301,AL,2191.0
200301,AM,2154.0
200301,AP,2643.0
200301,BA,2546.0
200301,DF,3040.0
200301,ES,4963.0
200301,GO,2924.0
200301,MA,5276.0
200301,MG,5262.0
200301,MS,5041.0
200301,MT,4303.0
200301,PA,30109.0
200301,PB,27684.0
200301,PE,26534.0
200301,PI,25109.0
200301,PR,25171.0
200301,RJ,22645.0
200301,RN,24689.0
200301,RO,23364.0
200301,RR,26382.0
200301,RS,26634.0
200301,SC,27789.0
200301,SE,30032.0
200301,SP,10392.0
200301,TO,6857.0
200302,AC,7011.0
200302,AL,7122.0
200302,AM,5267.0
200302,AP,5539.0
200302,BA,7714.0
200302,DF,7740.0
200302,ES,6882.0
200302,GO,7066.0
200302,MA,5797.0
200302,MG,7706.0
200302,MS,28193.0
200302,MT,31226.0
200302,PA,33484.0
200302,PB,31596.0
200302,PE,32919.0
200302,PI,32198.0
200302,PR,37274.0
200302,RJ,37605.0
200302,RN,38386.0
200302,RO,39519.0
200302,RR,39614.0
200302,RS,36333.0
200302,SC,151297.0
200302,SE,138707.0
200302,SP,135009.0
200302,TO,126554.0
200303,AC,137331.0
200303,AL,118680.0
200303,AM,131291.0
200303,AP,131406.0
200303,BA,147495.0
200303,DF,154944.0
200303,ES,142678.0
200303,GO,142702.0
200303,MA,50047.0
200303,MG,48110.0
200303,MS,49006.0
200303,MT,48445.0
200303,PA,51436.0
200303,PB,51884.0
200303,PE,57034.0
200303,PI,52525.0
200303,PR,55603.0
200303,RJ,60077.0
200303,RN,55040.0
200303,RO,56634.0
200303,RR,48426.0
200303,RS,54969.0
200303,SC,53847.0
200303,SE,50375.0
200303,SP,52576.0
200303,TO,51603.0
200304,AC,57260.0
200304,AL,54309.0
200304,AM,56559.0
200304,AP,55945.0
200304,BA,51371.0
200304,DF,47913.0
200304,ES,97447.0
200304,GO,97256.0
200304,MA,101442.0
200304,MG,98217.0
200304,MS,112540.0
200304,MT,109189.0
200304,PA,118633.0
200304,PB,115594.0
200304,PE,122029.0
200304,PI,126095.0
200304,PR,112663.0
200304,RJ,100830.0
200304,RN,43342.0
200304,RO,28663.0
200304,RR,27900.0
200304,RS,25739.0
200304,SC,30203.0
200304,SE,37590.0
200304,SP,42741.0
200304,TO,42427.0
200305,AC,42993.0
200305,AL,51235.0
200305,AM,47963.0
200305,AP,49930.0
200305,BA,47470.0
200305,DF,45387.0
200305,ES,44907.0
200305,GO,45467.0
200305,MA,56246.0
200305,MG,56126.0
200305,MS,66358.0
200305,MT,63712.0
200305,PA,66987.0
200305,PB,67214.0
200305,PE,57793.0
200305,PI,50908.0
200305,PR,33744.0
200305,RJ,32230.0
200305,RN,33559.0
200305,RO,34283.0
200305,RR,36066.0
200305,RS,35697.0
200305,SC,40248.0
200305,SE,36262.0
200305,SP,34630.0
200305,TO,36875.0
200306,AC,33128.0
200306,AL,30870.0
200306,AM,247134.0
200306,AP,305708.0
200306,BA,284168.0
200306,DF,286594.0
200306,ES,312455.0
200306,GO,299651.0
200306,MA,340885.0
200306,MG,322275.0
200306,MS,345219.0
200306,MT,352678.0
200306,PA,295720.0
200306,PB,270978.0
200306,PE,189804.0
200306,PI,174713.0
200306,PR,180801.0
200306,RJ,180172.0
200306,RN,185597.0
200306,RO,169008.0
