estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego,producao,consumo
AC,200301,4776456.882601899,2514261.073957233,0.7398062380333333,2026069.0,464291.82342821674,25.94,29.87,2.17,0.06922,0.7189,0.7061,0.3952,3.59,6172460.00795063,6.5827877908,0.0,3260.0
AL,200301,18457314.5026149,9715675.975793883,0.5810969155583334,4949222.0,950670.270402545,25.94,29.87,2.17,0.06922,0.6794,0.6297,0.3534,3.59,6172460.00795063,9.0805148758,0.0,30109.0
AM,200301,31722556.30255727,16698316.437955353,0.9736875484833334,3201324.0,2201439.31553909,25.94,29.87,2.17,0.06922,0.7415999999999999,0.5941,0.4855,3.59,6172460.00795063,12.966132616500001,0.0,28193.0
AP,200301,5178904.475967236,2726103.940579113,0.9115188211166669,7127956.0,287505.01163730497,25.94,29.87,2.17,0.06922,0.7259,0.6548,0.3951,3.59,6172460.00795063,20.539464085,0.0,10392.0
BA,200301,87898382.18573974,46268496.96862232,0.5997624309249999,2582075.0,6462802.290013326,25.94,29.87,2.17,0.06922,0.7109000000000001,0.6287,0.3989,3.59,6172460.00795063,10.7354322161,0.0,151297.0
CE,200301,43607690.16666306,22954487.103315625,0.5179067663416667,8448620.0,3135787.125175448,25.94,29.87,2.17,0.06922,0.737,0.6147,0.4484,3.59,6172460.00795063,8.8572190713,0.0,81265.0
DF,200301,81805448.29554781,43061260.54153257,3.465711517016665,12807197.0,4533706.19919261,25.94,29.87,2.17,0.06922,0.8317,0.6069,0.63,3.59,6172460.00795063,14.215384670499999,0.0,50047.0
ES,200301,38843054.806171454,20446448.7156732,1.1029023758333332,2415077.0,2806925.6651336546,25.94,29.87,2.17,0.06922,0.7944,0.8224,0.5396,3.59,6172460.00795063,10.6660929108,0.0,48426.0
GO,200301,59461460.31612013,31299693.21360961,1.0374740398583333,1133265.0,3755215.510907383,25.94,29.87,2.17,0.06922,0.7892,0.7038,0.5011,3.59,6172460.00795063,6.9037377937999995,0.0,97447.0
MA,200301,25366076.357373863,13352352.99970513,0.3973665227416667,217583.0,2382047.8114529424,25.94,29.87,2.17,0.06922,0.6814,0.7028000000000001,0.387,3.59,6172460.00795063,5.9295673225,0.0,43342.0
MG,200301,184898761.51279858,97328159.78887099,0.9163443585749996,9138463.0,10493338.155632107,25.94,29.87,2.17,0.06922,0.7763,0.5553,0.5002,3.59,6172460.00795063,10.107449129299999,0.0,247134.0
MS,200301,25450460.41361193,13396771.603929264,1.0808428847916665,4542048.0,1292789.3962521546,25.94,29.87,2.17,0.06922,0.7643,0.7029000000000001,0.4887,3.59,6172460.00795063,8.495092209700001,0.0,33744.0
MT,200301,29107275.77847623,15321668.813829126,1.0158840990249998,1491878.0,2091204.9827631242,25.94,29.87,2.17,0.06922,0.7827,0.7019,0.5204,3.59,6172460.00795063,7.3542245385000005,33149.0,47470.0
PA,200301,41644407.31802183,21921042.069720384,0.5866193320499999,31588794.0,2239898.3516928055,25.94,29.87,2.17,0.06922,0.7053,0.6950000000000001,0.3982,3.59,6172460.00795063,10.770494261700001,32871.0,84701.0
PB,200301,19831829.186556026,10439201.561883418,0.515865167375,918400.0,1146672.609338135,25.94,29.87,2.17,0.06922,0.7719,0.6042,0.5658000000000001,3.59,6172460.00795063,8.2913248577,38546.0,38426.0
PE,200301,54259473.86724837,28561439.24060881,0.6101277198500001,428006.0,5844343.221730924,25.94,29.87,2.17,0.06922,0.7442,0.7199,0.3817,3.59,6172460.00795063,11.005399803,29823.0,99743.0
PI,200301,10983140.132321956,5781373.59621095,0.3445101652833333,2548092.0,834504.393573475,25.94,29.87,2.17,0.06922,0.7302,0.6145,0.4326,3.59,6172460.00795063,5.904790627300001,33959.0,21844.0
PR,200301,132964062.26678298,69990449.86887643,1.2336838765166669,2165852.0,7430424.8251662385,25.94,29.87,2.17,0.06922,0.7063,0.6324,0.3748,3.59,6172460.00795063,7.7044727463,20313.0,189804.0
RJ,200301,275055202.028772,144785267.54200852,1.6981942219500004,299305.0,20168702.455664027,25.94,29.87,2.17,0.06922,0.7685,0.5797,0.5735,3.59,6172460.00795063,11.7121955601,26639.0,254362.0
RN,200301,21041296.579784624,11075848.528820718,0.6705187436583334,12014023.0,1756662.0206568125,25.94,29.87,2.17,0.06922,0.7276,0.7561,0.4563,3.59,6172460.00795063,7.255708857899999,27774.0,36825.0
RO,200301,11542045.745642958,6075573.808235807,0.7328493794583332,6433713.0,1043538.9208022164,25.94,29.87,2.17,0.06922,0.8148,0.629,0.5461,3.59,6172460.00795063,6.8787887412,27544.0,13867.0
RR,200301,3861930.728085576,2032867.110203151,1.0121474889666666,1639035.0,377480.7534778116,25.94,29.87,2.17,0.06922,0.7216,0.7347,0.4146,3.59,6172460.00795063,5.8989895206,28472.0,6920.0
RS,200301,147147011.40860236,77456158.82797557,1.2851947571083335,2649747.0,7405827.791496941,25.94,29.87,2.17,0.06922,0.7446,0.6714,0.5083,3.59,6172460.00795063,7.708314153300001,31064.0,188093.0
SC,200301,82455469.49905732,43403422.74447923,1.3560689400916668,4098513.0,4971140.481294295,25.94,29.87,2.17,0.06922,0.8264,0.6649,0.5773,3.59,6172460.00795063,4.9902867955,27767.0,142456.0
SE,200301,16143619.397428513,8497778.75972895,0.795000410825,4990749.0,979477.8568936628,25.94,29.87,2.17,0.06922,0.8037,0.7338,0.6224,3.59,6172460.00795063,10.9882063723,0.0,23616.0
SP,200301,750176860.5368812,394882760.4623696,1.7863260853000005,15941939.0,46855158.49069842,25.94,29.87,2.17,0.06922,0.7089000000000001,0.7659,0.4081,3.59,6172460.00795063,11.8193510303,0.0,782111.0
TO,200301,8314358.030639715,4376563.47899319,0.6262153794916666,1818175.0,850442.5159417522,25.94,29.87,2.17,0.06922,0.7195,0.6188,0.4308,3.59,6172460.00795063,8.6346148858,0.0,17555.0
AC,200302,4772718.624305031,2544223.7613097373,0.7377115224348484,2026069.0,448987.8830110349,56.57,23.63,1.59,0.06893983332999999,0.7189,0.7061,0.3952,3.84,6172460.00795063,6.5827877908,0.0,2191.0
AL,200302,18376300.90884409,9791480.4988364,0.5780271663984851,4949222.0,919889.676416593,56.57,23.63,1.59,0.06893983332999999,0.6794,0.6297,0.3534,3.84,6172460.00795063,9.0805148758,0.0,27684.0
AM,200302,31815978.514193404,16968327.78692646,0.9744666856840908,3201324.0,2153354.458273112,56.57,23.63,1.59,0.06893983332999999,0.7415999999999999,0.5941,0.4855,3.84,6172460.00795063,12.966132616500001,0.0,31226.0
AP,200302,5151225.487178707,2744402.508140454,0.9039750060462124,7127956.0,288929.2215199048,56.57,23.63,1.59,0.06893983332999999,0.7259,0.6548,0.3951,3.84,6172460.00795063,20.539464085,0.0,6857.0
BA,200302,87936017.88581122,46883799.79423072,0.5995609474136363,2582075.0,6294574.444180078,56.57,23.63,1.59,0.06893983332999999,0.7109000000000001,0.6287,0.3989,3.84,6172460.00795063,10.7354322161,0.0,138707.0
CE,200302,43612399.05540898,23251362.49979659,0.5173313844424242,8448620.0,3051720.2851741333,56.57,23.63,1.59,0.06893983332999999,0.737,0.6147,0.4484,3.84,6172460.00795063,8.8572190713,0.0,65200.0
DF,200302,81344274.67391887,43335913.972147055,3.440242411304544,12807197.0,4321510.449061952,56.57,23.63,1.59,0.06893983332999999,0.8317,0.6069,0.63,3.84,6172460.00795063,14.215384670499999,0.0,48110.0
ES,200302,38862825.90637296,20720241.84420055,1.1019593245181818,2415077.0,2715245.9756280053,56.57,23.63,1.59,0.06893983332999999,0.7944,0.8224,0.5396,3.84,6172460.00795063,10.6660929108,0.0,54969.0
GO,200302,59614141.00882892,31792336.72345627,1.0383812453825756,1133265.0,3685034.1478713467,56.57,23.63,1.59,0.06893983332999999,0.7892,0.7038,0.5011,3.84,6172460.00795063,6.9037377937999995,0.0,97256.0
MA,200302,25561254.25730008,13640612.828011906,0.3999542096000001,217583.0,2352861.5800910285,56.57,23.63,1.59,0.06893983332999999,0.6814,0.7028000000000001,0.387,3.84,6172460.00795063,5.9295673225,43382.0,28663.0
MG,200302,185266667.6042701,98795884.88695134,0.9172050803045452,9138463.0,10261847.143214667,56.57,23.63,1.59,0.06893983332999999,0.7763,0.5553,0.5002,3.84,6172460.00795063,10.107449129299999,42997.0,305708.0
MS,200302,25823007.838162147,13792121.373073598,1.0951362598151513,4542048.0,1292813.6142186113,56.57,23.63,1.59,0.06893983332999999,0.7643,0.7029000000000001,0.4887,3.84,6172460.00795063,8.495092209700001,51061.0,32230.0
MT,200302,29712987.37195241,15881705.490399258,1.0350298057469696,1491878.0,2043843.892892548,56.57,23.63,1.59,0.06893983332999999,0.7827,0.7019,0.5204,3.84,6172460.00795063,7.3542245385000005,47683.0,45387.0
PA,200302,41631507.79564847,22194104.118045032,0.5854570451083333,31588794.0,2198757.326682544,56.57,23.63,1.59,0.06893983332999999,0.7053,0.6950000000000001,0.3982,3.84,6172460.00795063,10.770494261700001,48669.0,80221.0
PB,200302,19863366.43532619,10591867.929807842,0.5163640806833333,918400.0,1116967.1196028995,56.57,23.63,1.59,0.06893983332999999,0.7719,0.6042,0.5658000000000001,3.84,6172460.00795063,8.2913248577,44218.0,31672.0
PE,200302,53973341.30630843,28755472.23330688,0.6064160960893941,428006.0,5569729.693836215,56.57,23.63,1.59,0.06893983332999999,0.7442,0.7199,0.3817,3.84,6172460.00795063,11.005399803,53944.0,86997.0
PI,200302,11025517.499956248,5880883.2321655825,0.3455546507007576,2548092.0,803759.2323536697,56.57,23.63,1.59,0.06893983332999999,0.7302,0.6145,0.4326,3.84,6172460.00795063,5.904790627300001,55278.0,15814.0
PR,200302,134264271.68721724,71667881.90814959,1.244382706212121,2165852.0,7264558.776448065,56.57,23.63,1.59,0.06893983332999999,0.7063,0.6324,0.3748,3.84,6172460.00795063,7.7044727463,55352.0,174713.0
RJ,200302,274392830.2137092,146242176.02405387,1.692542703773485,299305.0,19628559.01766147,56.57,23.63,1.59,0.06893983332999999,0.7685,0.5797,0.5735,3.84,6172460.00795063,11.7121955601,54512.0,252842.0
RN,200302,20957471.452856924,11167388.396183193,0.6671356271053032,12014023.0,1670676.9592107413,56.57,23.63,1.59,0.06893983332999999,0.7276,0.7561,0.4563,3.84,6172460.00795063,7.255708857899999,50384.0,34088.0
RO,200302,11646772.855070708,6216296.87901588,0.7382845077068182,6433713.0,1010830.5257509669,56.57,23.63,1.59,0.06893983332999999,0.8148,0.629,0.5461,3.84,6172460.00795063,6.8787887412,55610.0,10777.0
RR,200302,3844770.8320600484,2048602.6405789168,1.0050952407068179,1639035.0,358166.3348039475,56.57,23.63,1.59,0.06893983332999999,0.7216,0.7347,0.4146,3.84,6172460.00795063,5.8989895206,46575.0,7476.0
RS,200302,147986493.91025117,78952532.85707624,1.2913165884977271,2649747.0,7277376.292470355,56.57,23.63,1.59,0.06893983332999999,0.7446,0.6714,0.5083,3.84,6172460.00795063,7.708314153300001,41998.0,170973.0
SC,200302,82661760.54899359,44083311.47117341,1.357665065398485,4098513.0,4931180.798876499,56.57,23.63,1.59,0.06893983332999999,0.8264,0.6649,0.5773,3.84,6172460.00795063,4.9902867955,39181.0,135829.0
SE,200302,16141024.05383517,8605076.813918902,0.7937729242439393,4990749.0,951619.9344734224,56.57,23.63,1.59,0.06893983332999999,0.8037,0.7338,0.6224,3.84,6172460.00795063,10.9882063723,38102.0,21357.0
SP,200302,750363176.6785824,400053110.26459527,1.784533574757576,15941939.0,45757671.47168525,56.57,23.63,1.59,0.06893983332999999,0.7089000000000001,0.7659,0.4081,3.84,6172460.00795063,11.8193510303,39371.0,789891.0
TO,200302,8378041.903177127,4470873.291938205,0.6298494597121211,1818175.0,831907.4559057142,56.57,23.63,1.59,0.06893983332999999,0.7195,0.6188,0.4308,3.84,6172460.00795063,8.6346148858,30695.0,14976.0
AC,200303,4768980.366008163,2574186.448662242,0.7356168068363637,2026069.0,433683.9425938532,90.08,27.77,1.66,0.06812395,0.7189,0.7061,0.3952,3.95,6172460.00795063,6.5827877908,34655.0,2154.0
AL,200303,18295287.31507328,9867285.021878917,0.5749574172386365,4949222.0,889109.0824306409,90.08,27.77,1.66,0.06812395,0.6794,0.6297,0.3534,3.95,6172460.00795063,9.0805148758,43412.0,26534.0
AM,200303,31909400.725829534,17238339.13589757,0.9752458228848484,3201324.0,2105269.6010071333,90.08,27.77,1.66,0.06812395,0.7415999999999999,0.5941,0.4855,3.95,6172460.00795063,12.966132616500001,40381.0,33484.0
AP,200303,5123546.498390177,2762701.0757017946,0.896431190975758,7127956.0,290353.4314025046,90.08,27.77,1.66,0.06812395,0.7259,0.6548,0.3951,3.95,6172460.00795063,20.539464085,40887.0,7011.0
BA,200303,87973653.58588271,47499102.61983911,0.5993594639022727,2582075.0,6126346.5983468285,90.08,27.77,1.66,0.06812395,0.7109000000000001,0.6287,0.3989,3.95,6172460.00795063,10.7354322161,40182.0,135009.0
CE,200303,43617107.944154896,23548237.89627756,0.5167560025431818,8448620.0,2967653.445172818,90.08,27.77,1.66,0.06812395,0.737,0.6147,0.4484,3.95,6172460.00795063,8.8572190713,43594.0,55165.0
