,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego,estados_AL,estados_AM,estados_AP,estados_BA,estados_CE,estados_DF,estados_ES,estados_GO,estados_MA,estados_MG,estados_MS,estados_MT,estados_PA,estados_PB,estados_PE,estados_PI,estados_PR,estados_RJ,estados_RN,estados_RO,estados_RR,estados_RS,estados_SC,estados_SE,estados_SP,estados_TO
0,3281564.097746028,14.6633603325,0.7087208864249998,417102.0,186952.8781243512,6.62,4.7,19.93,2.375184773,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14196951.79688573,74.80207741416666,0.5103775306333332,2512658.0,1045710.9762527175,6.62,4.7,19.93,2.375184773,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14813693.228847245,192.541723825,0.6346864950000002,2102766.0,1727997.070316275,6.62,4.7,19.93,2.375184773,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2553396.906098262,17.0421178125,0.7934636298999999,289035.0,73020.87215578347,6.62,4.7,19.93,2.375184773,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,64175572.94730753,475.7342563416668,0.4888407690249999,11867336.0,6191146.609869028,6.62,4.7,19.93,2.375184773,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,29845026.15324313,171.4350196166666,0.4241717051416666,6366132.0,3000799.32937544,6.62,4.7,19.93,2.375184773,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,68176044.27321225,170.54652303333333,3.842876651566667,1601093.0,1739796.2466648866,6.62,4.7,19.93,2.375184773,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,32186529.324155245,175.55461064166667,1.1182801090333334,2600619.0,2501533.0846471167,6.62,4.7,19.93,2.375184773,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41318972.7004218,185.5428917833333,0.9289172822333336,4017506.0,2450350.065340036,6.62,4.7,19.93,2.375184773,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20772256.769706286,84.47323676916666,0.3810271579666667,4929676.0,829818.6615564604,6.62,4.7,19.93,2.375184773,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,180815916.53287345,983.94919425,1.039811328425,15743536.0,15323051.781479202,6.62,4.7,19.93,2.375184773,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17421308.479890153,101.60180378333332,0.8839311299833331,1780385.0,1538563.9144276497,6.62,4.7,19.93,2.375184773,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15356882.933674607,88.37696428916665,0.680427273375,2026069.0,911988.857118316,6.62,4.7,19.93,2.375184773,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38820378.8956138,217.85029997500004,0.7068464639666666,4949222.0,2904141.6074740114,6.62,4.7,19.93,2.375184773,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15085317.372775104,89.48605028000003,0.426824178675,3201324.0,1128148.779769495,6.62,4.7,19.93,2.375184773,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,46646246.44489636,281.50240066666663,0.592668147575,7127956.0,3731565.763294903,6.62,4.7,19.93,2.375184773,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,9839221.09709816,47.417523816666666,0.3447746163083333,2582075.0,390490.4012470781,6.62,4.7,19.93,2.375184773,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,100897250.54808298,671.7241345833336,1.0827658106666669,8448620.0,10259504.61979181,6.62,4.7,19.93,2.375184773,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,254757589.4522909,1149.4487161666666,1.802376627225,12807197.0,13463252.106604757,6.62,4.7,19.93,2.375184773,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,9731032.76298725,76.03666745583332,0.3640706865333332,2415077.0,1290178.826542833,6.62,4.7,19.93,2.375184773,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,8168750.853394596,51.8545401275,0.6455197911250001,1133265.0,859917.4734638877,6.62,4.7,19.93,2.375184773,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2291289.847769084,11.871317021666664,0.9408014103916666,217583.0,97877.56521573158,6.62,4.7,19.93,2.375184773,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,121476451.18184032,861.083120975,1.203452145891667,9138463.0,7863196.004287845,6.62,4.7,19.93,2.375184773,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,72404776.09741576,395.2741065166667,1.4411888262666663,4542048.0,2405508.850756907,6.62,4.7,19.93,2.375184773,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,11689735.919668674,60.86519141083334,0.7077186618333332,1491878.0,1089619.7748451766,6.62,4.7,19.93,2.375184773,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,668260558.619035,3918.976831,1.9122255405416664,31588794.0,35188382.69154267,6.62,4.7,19.93,2.375184773,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,6341700.325344789,16.74032089583333,0.6233566031999999,918400.0,2508.175992061758,6.62,4.7,19.93,2.375184773,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,3296327.033406517,20.064344344166667,0.7103771065901513,417102.0,187712.3152539288,11.54,9.53,21.11,3.384407444,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,14229453.865876447,103.743558825,0.5107224214628787,2512658.0,1023462.2776818612,11.54,9.53,21.11,3.384407444,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,14823221.144012192,259.65308991666666,0.6335894496424244,2102766.0,1738990.9037494524,11.54,9.53,21.11,3.384407444,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
