data,estados,producao
200301,AC,
200301,AL,
200301,AM,
200301,AP,
200301,BA,
200301,CE,
200301,DF,
200301,ES,
200301,GO,
200301,MA,
200301,MG,
200301,MS,
200301,MT,33149.0
200301,PA,32871.0
200301,PB,38546.0
200301,PE,29823.0
200301,PI,33959.0
200301,PR,20313.0
200301,RJ,26639.0
200301,RN,27774.0
200301,RO,27544.0
200301,RR,28472.0
200301,RS,31064.0
200301,SC,27767.0
200301,SE,
200301,SP,
200301,TO,
200302,AC,
200302,AL,
200302,AM,
200302,AP,
200302,BA,
200302,CE,
200302,DF,
200302,ES,
200302,GO,
200302,MA,43382.0
200302,MG,42997.0
200302,MS,51061.0
200302,MT,47683.0
200302,PA,48669.0
200302,PB,44218.0
200302,PE,53944.0
200302,PI,55278.0
200302,PR,55352.0
200302,RJ,54512.0
200302,RN,50384.0
200302,RO,55610.0
200302,RR,46575.0
200302,RS,41998.0
200302,SC,39181.0
200302,SE,38102.0
200302,SP,39371.0
200302,TO,30695.0
200303,AC,34655.0
200303,AL,43412.0
200303,AM,40381.0
200303,AP,40887.0
200303,BA,40182.0
200303,CE,43594.0
200303,DF,115612.0
200303,ES,87014.0
200303,GO,83636.0
200303,MA,60687.0
200303,MG,101775.0
200303,MS,94627.0
200303,MT,122799.0
200303,PA,114467.0
200303,PB,108359.0
200303,PE,112577.0
200303,PI,120530.0
200303,PR,107469.0
200303,RJ,126390.0
200303,RN,123096.0
200303,RO,131225.0
200303,RR,110056.0
200303,RS,136397.0
200303,SC,128187.0
200303,SE,147437.0
200303,SP,129339.0
200303,TO,137203.0
200304,AC,172597.0
200304,AL,151995.0
200304,AM,152727.0
200304,AP,92683.0
200304,BA,105642.0
200304,CE,101219.0
200304,DF,94729.0
200304,ES,103394.0
200304,GO,88915.0
200304,MA,106506.0
200304,MG,104691.0
200304,MS,96066.0
200304,MT,103947.0
200304,PA,104306.0
200304,PB,91326.0
200304,PE,42953.0
200304,PI,44601.0
200304,PR,49219.0
200304,RJ,47291.0
200304,RN,46127.0
200304,RO,52764.0
200304,RR,54649.0
200304,RS,67400.0
200304,SC,66252.0
200304,SE,67985.0
200304,SP,52461.0
200304,TO,55045.0
200305,AC,28018.0
200305,AL,14332.0
200305,AM,14467.0
200305,AP,14994.0
200305,BA,19965.0
200305,CE,19559.0
200305,DF,21393.0
200305,ES,22299.0
200305,GO,22109.0
200305,MA,26037.0
200305,MG,23311.0
200305,MS,27948.0
200305,MT,42565.0
200305,PA,40029.0
200305,PB,41516.0
200305,PE,39776.0
200305,PI,48527.0
200305,PR,47020.0
200305,RJ,60170.0
200305,RN,58361.0
200305,RO,66722.0
200305,RR,67499.0
200305,RS,59720.0
200305,SC,52518.0
200305,SE,47337.0
200305,SP,51606.0
200305,TO,53027.0
200306,AC,45130.0
200306,AL,47487.0
200306,AM,53448.0
200306,AP,64600.0
200306,BA,65106.0
200306,CE,46458.0
200306,DF,57176.0
200306,ES,45673.0
200306,GO,40561.0
200306,MA,511998.0
200306,MG,588822.0
200306,MS,679435.0
200306,MT,696419.0
200306,PA,711255.0
200306,PB,684734.0
200306,PE,772468.0
200306,PI,684811.0
200306,PR,683486.0
200306,RJ,728134.0
200306,RN,670590.0
200306,RO,540400.0
200306,RR,303601.0
200306,RS,311711.0
200306,SC,342078.0
200306,SE,323295.0
200306,SP,349634.0
200306,TO,305708.0
200307,AC,345698.0
200307,AL,339089.0
200307,AM,333148.0
200307,AP,342806.0
200307,BA,340753.0
200307,CE,306477.0
200307,DF,121461.0
200307,ES,101595.0
200307,GO,97156.0
200307,MA,58352.0
200307,MG,104195.0
200307,MS,90794.0
200307,MT,114800.0
200307,PA,114820.0
200307,PB,115314.0
200307,PE,143535.0
200307,PI,148850.0
200307,PR,153158.0
200307,RJ,48623.0
200307,RN,46078.0
200307,RO,49168.0
200307,RR,43070.0
200307,RS,46143.0
200307,SC,42575.0
200307,SE,43894.0
200307,SP,47873.0
200307,TO,45910.0
200308,AC,44543.0
200308,AL,53624.0
200308,AM,49011.0
200308,AP,39749.0
200308,BA,33598.0
200308,CE,34186.0
200308,DF,28308.0
200308,ES,34241.0
200308,GO,27149.0
200308,MA,33663.0
200308,MG,34628.0
200308,MS,31820.0
200308,MT,30166.0
200308,PA,34159.0
200308,PB,35905.0
200308,PE,24654.0
200308,PI,18925.0
