data;estados;consumo;y_pred
2003-01-01;AC;3260,0;
2003-02-01;AC;2191,0;
2003-03-01;AC;2154,0;
2003-04-01;AC;2643,0;
2003-05-01;AC;2546,0;
2003-06-01;AC;3040,0;
2003-07-01;AC;4963,0;
2003-08-01;AC;2924,0;
2003-09-01;AC;5276,0;
2003-10-01;AC;5262,0;
2003-11-01;AC;5041,0;
2003-12-01;AC;4303,0;
2004-01-01;AC;4105,0;
2004-02-01;AC;3898,0;
2004-03-01;AC;4209,0;
2004-04-01;AC;2994,0;
2004-05-01;AC;3720,0;
2004-06-01;AC;4275,0;
2004-07-01;AC;4699,0;
2004-08-01;AC;6416,0;
2004-09-01;AC;6427,0;
2004-10-01;AC;6386,0;
2004-11-01;AC;5591,0;
2004-12-01;AC;5422,0;
2005-01-01;AC;5807,0;
2005-02-01;AC;5242,0;
2005-03-01;AC;4965,0;
2005-04-01;AC;5854,0;
2005-05-01;AC;5892,0;
2005-06-01;AC;7760,0;
2005-07-01;AC;7484,0;
2005-08-01;AC;8048,0;
2005-09-01;AC;7794,0;
2005-10-01;AC;8792,0;
2005-11-01;AC;6725,0;
2005-12-01;AC;6551,0;
2006-01-01;AC;7192,0;
2006-02-01;AC;6443,0;
2006-03-01;AC;9429,0;
2006-04-01;AC;7627,0;
2006-05-01;AC;9283,0;
2006-06-01;AC;7826,0;
2006-07-01;AC;7907,0;
2006-08-01;AC;15133,0;
2006-09-01;AC;12318,0;
2006-10-01;AC;11558,0;
2006-11-01;AC;9965,0;
2006-12-01;AC;9734,0;
2007-01-01;AC;6647,0;
2007-02-01;AC;6138,0;
2007-03-01;AC;9225,0;
2007-04-01;AC;7545,0;
2007-05-01;AC;9279,0;
2007-06-01;AC;9651,0;
2007-07-01;AC;9541,0;
2007-08-01;AC;17165,0;
2007-09-01;AC;15001,0;
2007-10-01;AC;13456,0;
2007-11-01;AC;10572,0;
2007-12-01;AC;7652,0;
2008-01-01;AC;8457,0;
2008-02-01;AC;8675,0;
2008-03-01;AC;6078,0;
2008-04-01;AC;8368,0;
2008-05-01;AC;11648,0;
2008-06-01;AC;10911,0;
2008-07-01;AC;12003,0;
2008-08-01;AC;13273,0;
2008-09-01;AC;11838,0;
2008-10-01;AC;12887,0;
2008-11-01;AC;7645,0;
2008-12-01;AC;7362,0;
2009-01-01;AC;7212,0;
2009-02-01;AC;6669,0;
2009-03-01;AC;9647,0;
2009-04-01;AC;7887,0;
2009-05-01;AC;9374,0;
2009-06-01;AC;9351,0;
2009-07-01;AC;12593,0;
2009-08-01;AC;13703,0;
2009-09-01;AC;11207,0;
2009-10-01;AC;13249,0;
2009-11-01;AC;9583,0;
2009-12-01;AC;10671,0;
2010-01-01;AC;10806,0;
2010-02-01;AC;7550,0;
2010-03-01;AC;13999,0;
2010-04-01;AC;10883,0;
2010-05-01;AC;12063,0;
2010-06-01;AC;12514,0;
2010-07-01;AC;18791,0;
2010-08-01;AC;20986,0;
2010-09-01;AC;15808,0;
2010-10-01;AC;18127,0;
2010-11-01;AC;18846,0;
2010-12-01;AC;14332,0;
2011-01-01;AC;11415,0;
2011-02-01;AC;13360,0;
2011-03-01;AC;12147,0;
2011-04-01;AC;10035,0;
2011-05-01;AC;13453,0;
2011-06-01;AC;16209,0;
2011-07-01;AC;15530,0;
2011-08-01;AC;18462,0;
2011-09-01;AC;19936,0;
2011-10-01;AC;20238,0;
2011-11-01;AC;14867,0;
2011-12-01;AC;12670,0;
2012-01-01;AC;9683,0;
2012-02-01;AC;10019,0;
2012-03-01;AC;9847,0;
2012-04-01;AC;14828,0;
2012-05-01;AC;14321,0;
2012-06-01;AC;14078,0;
2012-07-01;AC;16477,0;
2012-08-01;AC;17237,0;
2012-09-01;AC;17098,0;
2012-10-01;AC;18616,0;
2012-11-01;AC;19385,0;
2012-12-01;AC;11905,0;
2013-01-01;AC;13358,0;
2013-02-01;AC;10744,0;
2013-03-01;AC;14485,0;
2013-04-01;AC;14621,0;
2013-05-01;AC;15229,0;
2013-06-01;AC;13572,0;
2013-07-01;AC;14862,0;
2013-08-01;AC;21954,0;
2013-09-01;AC;19974,0;
2013-10-01;AC;21355,0;
2013-11-01;AC;20172,0;
2013-12-01;AC;13346,0;
2014-01-01;AC;14602,0;
2014-02-01;AC;17681,0;
2014-03-01;AC;6222,0;
2014-04-01;AC;18829,0;
2014-05-01;AC;16499,0;
2014-06-01;AC;15178,0;
2014-07-01;AC;22065,0;
2014-08-01;AC;19242,0;
2014-09-01;AC;23464,0;
2014-10-01;AC;19835,0;
2014-11-01;AC;21601,0;
2014-12-01;AC;15832,0;
2015-01-01;AC;10781,0;
2015-02-01;AC;18631,0;
2015-03-01;AC;14777,0;
2015-04-01;AC;13611,0;
2015-05-01;AC;16117,0;
2015-06-01;AC;16339,0;
2015-07-01;AC;18941,0;
2015-08-01;AC;18967,0;
2015-09-01;AC;20924,0;
2015-10-01;AC;20363,0;
2015-11-01;AC;16027,0;
2015-12-01;AC;19027,0;
2016-01-01;AC;10150,0;
2016-02-01;AC;13800,0;
2016-03-01;AC;10761,0;
2016-04-01;AC;12340,0;
2016-05-01;AC;12832,0;
2016-06-01;AC;13952,0;
2016-07-01;AC;14225,0;
2016-08-01;AC;16078,0;
2016-09-01;AC;14524,0;
2016-10-01;AC;14342,0;
2016-11-01;AC;14289,0;
2016-12-01;AC;11401,0;
2017-01-01;AC;10406,0;
2017-02-01;AC;9081,0;
2017-03-01;AC;9545,0;
2017-04-01;AC;10130,0;
2017-05-01;AC;14451,0;
2017-06-01;AC;13218,0;
2017-07-01;AC;13552,0;6075,432700166115
2017-08-01;AC;15826,0;16946,49772349991
2017-09-01;AC;14869,0;6396,743121933585
2017-10-01;AC;14734,0;7129,504599680207
2017-11-01;AC;12754,0;5418,287364743082
2017-12-01;AC;11925,0;2236,6229343833256
2018-01-01;AC;13114,0;3827,3010396843456
2018-02-01;AC;8920,0;3600,7436954661825
2018-03-01;AC;9724,0;2320,2015573873796
2018-04-01;AC;9737,0;4498,354364323241
2018-05-01;AC;10136,0;7693,990663824268
2018-06-01;AC;14403,0;2715,6298686751834
2018-07-01;AC;12871,0;1404,902965140398
2018-08-01;AC;15749,0;11520,858492137908
