y_test;y_pred
409739.0;494882
71168.0;104867
105397.0;146939
135615.0;154970
63840.0;74826
133872.0;166631
70968.0;52248
295932.0;318077
181556.0;271401
50796.0;62896
36905.0;46663
10831.0;5070
211546.0;239500
231359.0;237978
34053.0;28243
844988.0;975969
41704.0;55010
13552.0;6075
21340.0;51091
64862.0;59344
12399.0;12416
250101.0;272674
179243.0;168274
53235.0;71621
86678.0;52958
205551.0;222539
88780.0;122152
413460.0;513614
80517.0;125908
120055.0;166026
136117.0;174262
61721.0;94813
131464.0;188229
75913.0;74472
354558.0;340397
185846.0;291827
48750.0;81479
36094.0;64117
7703.0;13303
244680.0;247417
265999.0;247574
36174.0;36951
910653.0;986315
45710.0;63396
15826.0;16946
26848.0;61787
49885.0;69107
11268.0;21608
277528.0;280109
194134.0;176602
59290.0;74070
100174.0;55135
230558.0;225403
86195.0;104237
497019.0;497347
81348.0;107469
125769.0;149199
136475.0;157679
69240.0;77502
151370.0;169486
74774.0;54084
360106.0;321227
200671.0;270932
59738.0;62136
42556.0;46313
8956.0;4606
252183.0;239156
277169.0;238148
38394.0;28661
937696.0;976985
45564.0;55303
14869.0;6396
28074.0;51356
53130.0;59785
8741.0;11114
270092.0;270724
186948.0;166477
54875.0;70286
89777.0;51706
209621.0;221323
84121.0;100808
476478.0;494484
76509.0;103688
112904.0;145263
125300.0;153608
70048.0;72795
154276.0;165092
72484.0;50069
350123.0;317971
207913.0;268808
60303.0;60073
41193.0;43992
8626.0;2429
249403.0;237158
245824.0;235462
35688.0;25986
871611.0;974642
43754.0;52967
14734.0;7129
29941.0;51728
57796.0;60148
12358.0;13227
278146.0;272581
194907.0;168764
57520.0;72634
94810.0;54748
210984.0;224671
88187.0;103659
421395.0;497382
71851.0;106729
123201.0;146466
132627.0;154552
67172.0;74457
153331.0;165413
71534.0;51086
288254.0;318315
188107.0;269977
51009.0;61178
37053.0;44710
6735.0;3331
208299.0;238237
244227.0;236370
42076.0;27860
795853.0;976530
48554.0;55335
12754.0;5418
28977.0;50265
47026.0;56658
11876.0;11668
257458.0;271413
179505.0;167225
49573.0;70857
93446.0;52387
189889.0;221891
79514.0;99289
413641.0;492636
71187.0;102326
112725.0;143774
135172.0;152091
64220.0;71194
152600.0;163126
70320.0;48624
301687.0;315794
193661.0;267577
48874.0;58870
33527.0;42221
9161.0;813
238414.0;235572
263751.0;233875
39875.0;24262
804767.0;973113
40896.0;51561
11925.0;2236
31580.0;46914
74919.0;54013
11713.0;8273
231748.0;267644
173278.0;163003
40698.0;69985
87540.0;51351
143721.0;221477
74061.0;100794
338033.0;494418
58020.0;103658
90828.0;145859
131376.0;154033
63021.0;72789
136567.0;164015
67364.0;50036
268901.0;317285
175783.0;270518
48506.0;61113
25616.0;44672
8634.0;3348
213179.0;237817
211136.0;236228
38984.0;26885
712733.0;975481
35255.0;54386
13114.0;3827
29991.0;51948
34733.0;49526
11449.0;14832
268336.0;254873
160261.0;148483
47195.0;56619
96706.0;54717
176275.0;218247
64818.0;102675
431028.0;465061
63194.0;103716
96360.0;134936
111175.0;161749
62639.0;74171
144855.0;160167
59688.0;51718
274431.0;296433
185078.0;210302
42721.0;60770
25221.0;46230
7115.0;8006
221534.0;210720
219002.0;221708
41652.0;22376
763665.0;905796
34018.0;54862
8920.0;3600
26820.0;51717
15022.0;48578
7805.0;10080
223453.0;249545
